ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0005622	intracellular	0.8286551	75723.33	83807	1.106753	0.9171162	0	0	14472	11527.81	11766	1.020662	0.7866551	0.8130182	4.936513e-24	1.218613494857143e-21
GO:0005623	cell	0.898121	82071.2	87793	1.069718	0.9607358	0	0	16433	13089.86	13172	1.006275	0.8806579	0.8015578	5.260979e-6	1.2121295616e-4
GO:0005737	cytoplasm	0.718849	65689.14	75201	1.144801	0.8229391	0	0	11263	8971.651	9329	1.039831	0.6237213	0.8282873	1.402856e-39	2.4241351680000003e-36
GO:0005829	cytosol	0.3616374	33046.79	41500	1.255795	0.4541425	0	0	4901	3903.939	4051	1.03767	0.2708431	0.826566	4.510169e-10	2.1063708194594595e-8
GO:0031982	vesicle	0.3205407	29291.33	35786	1.221727	0.3916131	0	0	4219	3360.685	3522	1.048001	0.235475	0.834795	5.753324e-13	4.24684656e-11
GO:0043226	organelle	0.791172	72298.09	80499	1.113432	0.8809162	0	0	13296	10591.06	10808	1.020484	0.7226048	0.8128761	7.688326e-18	8.303392080000001e-16
GO:0043227	membrane-bounded organelle	0.7563244	69113.68	77267	1.11797	0.8455478	0	0	12319	9812.818	10041	1.023253	0.6713245	0.8150824	3.552614e-18	4.092611328e-16
GO:0043229	intracellular organelle	0.750962	68623.66	77138	1.124073	0.8441361	0	0	12367	9851.053	10027	1.017861	0.6703884	0.8107868	1.365348e-11	7.86440448e-10
GO:0043230	extracellular organelle	0.2029199	18543.02	24056	1.297308	0.2632495	0	0	2748	2188.946	2256	1.030633	0.1508324	0.8209607	2.759098e-4	0.0038449365677419357
GO:0043231	intracellular membrane-bounded organelle	0.6843317	62534.91	70241	1.123229	0.7686609	0	0	10646	8480.174	8637	1.018493	0.5774554	0.8112906	5.758542e-9	1.9511295247058823e-7
GO:0044421	extracellular region part	0.2899483	26495.76	31874	1.202985	0.3488034	0	0	3818	3041.265	3156	1.037726	0.2110049	0.8266108	9.014207e-8	2.4724682057142857e-6
GO:0044422	organelle part	0.5980191	54647.58	63480	1.161625	0.6946739	0	0	9078	7231.168	7404	1.023901	0.4950191	0.8155981	1.930756e-10	9.532418194285714e-9
GO:0044424	intracellular part	0.8161994	74585.12	83061	1.11364	0.9089526	0	0	14132	11256.98	11498	1.021411	0.768737	0.8136145	1.682828e-23	3.63490848e-21
GO:0044444	cytoplasmic part	0.6137674	56086.68	66517	1.185968	0.7279084	0	0	9360	7455.798	7756	1.040264	0.5185532	0.8286325	6.747919e-28	2.3320808064e-25
GO:0044446	intracellular organelle part	0.5859578	53545.41	62387	1.165123	0.682713	0	0	8863	7059.908	7222	1.02296	0.4828508	0.8148482	2.081887e-9	7.994446079999999e-8
GO:0044464	cell part	0.8978193	82043.63	87765	1.069736	0.9604294	0	0	16405	13067.56	13154	1.006615	0.8794544	0.8018287	1.994312e-6	4.861331290140845e-5
GO:0070013	intracellular organelle lumen	0.3732567	34108.57	40387	1.184072	0.4419628	0	0	5058	4028.999	4103	1.018367	0.2743197	0.8111902	0.001267337	0.014797015783783785
GO:0070062	extracellular exosome	0.200982	18365.94	23924	1.302629	0.261805	0	0	2727	2172.218	2239	1.030744	0.1496958	0.8210488	2.789409e-4	0.0038560790016
GO:1903561	extracellular vesicle	0.20283	18534.81	24040	1.297019	0.2630744	0	0	2746	2187.353	2254	1.030469	0.1506987	0.8208303	2.974803e-4	0.00403084485
GO:0012505	endomembrane system	0.3407814	31140.94	36650	1.176907	0.4010681	1.057886e-315	9.140135034e-314	4309	3432.375	3681	1.072435	0.2461055	0.8542585	1.739164e-28	1.0017584640000001e-25
GO:0005634	nucleus	0.5081718	46437.24	52101	1.121966	0.5701513	7.756834e-309	6.3827662628571416e-307	7109	5662.742	5660	0.9995157	0.3784181	0.7961739	0.5485763	1
GO:0044428	nuclear part	0.3324162	30376.52	35727	1.176138	0.3909675	2.988842e-301	2.3475995345454545e-299	4296	3422.02	3481	1.017235	0.2327338	0.8102886	0.005594045	0.055554653793103446
GO:0005654	nucleoplasm	0.2633195	24062.4	28976	1.204202	0.31709	7.001256e-287	5.260074073043479e-285	3340	2660.509	2710	1.018602	0.1811861	0.8113772	0.009738577	0.087647193
GO:0031981	nuclear lumen	0.3060869	27970.53	32906	1.176452	0.3600967	3.645458e-267	2.62472976e-265	3940	3138.445	3180	1.013241	0.2126095	0.8071066	0.03332838	0.251491007161572
