ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0008152	metabolic process	0.6502981	27921.85	32031	1.147166	0.746	0	0	9664	5880.645	6103	1.037811	0.5341327	0.631519	1.597655e-11	6.961437796357616e-10
GO:0009893	positive regulation of metabolic process	0.3034244	13028.13	16957	1.301568	0.3949275	0	0	3198	1946.016	2307	1.185499	0.2019079	0.7213884	1.347503e-48	1.1082369985624999e-45
GO:0009987	cellular process	0.8638668	37091.85	40397	1.089107	0.9408436	0	0	14773	8989.524	9203	1.023747	0.8054437	0.6229608	5.119674e-15	3.048406794841629e-13
GO:0019222	regulation of metabolic process	0.5035609	21621.39	25791	1.192846	0.6006708	0	0	6340	3857.956	4108	1.064813	0.3595309	0.6479495	1.2227e-15	7.81044140776699e-14
GO:0031323	regulation of cellular metabolic process	0.4806449	20637.45	24693	1.196514	0.5750984	0	0	5980	3638.892	3863	1.061587	0.3380886	0.6459866	2.993946e-13	1.584432383614458e-11
GO:0031325	positive regulation of cellular metabolic process	0.2846421	12221.68	16008	1.309804	0.3728253	0	0	2970	1807.276	2159	1.194616	0.188955	0.726936	4.357318e-49	3.822529837466667e-46
GO:0044237	cellular metabolic process	0.6123062	26290.59	30503	1.160225	0.7104129	0	0	8847	5383.492	5606	1.041332	0.4906354	0.6336611	1.424539e-11	6.311619091245792e-10
GO:0044238	primary metabolic process	0.6121081	26282.08	30555	1.162579	0.711624	0	0	8934	5436.432	5628	1.035238	0.4925608	0.629953	5.234227e-9	1.6637003162560388e-7
GO:0044699	single-organism process	0.8143128	34964.15	38432	1.099183	0.8950788	0	0	12665	7706.784	8147	1.057121	0.7130229	0.6432689	1.126573e-44	6.44546700304348e-42
GO:0044763	single-organism cellular process	0.7081132	30404.26	34397	1.131322	0.8011039	0	0	9965	6063.806	6654	1.097331	0.582356	0.6677371	3.207001e-70	4.2200926159e-66
GO:0048518	positive regulation of biological process	0.47298	20308.34	24854	1.223832	0.5788481	0	0	5433	3306.037	3825	1.156974	0.3347628	0.7040309	2.559528e-67	8.420207238e-64
GO:0048522	positive regulation of cellular process	0.4415974	18960.87	23258	1.226632	0.5416773	0	0	4914	2990.22	3495	1.16881	0.3058813	0.7112332	5.004459e-68	2.1951225326999998e-64
GO:0050789	regulation of biological process	0.7427169	31890.03	35759	1.121322	0.8328248	0	0	11037	6716.129	6997	1.04182	0.6123753	0.6339585	8.988863e-18	7.212466354695121e-16
GO:0050794	regulation of cellular process	0.7205936	30940.13	34827	1.125626	0.8111186	0	0	10477	6375.364	6641	1.041666	0.5812183	0.6338647	7.484086e-16	4.973893316868687e-14
GO:0050896	response to stimulus	0.569614	24457.52	28366	1.159807	0.6606423	0	0	7718	4696.483	4988	1.062071	0.4365482	0.6462814	3.900385e-19	3.564247653819444e-17
GO:0060255	regulation of macromolecule metabolic process	0.4778432	20517.15	24688	1.203286	0.574982	0	0	5942	3615.769	3843	1.062844	0.3363382	0.6467519	1.291019e-13	6.962507795491804e-12
GO:0065007	biological regulation	0.765679	32875.96	36801	1.119389	0.857093	0	0	11658	7094.014	7417	1.045529	0.6491336	0.6362155	1.736433e-23	2.0963047566055044e-21
GO:0071704	organic substance metabolic process	0.6372781	27362.81	31424	1.14842	0.731863	0	0	9327	5675.577	5890	1.03778	0.515491	0.6314999	7.827608e-11	3.1308052787841946e-9
GO:0080090	regulation of primary metabolic process	0.4793338	20581.16	24758	1.202945	0.5766122	0	0	5989	3644.369	3877	1.063833	0.3393138	0.6473535	3.910658e-14	2.1898020690212765e-12
GO:0010604	positive regulation of macromolecule metabolic process	0.2897455	12440.8	16134	1.296862	0.3757598	2.006e-321	1.31979e-318	3005	1828.574	2163	1.182889	0.1893051	0.7198003	4.932597e-44	2.704501830125e-41
GO:0048523	negative regulation of cellular process	0.3995854	17157	21049	1.226846	0.4902299	7.644778e-316	4.7903634996e-313	4432	2696.918	3050	1.13092	0.2669351	0.6881769	2.120423e-36	6.805523477317072e-34
GO:0048519	negative regulation of biological process	0.4201996	18042.11	21929	1.215434	0.510725	7.054818e-312	4.21974318463644e-309	4747	2888.599	3253	1.126151	0.2847016	0.6852749	6.360088e-37	2.0923099498e-34
GO:0009889	regulation of biosynthetic process	0.3731755	16023.04	19817	1.236782	0.4615367	6.525786e-306	3.733600781478261e-303	4471	2720.65	2861	1.051587	0.2503938	0.6399016	4.192127e-7	9.76357507840708e-6
GO:0010556	regulation of macromolecule biosynthetic process	0.3513538	15086.08	18819	1.247442	0.4382933	2.708451e-302	1.4850211128749998e-299	4202	2556.961	2669	1.043817	0.2335901	0.6351737	2.996671e-5	4.7282006821342925e-4
GO:0031326	regulation of cellular biosynthetic process	0.3681597	15807.67	19561	1.237437	0.4555744	9.087848e-301	4.78347967328e-298	4400	2677.446	2813	1.050628	0.2461929	0.6393182	8.617242e-7	1.9025887160738256e-5
GO:0010468	regulation of gene expression	0.3692598	15854.91	19598	1.236084	0.4564362	7.033186e-299	3.5596036374615387e-296	4426	2693.267	2818	1.046313	0.2466305	0.6366923	5.677089e-6	1.062657384793741e-4
GO:2000112	regulation of cellular macromolecule biosynthetic process	0.3456717	14842.1	18500	1.246454	0.4308638	3.023908e-292	1.473763161925926e-289	4101	2495.501	2603	1.043077	0.2278138	0.6347232	5.153038e-5	7.679368860928653e-4
GO:0051716	cellular response to stimulus	0.4840111	20781.98	24506	1.179194	0.5707432	8.166531e-284	3.8379779081785716e-281	6124	3726.518	3983	1.068826	0.3485909	0.6503919	1.252073e-16	9.003294320765029e-15
GO:0006950	response to stress	0.2452907	10532.05	13836	1.313705	0.3222396	4.982586e-283	2.2608913508275863e-280	3269	1989.221	2109	1.060214	0.184579	0.6451514	1.150449e-6	2.4858388162561573e-5
GO:0006355	regulation of transcription, DNA-templated	0.3157099	13555.63	17007	1.254607	0.3960919	1.01521e-270	4.4530494633333326e-268	3664	2229.582	2313	1.037414	0.202433	0.6312773	8.559162e-4	0.008840660342072214
GO:1903506	regulation of nucleic acid-templated transcription	0.3168374	13604.05	17058	1.253891	0.3972797	1.087441e-270	4.6160116512903224e-268	3686	2242.969	2328	1.03791	0.2037458	0.6315789	7.1127e-4	0.007434155623510723
GO:2001141	regulation of RNA biosynthetic process	0.317183	13618.89	17064	1.252966	0.3974195	3.264694e-269	1.3425033858124998e-266	3704	2253.923	2331	1.034197	0.2040084	0.6293197	0.001965433	0.017935598368238555
GO:0051171	regulation of nitrogen compound metabolic process	0.3769965	16187.1	19738	1.219366	0.4596968	8.6432030000000005e-268	3.446542675060606e-265	4508	2743.165	2869	1.045872	0.251094	0.6364241	5.401686e-6	1.0212756619827588e-4
GO:0009966	regulation of signal transduction	0.2880999	12370.15	15713	1.270235	0.3659548	1.340094e-265	5.186557925294117e-263	3040	1849.872	2195	1.186569	0.1921057	0.7220395	2.178065e-46	1.508481965e-43
GO:1901360	organic cyclic compound metabolic process	0.3744601	16078.19	19609	1.219602	0.4566924	2.309766e-265	8.684060226857144e-263	4980	3030.382	3051	1.006804	0.2670226	0.6126506	0.2479089	0.5963548700949944
GO:0006807	nitrogen compound metabolic process	0.4177657	17937.6	21505	1.198878	0.5008501	1.457034e-263	5.325864001666666e-261	5667	3448.429	3485	1.010605	0.3050061	0.6149638	0.1199786	0.4141653718258132
GO:0051252	regulation of RNA metabolic process	0.3269276	14037.29	17455	1.243473	0.4065258	1.240169e-261	4.410644289459459e-259	3833	2332.42	2413	1.034548	0.211185	0.629533	0.001454648	0.013780930908567315
GO:0048583	regulation of response to stimulus	0.3481015	14946.44	18397	1.230862	0.428465	4.934505e-260	1.7087671393421054e-257	3885	2364.063	2697	1.140833	0.2360406	0.6942085	1.02068e-35	3.123518167441861e-33
GO:0019219	regulation of nucleobase-containing compound metabolic process	0.3589303	15411.39	18802	1.220007	0.4378974	1.641518e-248	5.538650092820513e-246	4229	2573.391	2689	1.044925	0.2353405	0.6358477	1.794589e-5	3.024501916751918e-4
GO:0034641	cellular nitrogen compound metabolic process	0.380459	16335.77	19749	1.208942	0.459953	4.076427e-247	1.3410425723250001e-244	5172	3147.216	3140	0.9977072	0.2748118	0.6071152	0.6020842	0.8262705968011558
