ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0005488	binding	0.850433	21190.24	22343	1.054401	0.896697	1.166458e-102	4.924785676e-99	14398	7476.194	7908	1.057757	0.8110769	0.549243	1.433435e-50	3.025981285e-47
GO:0005515	protein binding	0.7330151	18264.54	19618	1.074103	0.7873339	6.259225e-88	1.3213223975e-84	11170	5800.048	6473	1.116025	0.6638974	0.5794987	1.389541e-89	5.866642102e-86
GO:0003723	RNA binding	0.1168352	2911.182	3845	1.32077	0.1543123	4.439162e-70	6.247380654666667e-67	1638	850.5352	1057	1.242747	0.1084103	0.6452991	3.10481e-27	3.277126955e-24
GO:0043021	ribonucleoprotein complex binding	0.006421955	160.0159	334	2.087293	0.0134045	1.490828e-33	1.573568954e-30	115	59.71401	86	1.440198	0.008820513	0.7478261	3.884409e-7	2.5624960621874998e-5
GO:0019899	enzyme binding	0.167684	4178.182	4883	1.16869	0.1959706	6.653992e-32	5.6186308448e-29	1895	983.9831	1254	1.274412	0.1286154	0.6617414	4.704092e-40	6.620225474666667e-37
GO:0019843	rRNA binding	0.001981897	49.38294	151	3.057736	0.00606012	2.677105e-31	1.8837895516666666e-28	60	31.15514	42	1.348092	0.004307692	0.7	0.003342702	0.07163902458883249
GO:0003735	structural constituent of ribosome	0.008019204	199.8145	351	1.756629	0.01408677	1.840703e-22	1.1102068665714285e-19	162	84.11887	116	1.379001	0.01189744	0.7160494	2.272456e-7	1.6261541071186443e-5
GO:0004161	dimethylallyltranstransferase activity	1.729292e-5	0.4308878	17	39.45343	6.822651e-4	1.133045e-21	5.315239988888889e-19	2	1.038505	2	1.925846	2.051282e-4	1	0.2696096	0.9545641064529735
GO:0004337	geranyltranstransferase activity	1.729292e-5	0.4308878	17	39.45343	6.822651e-4	1.133045e-21	5.315239988888889e-19	2	1.038505	2	1.925846	2.051282e-4	1	0.2696096	0.9545641064529735
GO:0008455	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity	6.27571e-6	0.1563719	13	83.13516	5.217322e-4	4.628257e-21	1.9540501054e-18	1	0.5192523	1	1.925846	1.025641e-4	1	0.5192523	0.9545641064529735
GO:0051082	unfolded protein binding	0.00485179	120.8921	232	1.919067	0.009310912	1.592048e-19	6.110569687272727e-17	106	55.04074	58	1.053765	0.005948718	0.5471698	0.3162584	0.9545641064529735
GO:0008427	calcium-dependent protein kinase inhibitor activity	9.070504e-5	2.260098	26	11.50393	0.001043464	4.500425e-19	1.5833995291666665e-16	3	1.557757	3	1.925846	3.076923e-4	1	0.1399816	0.8442890217142858
GO:0051525	NFAT protein binding	2.441655e-4	6.083871	39	6.410392	0.001565196	4.935739e-19	1.602976158307692e-16	5	2.596261	3	1.155508	3.076923e-4	0.6	0.5360662	0.9545641064529735
GO:1901363	heterocyclic compound binding	0.4422906	11020.55	11713	1.062832	0.4700807	6.284003e-19	1.8950757618571426e-16	5925	3076.57	3386	1.100576	0.3472821	0.5714768	1.201875e-22	7.249023214285714e-20
GO:0097159	organic cyclic compound binding	0.4471765	11142.3	11831	1.06181	0.4748164	1.029731e-18	2.898349521333333e-16	6009	3120.187	3427	1.098332	0.3514872	0.5703112	3.846512e-22	2.029996708e-19
GO:0017069	snRNA binding	0.001411987	35.18247	98	2.785478	0.003933058	2.762251e-18	7.28888982625e-16	38	19.73159	21	1.064283	0.002153846	0.5526316	0.4023619	0.9545641064529735
GO:0010858	calcium-dependent protein kinase regulator activity	1.55142e-4	3.865674	31	8.0193	0.001244131	4.566413e-18	1.1340820991764705e-15	4	2.077009	4	1.925846	4.102564e-4	1	0.07267502	0.6462795834947368
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	6.16242e-4	15.3549	60	3.907547	0.002407995	4.94461e-18	1.1597857455555555e-15	12	6.231027	11	1.765359	0.001128205	0.9166667	0.004642225	0.09607585269607842
