ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0005622	intracellular	0.8286551	31531.15	35033	1.11106	0.9206854	0	0	14472	9510.81	10198	1.072254	0.8264182	0.7046711	7.852598e-135	6.784644672e-132
GO:0005623	cell	0.898121	34174.4	36359	1.063925	0.9555334	0	0	16433	10799.55	11063	1.024394	0.8965154	0.6732185	1.394315e-33	1.0951710545454547e-31
GO:0043226	organelle	0.791172	30104.89	33294	1.105933	0.8749836	0	0	13296	8737.958	9380	1.073477	0.7601297	0.7054753	2.117328e-102	6.09790464e-100
GO:0043229	intracellular organelle	0.750962	28574.86	31994	1.119656	0.8408189	0	0	12367	8127.431	8791	1.081646	0.7123987	0.7108434	2.760902e-101	5.96354832e-99
GO:0044424	intracellular part	0.8161994	31057.2	34716	1.117808	0.9123545	0	0	14132	9287.366	10015	1.078347	0.8115883	0.7086753	1.088763e-143	1.8813824639999998e-140
GO:0044446	intracellular organelle part	0.5859578	22296.28	25960	1.16432	0.6822423	0	0	8863	5824.648	6604	1.133802	0.5351702	0.7451202	5.740378e-129	2.479843296e-126
GO:0044464	cell part	0.8978193	34162.92	36347	1.063931	0.955218	0	0	16405	10781.15	11047	1.024659	0.8952188	0.6733923	7.677508e-34	6.317492297142858e-32
GO:0044422	organelle part	0.5980191	22755.23	26331	1.157141	0.6919923	2.761758e-316	5.9653972556e-314	9078	5965.943	6739	1.129578	0.5461102	0.7423441	2.038821e-126	7.046165376e-124
GO:0043227	membrane-bounded organelle	0.7563244	28778.9	31799	1.104941	0.8356942	1.236501e-310	2.3740819199999726e-308	12319	8095.886	8751	1.080919	0.7091572	0.7103661	1.779816e-98	2.7959291345454546e-96
GO:0005737	cytoplasm	0.718849	27352.92	30358	1.109863	0.797824	3.853435e-275	6.65873568e-273	11263	7401.897	8180	1.105122	0.6628849	0.7262719	8.040412e-131	4.631277312e-128
GO:0043231	intracellular membrane-bounded organelle	0.6843317	26039.5	29022	1.1145370000000001	0.7627132	3.9855e-250	6.260858181818182e-248	10646	6996.413	7685	1.09842	0.6227715	0.7218674	4.03317e-101	7.7436864e-99
GO:0044444	cytoplasmic part	0.6137674	23354.46	26506	1.134944	0.6965914	1.479455e-249	2.1304152e-247	9360	6151.27	6846	1.112941	0.5547812	0.7314103	5.069446e-102	1.2514289554285716e-99
GO:0070013	intracellular organelle lumen	0.3732567	14202.79	17316	1.219197	0.4550735	2.439411e-233	3.2425401600000005e-231	5058	3324.052	3914	1.177479	0.3171799	0.7738236	2.265784e-97	3.26272896e-95
GO:0005654	nucleoplasm	0.2633195	10019.57	12784	1.275903	0.3359701	5.296666e-216	6.537599177142857e-214	3340	2195.005	2672	1.21731	0.2165316	0.8	4.258571e-88	5.256293348571428e-86
GO:0044428	nuclear part	0.3324162	12648.77	15553	1.229606	0.4087409	2.071007e-212	2.3858000640000002e-210	4296	2823.275	3383	1.198254	0.2741491	0.7874767	6.513727e-99	1.1255720256e-96
GO:0031981	nuclear lumen	0.3060869	11646.91	14428	1.238783	0.3791753	1.943104e-202	2.09855232e-200	3940	2589.317	3117	1.203792	0.2525932	0.7911168	4.587215e-94	6.097467323076924e-92
GO:0005829	cytosol	0.3616374	13760.66	16424	1.193547	0.4316312	1.009443e-173	1.0260691199999999e-171	4901	3220.873	3714	1.153103	0.3009724	0.7578045	1.578782e-69	1.70508456e-67
GO:0005634	nucleus	0.5081718	19336.44	21659	1.120113	0.5692097	4.320737e-126	4.147907519999999e-124	7109	4671.942	5120	1.095904	0.4149109	0.7202138	1.233765e-46	1.2540858352941176e-44
GO:1990904	ribonucleoprotein complex	0.04995158	1900.708	2794	1.469979	0.07342777	1.042149e-86	9.478070905263158e-85	817	536.9218	641	1.193842	0.05194489	0.7845777	2.850783e-16	1.36837584e-14
GO:0030529	intracellular ribonucleoprotein complex	0.04988798	1898.288	2786	1.467639	0.07321752	8.389829e-86	7.248812256e-84	814	534.9502	638	1.192634	0.05170178	0.7837838	5.000582e-16	2.273948867368421e-14
GO:0043232	intracellular non-membrane-bounded organelle	0.3005229	11435.2	13133	1.148472	0.345142	1.313651e-78	1.0809471085714287e-76	4024	2644.52	2983	1.127993	0.2417342	0.7413022	2.774695e-38	2.5235120842105262e-36
GO:0032991	macromolecular complex	0.3825065	14554.75	16239	1.115718	0.4267693	5.581901e-70	4.384329512727272e-68	5073	3333.91	3834	1.150001	0.3106969	0.7557658	8.157146e-70	9.397032192000001e-68
GO:0044451	nucleoplasm part	0.08898179	3385.846	4370	1.290667	0.1148459	2.765651e-65	2.0778456208695653e-63	1073	705.1616	858	1.216742	0.06952998	0.7996272	3.430286e-26	2.3710136832000003e-24
GO:0043234	protein complex	0.2455514	9343.478	10720	1.147324	0.2817272	6.877943e-59	4.95211896e-57	3181	2090.512	2422	1.158568	0.1962723	0.7613958	3.18371e-44	3.0563616e-42
GO:1902494	catalytic complex	0.1045603	3978.623	4921	1.23686	0.1293264	5.011218e-53	3.4637538816e-51	1344	883.2593	1083	1.22614	0.08776337	0.8058036	1.089589e-35	9.41404896e-34
GO:0044429	mitochondrial part	0.06571511	2500.526	3244	1.297327	0.085254	1.687692e-49	1.1216660676923078e-47	1025	673.6167	780	1.157929	0.06320908	0.7609756	8.707789e-14	3.419786225454545e-12
GO:0005739	mitochondrion	0.1204675	4583.908	5480	1.195487	0.1440172	2.88201e-43	1.8444864e-41	1706	1121.161	1310	1.168432	0.1061588	0.7678781	1.652449e-25	1.0982430276923078e-23
GO:0016604	nuclear body	0.06136004	2334.811	3002	1.285757	0.07889412	6.942854e-43	4.2847327542857145e-41	721	473.8318	563	1.188185	0.04562399	0.7808599	1.007466e-13	3.86866944e-12
GO:0005740	mitochondrial envelope	0.04708597	1791.668	2372	1.323906	0.06233739	3.004525e-41	1.7902824827586205e-39	746	490.2615	564	1.150406	0.04570502	0.7560322	1.630399e-9	4.083086191304348e-8
GO:0031967	organelle envelope	0.08228184	3130.906	3864	1.234147	0.1015479	3.045624e-40	1.754279424e-38	1163	764.3085	886	1.159218	0.07179903	0.7618229	9.448245e-16	4.186299323076923e-14
GO:0031966	mitochondrial membrane	0.04484353	1706.341	2263	1.32623	0.05947281	8.525207e-40	4.752115385806452e-38	704	462.6596	531	1.147712	0.04303079	0.7542614	8.85956e-9	2.0971670794520546e-7
GO:0016607	nuclear speck	0.03273574	1245.628	1695	1.36076	0.04454548	5.752706e-35	3.10646124e-33	373	245.1307	306	1.248313	0.02479741	0.8203753	1.253933e-12	4.0125856e-11
GO:0005759	mitochondrial matrix	0.02745584	1044.722	1451	1.388886	0.03813303	1.070261e-33	5.604275781818183e-32	454	298.3629	348	1.166365	0.02820097	0.7665198	2.025799e-7	4.023655944827586e-6
GO:0019866	organelle inner membrane	0.0326399	1241.981	1681	1.353483	0.04417755	1.299589e-33	6.604969976470588e-32	553	363.4244	411	1.130909	0.03330632	0.7432188	6.065074e-6	9.441844929729731e-5
GO:0005743	mitochondrial inner membrane	0.02874632	1093.826	1507	1.377733	0.03960474	1.896844e-33	9.364989805714286e-32	497	326.6219	375	1.148116	0.03038898	0.7545272	1.274406e-6	2.2702820288659796e-5
GO:0031227	intrinsic component of endoplasmic reticulum membrane	0.009067441	345.0252	576	1.669443	0.01513758	2.606567e-30	1.2511521599999999e-28	141	92.66336	109	1.176301	0.008833063	0.7730496	0.001845856	0.015408884869565218
GO:0030176	integral component of endoplasmic reticulum membrane	0.008889749	338.2638	566	1.67325	0.01487477	4.85677e-30	2.268242854054054e-28	137	90.03462	105	1.166218	0.008508914	0.7664234	0.003651163	0.02841986335135135
GO:1990234	transferase complex	0.06278453	2389.014	2940	1.230633	0.07726472	1.081402e-29	4.917533305263157e-28	765	502.748	633	1.25908	0.0512966	0.827451	8.232002e-27	5.92704144e-25
GO:0070062	extracellular exosome	0.200982	7647.566	8490	1.110157	0.2231216	1.06605e-26	4.723421538461538e-25	2727	1792.149	1939	1.081941	0.1571313	0.7110378	5.254248e-11	1.4644097651612903e-9
GO:0045259	proton-transporting ATP synthase complex	9.270785e-4	35.27626	112	3.174939	0.002943418	6.771078e-25	2.9251056960000003e-23	24	15.77249	18	1.141228	0.001458671	0.75	0.2322012	0.659940252631579
GO:0043230	extracellular organelle	0.2029199	7721.303	8531	1.104865	0.2241991	1.120832e-24	4.723896819512196e-23	2748	1805.95	1948	1.078657	0.1578606	0.7088792	2.41865e-10	6.429888000000001e-9
GO:1903561	extracellular vesicle	0.20283	7717.885	8527	1.104836	0.224094	1.187748e-24	4.8867346285714286e-23	2746	1804.635	1947	1.078888	0.1577796	0.7090313	2.184469e-10	5.8980663e-9
GO:0005925	focal adhesion	0.03580865	1362.555	1742	1.278481	0.04578066	5.097556e-24	2.0485062251162793e-22	393	258.2745	335	1.29707	0.02714749	0.8524173	1.008528e-18	5.809121280000001e-17
GO:0005924	cell-substrate adherens junction	0.03592902	1367.135	1747	1.277855	0.04591207	5.319426e-24	2.0890836654545455e-22	396	260.246	337	1.294928	0.02730956	0.8510101	1.384078e-18	7.4740212e-17
GO:0044391	ribosomal subunit	0.008738933	332.5252	530	1.593864	0.01392867	7.966293e-24	3.0590565119999997e-22	185	121.5796	147	1.209084	0.01191248	0.7945946	2.755115e-5	3.579577984962406e-4
GO:0005753	mitochondrial proton-transporting ATP synthase complex	8.973751e-4	34.14602	107	3.133601	0.002812015	1.920417e-23	7.214088208695653e-22	23	15.1153	17	1.124688	0.001377634	0.7391304	0.27690940000000003	0.6654368564450475
GO:0035770	ribonucleoprotein granule	0.01426462	542.7829	786	1.448093	0.02065649	3.595447e-23	1.3219005140425534e-21	195	128.1515	151	1.178293	0.01223663	0.774359	2.36411e-4	0.0024758679272727274
GO:0098798	mitochondrial protein complex	0.009018716	343.1712	540	1.573559	0.01419148	4.072014e-23	1.46592504e-21	161	105.8071	118	1.115237	0.009562399	0.7329193	0.02394235	0.13476345537459283
GO:0005681	spliceosomal complex	0.01192599	453.7958	677	1.49186	0.01779191	4.970594e-23	1.7528951902040814e-21	186	122.2368	150	1.227127	0.01215559	0.8064516	4.874835e-6	7.799736e-5
GO:0044455	mitochondrial membrane part	0.01209026	460.0466	682	1.482459	0.01792331	1.459313e-22	5.043385728e-21	212	139.3236	157	1.126873	0.01272285	0.740566	0.005438579	0.039486825680672265
GO:0036464	cytoplasmic ribonucleoprotein granule	0.01348353	513.0617	746	1.454016	0.01960527	1.7263e-22	5.8491105882352946e-21	184	120.9224	142	1.174307	0.01150729	0.7717391	4.690374e-4	0.004605094472727273
GO:0098799	outer mitochondrial membrane protein complex	6.256334e-4	23.80598	85	3.570532	0.002233844	2.231316e-22	7.414834707692309e-21	15	9.857805	11	1.115867	8.9141e-4	0.7333333	0.3739802	0.7669444015936254
GO:0030055	cell-substrate junction	0.03684507	1401.992	1771	1.263203	0.0465428	2.441846e-22	7.961339411320754e-21	401	263.532	341	1.293961	0.02763371	0.8503741	1.110625e-18	6.190838709677419e-17
GO:0001726	ruffle	0.01589145	604.6854	851	1.407343	0.02236472	1.00044e-21	3.201408e-20	162	106.4643	130	1.221067	0.01053485	0.8024691	3.266399e-5	4.15024814117647e-4
