ID	name	Binom_Genome_Fraction	Binom_Expected	Binom_Observed_Region_Hits	Binom_Fold_Enrichment	Binom_Region_Set_Coverage	Binom_Raw_PValue	Binom_Adjp_BH	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0005488	binding	0.850433	32359.82	34591	1.068949	0.9090694	2.303972e-256	9.727369784e-253	14398	9462.178	9960	1.052612	0.8071313	0.6917627	1.917665e-71	4.0481908150000005e-68
GO:0005515	protein binding	0.7330151	27891.96	30716	1.101249	0.8072324	1.488886e-251	3.1430383459999996e-248	11170	7340.779	8103	1.103834	0.6566451	0.7254252	3.204952e-125	1.3531307344e-121
GO:0003723	RNA binding	0.1168352	4445.694	5684	1.27854	0.1493785	3.609416e-81	5.079651450666667e-78	1638	1076.472	1279	1.18814	0.1036467	0.7808303	2.494122e-30	1.3162728855e-27
GO:0019899	enzyme binding	0.167684	6380.544	7580	1.187987	0.1992063	1.920345e-58	2.0269241475e-55	1895	1245.369	1511	1.213295	0.1224473	0.7973615	2.792998e-45	3.9306791853333335e-42
GO:0097159	organic cyclic compound binding	0.4471765	17015.51	18456	1.084657	0.4850332	5.893284e-50	4.738745357e-47	6009	3949.037	4272	1.081783	0.3461912	0.7109336	4.545165e-27	1.7445169663636364e-24
GO:1901363	heterocyclic compound binding	0.4422906	16829.6	18268	1.085469	0.4800925	6.734361e-50	4.738745357e-47	5925	3893.833	4221	1.084022	0.3420583	0.7124051	6.087971e-28	2.5703413562e-25
GO:0003676	nucleic acid binding	0.3103826	11810.37	12982	1.099204	0.3411737	3.463431e-38	2.0889436688571427e-35	4032	2649.778	2829	1.067637	0.2292545	0.7016369	7.581755e-12	5.518994760344827e-10
GO:0044877	macromolecular complex binding	0.1214318	4620.602	5355	1.15894	0.1407322	8.759376e-30	4.622760684e-27	1380	906.918	1079	1.189744	0.08743922	0.7818841	6.27289e-26	2.0372416599999998e-23
GO:0008134	transcription factor binding	0.06007044	2285.74	2797	1.223674	0.07350661	6.980132e-27	3.274457478222222e-24	531	348.9663	453	1.29812	0.03670989	0.8531073	4.643472e-25	1.1532199284705882e-22
GO:0043183	vascular endothelial growth factor receptor 1 binding	1.485297e-4	5.651702	45	7.962203	0.001182623	2.311324e-25	9.758409928e-23	2	1.314374	2	1.521637	1.620746e-4	1	0.4318827	0.9543203249573232
GO:0019900	kinase binding	0.06314593	2402.766	2886	1.201116	0.07584558	2.436337e-23	9.351104376363636e-21	649	426.5144	535	1.254354	0.04335494	0.8243451	4.614449e-22	8.117584865833332e-20
GO:0051525	NFAT protein binding	2.441655e-4	9.290741	53	5.704604	0.001392867	5.149644e-23	1.811816414e-20	5	3.285935	4	1.21731	3.241491e-4	0.8	0.4422977	0.9543203249573232
GO:0045296	cadherin binding	0.02695486	1025.659	1347	1.313301	0.03539986	1.454477e-22	4.723693764615385e-20	304	199.7848	255	1.276373	0.02066451	0.8388158	7.305999e-13	5.508201388928571e-11
GO:0043021	ribonucleoprotein complex binding	0.006421955	244.3618	406	1.661471	0.01066989	1.661226e-21	5.00978298e-19	115	75.5765	93	1.230541	0.007536467	0.8086957	2.497399e-4	0.0063518184204819274
GO:0051082	unfolded protein binding	0.00485179	184.6155	325	1.760416	0.008541168	5.437029e-21	1.5303424291999998e-18	106	69.66182	76	1.090985	0.006158833	0.7169811	0.1143965	0.7969182922137404
GO:0019843	rRNA binding	0.001981897	75.41318	168	2.227727	0.004415127	2.905904e-20	7.66795418e-18	60	39.43122	46	1.166588	0.003727715	0.7666667	0.04602553	0.4675728902588235
GO:0015186	L-glutamine transmembrane transporter activity	2.133333e-4	8.117545	46	5.666738	0.001208904	4.380233e-20	1.0878437485882353e-17	4	2.628748	4	1.521637	3.241491e-4	1	0.186502	0.9049312381278538
GO:0019901	protein kinase binding	0.05628666	2141.764	2555	1.192942	0.06714672	2.190669e-19	5.138335843333333e-17	567	372.625	469	1.258638	0.03800648	0.8271605	4.641884e-20	6.532678082666666e-18
GO:0000988	transcription factor activity, protein binding	0.06707538	2552.285	2987	1.170324	0.07849991	1.9324599999999998e-18	4.294129536842105e-16	608	399.5697	513	1.283881	0.04157212	0.84375	7.935502e-26	2.3931206745714285e-23
GO:0000989	transcription factor activity, transcription factor binding	0.06635438	2524.851	2957	1.171158	0.07771149	2.092652e-18	4.4175883719999996e-16	600	394.3122	506	1.283247	0.04100486	0.8433333	2.197699e-25	5.79917823625e-23
GO:0070182	DNA polymerase binding	5.343057e-4	20.33087	70	3.44304	0.001839636	6.23127e-18	1.241818587181818e-15	16	10.51499	14	1.331432	0.001134522	0.875	0.05077593	0.4883279646013667
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	6.16242e-4	23.44862	76	3.241129	0.001997319	6.470869e-18	1.241818587181818e-15	12	7.886244	12	1.521637	9.724473e-4	1	0.006478444	0.10282703221052632
GO:0015266	protein channel activity	6.122718e-4	23.29755	75	3.219222	0.001971039	1.508251e-17	2.7581499191666667e-15	12	7.886244	7	0.8876216	5.672609e-4	0.5833333	0.8028263	1
GO:0043422	protein kinase B binding	5.042071e-4	19.18559	67	3.492205	0.001760795	1.567873e-17	2.7581499191666667e-15	12	7.886244	12	1.521637	9.724473e-4	1	0.006478444	0.10282703221052632
GO:0005290	L-histidine transmembrane transporter activity	4.657117e-5	1.77208	22	12.41479	5.781714e-4	4.772294e-17	7.749471256923077e-15	2	1.314374	2	1.521637	1.620746e-4	1	0.4318827	0.9543203249573232
GO:0015182	L-asparagine transmembrane transporter activity	4.657117e-5	1.77208	22	12.41479	5.781714e-4	4.772294e-17	7.749471256923077e-15	2	1.314374	2	1.521637	1.620746e-4	1	0.4318827	0.9543203249573232
GO:0017069	snRNA binding	0.001411987	53.72751	125	2.326555	0.003285065	7.531569e-17	1.177714234e-14	38	24.97311	28	1.121206	0.002269044	0.73684210000000006	0.1950457	0.9294389902934537
GO:0008565	protein transporter activity	0.006462278	245.8961	385	1.565702	0.010118	1.208153e-16	1.8217221307142853e-14	96	63.08995	78	1.23633	0.006320908	0.8125	5.88462e-4	0.013502644369565216
GO:0034186	apolipoprotein A-I binding	3.132255e-4	11.91854	50	4.195143	0.001314026	1.814027e-16	2.6409731013793103e-14	4	2.628748	4	1.521637	3.241491e-4	1	0.186502	0.9049312381278538
GO:0044389	ubiquitin-like protein ligase binding	0.02758412	1049.603	1319	1.256665	0.034664	2.631364e-16	3.703206269333333e-14	315	207.0139	258	1.246293	0.02090762	0.8190476	1.022484e-10	7.0769302426229506e-9
GO:0001103	RNA polymerase II repressing transcription factor binding	0.002760012	105.0212	197	1.875811	0.005177262	7.214402e-16	9.825550078709678e-14	29	19.05842	25	1.311756	0.002025932	0.862069	0.01236159	0.17055762411764708
GO:0030374	ligand-dependent nuclear receptor transcription coactivator activity	0.004358578	165.8482	277	1.670202	0.007279704	1.840606e-15	2.42844954125e-13	51	33.51654	44	1.312785	0.00356564	0.8627451	8.412206e-4	0.01859493912670157
GO:0071889	14-3-3 protein binding	0.003233022	123.0197	220	1.788331	0.005781714	2.019585e-15	2.583844809090909e-13	25	16.42967	24	1.460771	0.001944895	0.96	3.861725e-4	0.009316687399999999
GO:0003735	structural constituent of ribosome	0.008019204	305.1387	446	1.46163	0.01172111	2.055361e-14	2.552274747647059e-12	162	106.4643	133	1.249245	0.01077796	0.8209877	2.678588e-6	1.0979610229126213e-4
GO:0009982	pseudouridine synthase activity	4.078425e-4	15.51882	54	3.479647	0.001419148	2.176717e-14	2.625742621142857e-12	13	8.543431	12	1.404588	9.724473e-4	0.9230769	0.03314623	0.37120260758620693
GO:0003924	GTPase activity	0.02078432	790.864	1008	1.274555	0.02649076	3.800613e-14	4.457274468333333e-12	284	186.6411	215	1.151943	0.01742301	0.7570423	1.590673e-4	0.004305013721794872
GO:0031072	heat shock protein binding	0.007899346	300.578	438	1.457192	0.01151087	5.351678e-14	6.106698517837838e-12	105	69.00463	81	1.173834	0.006564019	0.7714286	0.007469899	0.1146833221018182
GO:0032403	protein complex binding	0.06653735	2531.813	2901	1.145819	0.07623978	5.610282e-14	6.23331858e-12	783	514.5774	591	1.148515	0.04789303	0.7547893	1.038504e-9	6.850881075e-8
GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	0.002087314	79.42439	154	1.938951	0.0040472	7.701437e-14	8.337299234358975e-12	29	19.05842	27	1.416696	0.002188006	0.9310345	6.490321e-4	0.014811965006486487
GO:0030943	mitochondrion targeting sequence binding	2.937819e-4	11.1787	44	3.936058	0.001156343	9.263309e-14	9.777422649500001e-12	3	1.971561	1	0.5072123	8.103728e-5	0.3333333	0.9597247	1
GO:0032182	ubiquitin-like protein binding	0.009102491	346.3589	491	1.417605	0.01290373	1.150161e-13	1.1606901247619047e-11	121	79.51963	104	1.307853	0.008427877	0.8595041	4.025996e-7	1.953764955402299e-5
GO:0004518	nuclease activity	0.01337531	508.9438	682	1.34003	0.01792331	1.154642e-13	1.1606901247619047e-11	212	139.3236	157	1.126873	0.01272285	0.740566	0.005438579	0.08934506045914396
GO:0031625	ubiquitin protein ligase binding	0.02710302	1031.297	1271	1.232429	0.03340254	1.469677e-13	1.4430177427906976e-11	301	197.8133	244	1.233486	0.0197731	0.8106312	2.298865e-9	1.470576974242424e-7
GO:0102391	decanoate--CoA ligase activity	5.759632e-4	21.91597	64	2.920244	0.001681953	2.260748e-13	2.1692904672727275e-11	8	5.257496	7	1.331432	5.672609e-4	0.875	0.179938	0.9049312381278538
GO:0004693	cyclin-dependent protein serine/threonine kinase activity	0.002253688	85.75506	160	1.865779	0.004204883	5.018682e-13	4.708638978666667e-11	30	19.71561	23	1.166588	0.001863857	0.7666667	0.1409846	0.8598346342939481
GO:0097472	cyclin-dependent protein kinase activity	0.002276555	86.6252	161	1.858581	0.004231163	5.71243e-13	5.243017273913044e-11	31	20.3728	24	1.178042	0.001944895	0.7741935	0.116096	0.7969182922137404
GO:0001784	phosphotyrosine binding	0.004188024	159.3585	257	1.612716	0.006754093	6.561224e-13	5.893933559148937e-11	35	23.00154	33	1.434686	0.00267423	0.9428571	7.450001e-5	0.0021995737218181814
GO:0016874	ligase activity	0.01328601	505.546	672	1.329256	0.01766051	7.054731e-13	6.20522380875e-11	180	118.2937	138	1.166588	0.01118314	0.7666667	9.18338e-4	0.020020076626666668
GO:0071535	RING-like zinc finger domain binding	1.073301e-4	4.084017	25	6.121424	6.57013e-4	2.421857e-12	2.0186540980392156e-10	4	2.628748	4	1.521637	3.241491e-4	1	0.186502	0.9049312381278538
GO:0045309	protein phosphorylated amino acid binding	0.005037238	191.6719	295	1.539088	0.007752753	2.423311e-12	2.0186540980392156e-10	44	28.91623	41	1.417889	0.003322528	0.9318182	2.021295e-5	6.88218345967742e-4
GO:0032542	sulfiredoxin activity	4.962869e-5	1.888421	18	9.531771	4.730493e-4	2.43845e-12	2.0186540980392156e-10	2	1.314374	2	1.521637	1.620746e-4	1	0.4318827	0.9543203249573232
GO:0051019	mitogen-activated protein kinase binding	0.002060216	78.39329	146	1.862404	0.003836956	5.623713e-12	4.566022362692308e-10	27	17.74405	25	1.408923	0.002025932	0.9259259	0.001314317	0.02733520381280788
GO:0050321	tau-protein kinase activity	5.493343e-4	20.90272	59	2.822599	0.001550551	7.044968e-12	5.612048093584905e-10	12	7.886244	11	1.394834	8.9141e-4	0.9166667	0.04706738	0.4675728902588235
