term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:1900153	positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	0.001915451	175.0359	414	2.36523	0.004530482	2.460481e-53	6.648351022381931e-52	16	12.74495	15	1.176936	0.001002875	0.9375	0.1335188	0.5523338224457718
GO:0043691	reverse cholesterol transport	0.0009476148	86.59399	262	3.025614	0.002867117	4.9701860000000004e-52	1.30805355148e-50	17	13.54151	14	1.033858	0.0009360166	0.8235294	0.5344768	0.9371415088421994
GO:0061014	positive regulation of mRNA catabolic process	0.002453325	224.1873	480	2.141067	0.005252733	5.910526999999999e-50	1.5072989300968988e-48	25	19.91399	23	1.154967	0.001537742	0.92	0.09127953	0.448022131767997
GO:0034375	high-density lipoprotein particle remodeling	0.0008151475	74.48899	218	2.926607	0.002385616	1.664582e-41	3.4990789996805115e-40	17	13.54151	14	1.033858	0.0009360166	0.8235294	0.5344768	0.9371415088421994
GO:0060337	type I interferon signaling pathway	0.002347779	214.5424	431	2.008927	0.004716517	7.903857e-39	1.568730833529412e-37	62	49.3867	49	0.99217	0.003276058	0.7903226	0.6211719	0.9371415088421994
GO:0051693	actin filament capping	0.001933877	176.7196	370	2.093712	0.004048982	5.117606e-37	9.592959737037038e-36	32	25.48991	27	1.059243	0.001805175	0.84375	0.3421587	0.8921074565682583
GO:0014745	negative regulation of muscle adaptation	0.001499149	136.9938	305	2.226378	0.003337674	3.125312e-35	5.565085332611637e-34	11	8.762156	11	1.255399	0.0007354416	1.0	0.08186083	0.4092730478609422
GO:0010867	positive regulation of triglyceride biosynthetic process	0.0005443092	49.73952	158	3.176548	0.001729025	2.207801e-34	3.827727715283268e-33	11	8.762156	10	1.141272	0.0006685833	0.9090909	0.3119934	0.8486411659694288
GO:1904628	cellular response to phorbol 13-acetate 12-myristate	0.001027091	93.85656	234	2.493166	0.002560707	4.110221e-34	7.051681634810953e-33	8	6.372477	6	0.9415491	0.00040115	0.75	0.789328	0.9371415088421994
GO:0045647	negative regulation of erythrocyte differentiation	0.00113998	104.1725	249	2.390266	0.002724855	1.781376e-33	3.009130524261874e-32	8	6.372477	7	1.098474	0.0004680083	0.875	0.4932266	0.9371415088421994
GO:0038066	p38MAPK cascade	0.0006871749	62.79473	178	2.834633	0.001947889	1.316944e-32	2.171637355388472e-31	6	4.779358	6	1.255399	0.00040115	1.0	0.2554001	0.7769129531069531
GO:1904627	response to phorbol 13-acetate 12-myristate	0.001136069	103.8151	246	2.369596	0.002692026	1.490611e-32	2.451868768625e-31	10	7.965596	7	0.8787792	0.0004680083	0.7	0.8730439	0.9873708625449678
GO:1903243	negative regulation of cardiac muscle hypertrophy in response to stress	0.0009648271	88.16686	219	2.483926	0.002396559	7.873304e-32	1.2759212726108374e-30	6	4.779358	6	1.255399	0.00040115	1.0	0.2554001	0.7769129531069531
GO:0010939	regulation of necrotic cell death	0.001048869	95.84673	231	2.410098	0.002527878	1.128326e-31	1.812898880830281e-30	27	21.50711	23	1.069414	0.001537742	0.8518519	0.3316979	0.8729625332200001
GO:1901687	glutathione derivative biosynthetic process	0.0008737006	79.83963	204	2.555122	0.002232412	2.710069e-31	4.275994960551559e-30	21	16.72775	19	1.135837	0.001270308	0.9047619	0.1688708	0.6309400503123225
GO:0010745	negative regulation of macrophage derived foam cell differentiation	0.0007951518	72.66176	192	2.64238	0.002101093	2.719537e-31	4.285794896167665e-30	13	10.35528	13	1.255399	0.0008691583	1.0	0.05192503	0.3059700444300402
GO:0032329	serine transport	0.0004513718	41.24681	135	3.272981	0.001477331	7.416261e-31	1.1562864751066353e-29	11	8.762156	10	1.141272	0.0006685833	0.9090909	0.3119934	0.8486411659694288
GO:1902624	positive regulation of neutrophil migration	0.001618161	147.8692	308	2.082922	0.003370504	9.327133e-31	1.4456506848881038e-29	32	25.48991	26	1.020012	0.001738317	0.8125	0.5158783	0.9371415088421994
GO:0032957	inositol trisphosphate metabolic process	0.0004334825	39.61206	130	3.281828	0.001422615	6.919056e-30	1.03581180778157e-28	4	3.186238	4	1.255399	0.0002674333	1.0	0.4025666	0.9179299756368048
GO:0033033	negative regulation of myeloid cell apoptotic process	0.001097487	100.2895	233	2.323275	0.002549764	8.938880999999999e-30	1.3306191751018099e-28	14	11.15183	14	1.255399	0.0009360166	1.0	0.04135406	0.2617499160846561
GO:0060334	regulation of interferon-gamma-mediated signaling pathway	0.001747537	159.6916	321	2.010124	0.003512765	2.0073330000000002e-29	2.961266249663677e-28	24	19.11743	23	1.203091	0.001537742	0.9583333	0.03028622	0.2140367180343716
GO:0034123	positive regulation of toll-like receptor signaling pathway	0.0009147439	83.59022	204	2.440477	0.002232412	7.700027000000001e-29	1.1122355136443468e-27	20	15.93119	18	1.129859	0.00120345	0.9	0.1955436	0.6920545354705274
GO:0015825	L-serine transport	0.0004485689	40.99068	130	3.171453	0.001422615	1.5133270000000001e-28	2.1598557476138827e-27	10	7.965596	9	1.129859	0.0006017249	0.9	0.365444	0.9179299756368048
GO:0090208	positive regulation of triglyceride metabolic process	0.0009280528	84.80639	205	2.417271	0.002243355	1.810037e-28	2.5777355933982687e-27	19	15.13463	17	1.123252	0.001136592	0.8947368	0.2256822	0.7404019121914734
GO:0045722	positive regulation of gluconeogenesis	0.001452201	132.7036	277	2.087358	0.003031265	5.613998e-28	7.892585436111111e-27	11	8.762156	9	1.027144	0.0006017249	0.8181818	0.6059714	0.9371415088421994
GO:0019852	L-ascorbic acid metabolic process	0.0006207472	56.7245	157	2.767763	0.001718081	6.398523e-28	8.957251506063829e-27	11	8.762156	11	1.255399	0.0007354416	1.0	0.08186083	0.4092730478609422
GO:0043153	entrainment of circadian clock by photoperiod	0.001330211	121.556	260	2.138931	0.00284523	7.815943e-28	1.0906680162990455e-26	18	14.33807	15	1.046166	0.001002875	0.8333333	0.4862233999999999	0.9371415088421994
GO:0035947	regulation of gluconeogenesis by regulation of transcription from RNA polymerase II promoter	0.0005933184	54.21803	152	2.803496	0.001663365	1.236192e-27	1.7195613665961942e-26	6	4.779358	5	1.046166	0.0003342916	0.8333333	0.6469043	0.9371415088421994
GO:1902172	regulation of keratinocyte apoptotic process	0.0005325765	48.66737	142	2.917766	0.001553934	1.515203e-27	2.1032232359704639e-26	6	4.779358	6	1.255399	0.00040115	1.0	0.2554001	0.7769129531069531
GO:1903242	regulation of cardiac muscle hypertrophy in response to stress	0.001560701	142.6184	290	2.033398	0.003173526	1.704358e-27	2.358322494426919e-26	9	7.169037	9	1.255399	0.0006017249	1.0	0.1290482	0.5474356105093487
