term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:1902463	protein localization to cell leading edge	5.510819e-06	0.5035842	6	11.91459	6.565916e-05	1.473825e-05	4.979220327342748e-05	2	1.593119	2	1.255399	0.0001337167	1.0	0.6344986	0.9371415088421994
GO:2000487	positive regulation of glutamine transport	1.305113e-05	1.192626	12	10.06183	0.0001313183	5.767536e-09	2.7790189023800805e-08	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9371415088421994
GO:0035105	sterol regulatory element binding protein import into nucleus	2.094445e-05	1.913925	18	9.404758	0.0001969775	3.036432e-12	1.922830061982676e-11	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9371415088421994
GO:0090182	regulation of secretion of lysosomal enzymes	1.424596e-05	1.30181	12	9.217937	0.0001313183	1.493027e-08	6.89843479389045e-08	2	1.593119	2	1.255399	0.0001337167	1.0	0.6344986	0.9371415088421994
GO:0015862	uridine transport	8.48528e-06	0.7753934	7	9.027676	7.660236e-05	1.702708e-05	5.691118763525527e-05	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9371415088421994
GO:0014810	positive regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion	9.128986e-06	0.8342159	7	8.391113	7.660236e-05	2.699907e-05	8.829044784542743e-05	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9371415088421994
GO:0035853	chromosome passenger complex localization to spindle midzone	9.407778e-06	0.8596921	7	8.14245	7.660236e-05	3.260178e-05	0.00010551077791933104	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9371415088421994
GO:0072377	blood coagulation, common pathway	1.623494e-05	1.483565	12	8.088622	0.0001313183	6.066344e-08	2.64065566311611e-07	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9371415088421994
GO:0042431	indole metabolic process	1.388853e-05	1.269148	10	7.879303	0.0001094319	9.476844e-07	3.6463681343859647e-06	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9371415088421994
GO:1901128	gentamycin metabolic process	1.388853e-05	1.269148	10	7.879303	0.0001094319	9.476844e-07	3.6463681343859647e-06	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9371415088421994
GO:1901684	arsenate ion transmembrane transport	1.388853e-05	1.269148	10	7.879303	0.0001094319	9.476844e-07	3.6463681343859647e-06	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9371415088421994
GO:2000120	positive regulation of sodium-dependent phosphate transport	1.388853e-05	1.269148	10	7.879303	0.0001094319	9.476844e-07	3.6463681343859647e-06	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9371415088421994
GO:2000187	positive regulation of phosphate transmembrane transport	1.388853e-05	1.269148	10	7.879303	0.0001094319	9.476844e-07	3.6463681343859647e-06	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9371415088421994
GO:0090341	negative regulation of secretion of lysosomal enzymes	1.135524e-05	1.037653	8	7.709708	8.754555e-05	1.332439e-05	4.518960000257732e-05	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9371415088421994
GO:0010070	zygote asymmetric cell division	9.05716e-06	0.8276524	6	7.24942	6.565916e-05	0.0002207938	0.0006347882049814289	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9371415088421994
