term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0046930	pore complex	0.001290968	117.9699	270	2.288719	0.002954662	3.26048e-33	4.6950912000000004e-32	18	14.33807	15	1.046166	0.001002875	0.8333333	0.4862233999999999	1.0
GO:0034364	high-density lipoprotein particle	0.001072381	97.99526	227	2.316439	0.002484105	6.884257e-29	8.497140068571428e-28	27	21.50711	23	1.069414	0.001537742	0.8518519	0.3316979	1.0
GO:0036019	endolysosome	0.001013177	92.58508	218	2.354591	0.002385616	1.050047e-28	1.2778036732394366e-27	20	15.93119	17	1.067089	0.001136592	0.85	0.3964675	1.0
GO:0098554	cytoplasmic side of endoplasmic reticulum membrane	0.000748907	68.43587	176	2.571751	0.001926002	1.4999820000000001e-27	1.787564755862069e-26	10	7.965596	8	1.004319	0.0005348666	0.8	0.6674025	1.0
GO:0036021	endolysosome lumen	0.0003337063	30.49442	96	3.148117	0.001050547	2.501e-21	2.5126325581395348e-20	5	3.982798	5	1.255399	0.0003342916	1.0	0.3206508	1.0
GO:0031673	H zone	0.0002374479	21.69823	78	3.594763	0.0008535691	7.850722e-21	7.796579089655172e-20	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	1.0
GO:0017109	glutamate-cysteine ligase complex	0.0001860161	16.99834	67	3.941562	0.000733194	4.086747e-20	3.9897733423728816e-19	2	1.593119	2	1.255399	0.0001337167	1.0	0.6344986	1.0
GO:0030014	CCR4-NOT complex	0.001073524	98.09969	200	2.038743	0.002188639	1.2493129999999998e-19	1.2060407061452514e-18	16	12.74495	14	1.098474	0.0009360166	0.875	0.3391699	1.0
GO:0008091	spectrin	0.0005133879	46.9139	120	2.557878	0.001313183	3.5922279999999997e-19	3.429486179005525e-18	8	6.372477	7	1.098474	0.0004680083	0.875	0.4932266	1.0
GO:0005757	mitochondrial permeability transition pore complex	0.0002029598	18.54667	68	3.666427	0.0007441372	8.362001999999999e-19	7.810561868108109e-18	4	3.186238	3	0.9415491	0.000200575	0.75	0.8139092	1.0
GO:0031143	pseudopodium	0.0009016271	82.39159	174	2.111866	0.001904116	1.066745e-18	9.910405161290325e-18	17	13.54151	14	1.033858	0.0009360166	0.8235294	0.5344768	1.0
GO:0030056	hemidesmosome	0.0006581077	60.13854	136	2.261445	0.001488274	3.3043830000000004e-17	2.958535660103626e-16	7	5.575917	7	1.255399	0.0004680083	1.0	0.2034248	0.883211191959799
