term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0070702	inner mucus layer	1.137328e-05	1.039301	7	6.735293	7.660236e-05	0.0001053781	0.0003723790527607362	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	1.0
GO:0070703	outer mucus layer	1.137328e-05	1.039301	7	6.735293	7.660236e-05	0.0001053781	0.0003723790527607362	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	1.0
GO:0042022	interleukin-12 receptor complex	1.707915e-05	1.56071	10	6.407341	0.0001094319	5.767845e-06	2.37871984725537e-05	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	1.0
GO:0009360	DNA polymerase III complex	3.793407e-05	3.466453	22	6.346544	0.0002407503	2.459599e-11	1.6799158387351774e-10	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	1.0
GO:0042568	insulin-like growth factor binary complex	1.653314e-05	1.510815	8	5.295156	8.754555e-05	0.0001778745	0.0006062468165680473	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	1.0
GO:0033768	SUMO-targeted ubiquitin ligase complex	1.452611e-05	1.32741	7	5.273425	7.660236e-05	0.0004561316	0.0014435813274725	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	1.0
GO:0097444	spine apparatus	4.996127e-05	4.565511	23	5.037772	0.0002516935	7.293365e-10	4.485030149466192e-09	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	1.0
GO:1990913	sperm head plasma membrane	1.08688e-05	0.9932015	5	5.034225	5.471597e-05	0.003556451	0.0095279803534883	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	1.0
GO:1990917	ooplasm	1.08688e-05	0.9932015	5	5.034225	5.471597e-05	0.003556451	0.0095279803534883	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	1.0
GO:0044302	dentate gyrus mossy fiber	1.970163e-05	1.800355	9	4.999015	9.848874e-05	0.0001098774	0.0003874860146938776	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	1.0
GO:0009346	citrate lyase complex	1.879854e-05	1.717829	8	4.657041	8.754555e-05	0.0004149207	0.00132284680738	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	1.0
GO:1990026	hippocampal mossy fiber expansion	1.227705e-05	1.121889	5	4.456767	5.471597e-05	0.005892366	0.0151292844695393	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	1.0
GO:0005673	transcription factor TFIIE complex	2.972656e-05	2.716443	12	4.417542	0.0001313183	2.802457e-05	0.00010833659275167786	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	1.0
GO:0034998	oligosaccharyltransferase I complex	1.496489e-05	1.367507	6	4.387547	6.565916e-05	0.002856501	0.0079098190848	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	1.0
GO:1990796	photoreceptor cell terminal bouton	3.098606e-05	2.831537	12	4.237981	0.0001313183	4.154257e-05	0.00015708000210065646	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	1.0
