term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0034186	apolipoprotein A-I binding	0.0003132255	28.62286	115	4.017767	0.001258467	5.372495e-34	2.2022013485436888e-32	4	3.186238	3	0.9415491	0.000200575	0.75	0.8139092	0.9740149213151926
GO:0015194	L-serine transmembrane transporter activity	0.0004485689	40.99068	130	3.171453	0.001422615	1.5133270000000001e-28	5.0708465031746025e-27	10	7.965596	9	1.129859	0.0006017249	0.9	0.365444	0.9740149213151926
GO:0034185	apolipoprotein binding	0.001479453	135.1939	275	2.034115	0.003009378	3.4610300000000004e-26	1.0904827358208954e-24	16	12.74495	15	1.176936	0.001002875	0.9375	0.1335188	0.9458328416107382
GO:0090484	drug transporter activity	0.00144778	132.2996	269	2.033264	0.002943719	1.2488520000000001e-25	3.876950841176471e-24	24	19.11743	22	1.150782	0.001470883	0.9166667	0.1068719	0.862740271128107
GO:0015238	drug transmembrane transporter activity	0.001305892	119.3337	249	2.086585	0.002724855	2.6109199999999997e-25	7.930434705035972e-24	20	15.93119	19	1.192629	0.001270308	0.95	0.06450621	0.6476773504470588
GO:0004699	calcium-independent protein kinase C activity	0.0003516273	32.13206	106	3.298886	0.001159979	7.292994e-25	2.1837603310638298e-23	3	2.389679	3	1.255399	0.000200575	1.0	0.5054022	0.9740149213151926
GO:0005351	sugar:proton symporter activity	0.0009575662	87.50336	198	2.26277	0.002166752	2.773042e-24	8.187261065734265e-23	15	11.94839	14	1.171706	0.0009360166	0.9333333	0.1592252	0.9740149213151926
GO:1990239	steroid hormone binding	0.0006125717	55.97742	147	2.626059	0.00160865	3.940437e-24	1.131736395510204e-22	6	4.779358	6	1.255399	0.00040115	1.0	0.2554001	0.9740149213151926
GO:0032052	bile acid binding	0.0004508455	41.19872	120	2.912712	0.001313183	1.711777e-23	4.692936684415585e-22	9	7.169037	9	1.255399	0.0006017249	1.0	0.1290482	0.9458328416107382
GO:0042887	amide transmembrane transporter activity	0.001270927	116.1385	235	2.023445	0.002571651	2.309598e-22	5.945806558536585e-21	13	10.35528	12	1.15883	0.0008022999	0.9230769	0.2244641	0.9740149213151926
GO:0015186	L-glutamine transmembrane transporter activity	0.0002133333	19.49461	76	3.898514	0.0008316827	2.572365e-22	6.5424849578313235e-21	4	3.186238	4	1.255399	0.0002674333	1.0	0.4025666	0.9740149213151926
GO:0004602	glutathione peroxidase activity	0.000868073	79.32538	178	2.243922	0.001947889	1.201187e-21	2.94849506627907e-20	19	15.13463	14	0.9250307	0.0009360166	0.7368421	0.8270431	0.9880520566496888
GO:0038049	transcription factor activity, ligand-activated RNA polymerase II transcription factor binding	0.0004458617	40.74329	114	2.798007	0.001247524	4.193201e-21	1.0002087357062146e-19	2	1.593119	2	1.255399	0.0001337167	1.0	0.6344986	0.9740149213151926
GO:0015037	peptide disulfide oxidoreductase activity	0.0006409448	58.57018	143	2.441516	0.001564877	9.195609e-21	2.168930793184357e-19	13	10.35528	11	1.062261	0.0007354416	0.8461538	0.4889872	0.9740149213151926
GO:0050693	LBD domain binding	0.001175634	107.4306	217	2.019909	0.002374673	1.060116e-20	2.4865609733333333e-19	6	4.779358	6	1.255399	0.00040115	1.0	0.2554001	0.9740149213151926
GO:0005078	MAP-kinase scaffold activity	0.0005722334	52.29126	132	2.524323	0.001444502	1.883044e-20	4.344378015300546e-19	7	5.575917	7	1.255399	0.0004680083	1.0	0.2034248	0.9740149213151926
GO:0038051	glucocorticoid-activated RNA polymerase II transcription factor binding transcription factor activity	0.0003525839	32.21946	97	3.010602	0.00106149	2.9771729999999996e-20	6.757862583870968e-19	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9740149213151926
GO:0004904	interferon receptor activity	0.0002607408	23.82676	81	3.399539	0.0008863987	3.7304669999999996e-20	8.289490354736842e-19	5	3.982798	5	1.255399	0.0003342916	1.0	0.3206508	0.9740149213151926
GO:0004357	glutamate-cysteine ligase activity	0.0001860161	16.99834	67	3.941562	0.000733194	4.086747e-20	8.849883593846155e-19	2	1.593119	2	1.255399	0.0001337167	1.0	0.6344986	0.9740149213151926
GO:0070506	high-density lipoprotein particle receptor activity	0.0001938202	17.71149	68	3.839316	0.0007441372	8.261459999999999e-20	1.7439942059999998e-18	2	1.593119	2	1.255399	0.0001337167	1.0	0.6344986	0.9740149213151926
GO:0016208	AMP binding	0.000720569	65.84632	152	2.308406	0.001663365	8.464815e-20	1.7780322850746272e-18	11	8.762156	8	0.9130173	0.0005348666	0.7272727	0.8312187	0.9905180218458932
GO:0051525	NFAT protein binding	0.0002441655	22.31209	76	3.406226	0.0008316827	4.6188369999999995e-19	9.330492733971292e-18	5	3.982798	5	1.255399	0.0003342916	1.0	0.3206508	0.9740149213151926
GO:0019871	sodium channel inhibitor activity	0.0008720714	79.69076	171	2.145795	0.001871286	4.857271999999999e-19	9.765429706666668e-18	5	3.982798	5	1.255399	0.0003342916	1.0	0.3206508	0.9740149213151926
GO:0008432	JUN kinase binding	0.001052234	96.15422	195	2.027992	0.002133923	5.938404999999999e-19	1.1882438819905214e-17	8	6.372477	8	1.255399	0.0005348666	1.0	0.1620246	0.9740149213151926
