term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0003975	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity	3.15045e-06	0.2878913	8	27.78827	8.754555e-05	9.062053e-10	7.792258200814665e-09	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9740149213151926
GO:0008963	phospho-N-acetylmuramoyl-pentapeptide-transferase activity	3.15045e-06	0.2878913	8	27.78827	8.754555e-05	9.062053e-10	7.792258200814665e-09	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9740149213151926
GO:0047888	fatty acid peroxidase activity	1.242411e-05	1.135327	8	7.046425	8.754555e-05	2.511822e-05	0.00011464770252972972	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9740149213151926
GO:0004152	dihydroorotate dehydrogenase activity	1.560792e-05	1.426267	10	7.011309	0.0001094319	2.643713e-06	1.4124890482932996e-05	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9740149213151926
GO:0002153	steroid receptor RNA activator RNA binding	1.426842e-05	1.303863	9	6.902567	9.848874e-05	9.349094e-06	4.5632225280924855e-05	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9740149213151926
GO:0004512	inositol-3-phosphate synthase activity	3.430365e-05	3.134702	21	6.699202	0.0002298071	2.605696e-11	2.6963844392156856e-10	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9740149213151926
GO:0005290	L-histidine transmembrane transporter activity	4.657117e-05	4.25572	28	6.57938	0.0003064094	2.218615e-14	3.153869538720539e-13	2	1.593119	2	1.255399	0.0001337167	1.0	0.6344986	0.9740149213151926
GO:0015182	L-asparagine transmembrane transporter activity	4.657117e-05	4.25572	28	6.57938	0.0003064094	2.218615e-14	3.153869538720539e-13	2	1.593119	2	1.255399	0.0001337167	1.0	0.6344986	0.9740149213151926
GO:0016517	interleukin-12 receptor activity	1.707915e-05	1.56071	10	6.407341	0.0001094319	5.767845e-06	2.916388214371257e-05	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9740149213151926
GO:0033906	hyaluronoglucuronidase activity	8.581614e-06	0.7841965	5	6.375953	5.471597e-05	0.001293802	0.004125703960725	2	1.593119	2	1.255399	0.0001337167	1.0	0.6344986	0.9740149213151926
GO:0008785	alkyl hydroperoxide reductase activity	1.086607e-05	0.9929527	6	6.042584	6.565916e-05	0.0005728178	0.0020070014536099	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9740149213151926
GO:0005094	Rho GDP-dissociation inhibitor activity	1.735488e-05	1.585906	9	5.67499	9.848874e-05	4.241767e-05	0.00018713417214211075	3	2.389679	2	0.8369325	0.0001337167	0.6666667	0.8926914	1.0
GO:0008397	sterol 12-alpha-hydroxylase activity	3.087135e-05	2.821054	16	5.671638	0.0001750911	5.47394e-08	3.633801050314466e-07	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9740149213151926
GO:0033778	7alpha-hydroxycholest-4-en-3-one 12alpha-hydroxylase activity	3.087135e-05	2.821054	16	5.671638	0.0001750911	5.47394e-08	3.633801050314466e-07	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9740149213151926
GO:0019962	type I interferon binding	4.461827e-05	4.077262	23	5.641041	0.0002516935	8.601928e-11	8.329665141284403e-10	1	0.7965596	1	1.255399	6.685833e-05	1.0	0.7965596	0.9740149213151926
