term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0010675	regulation of cellular carbohydrate metabolic process	0.01145335	491.7723	1023	2.080231	0.0238256	1.626898e-98	1.1267553043157896e-96	123	74.84678	95	1.26926	0.008314371	0.7723577	8.282006e-05	0.0011643474033547
GO:0055088	lipid homeostasis	0.008215877	352.7651	801	2.270633	0.01865524	5.822392e-94	3.889180524263959e-92	104	63.28508	75	1.185113	0.006563977	0.7211538	0.01075768	0.0717851476267748
GO:0010906	regulation of glucose metabolic process	0.009006075	386.6938	834	2.156745	0.01942381	1.820017e-87	1.119140359953271e-85	98	59.63402	78	1.307978	0.006826536	0.7959184	5.652356e-05	0.0008338492444394618
GO:0002262	myeloid cell homeostasis	0.008927289	383.311	813	2.120993	0.01893472	4.09197e-82	2.2158943716049384e-80	95	57.80849	68	1.176298	0.005951339	0.7157895	0.01904775	0.1114512640433053
GO:0034101	erythrocyte homeostasis	0.006588769	282.902	637	2.251663	0.01483569	1.1252140000000001e-73	5.019217296949152e-72	77	46.8553	55	1.173827	0.004813583	0.7142857	0.03493713	0.1741430657840909
GO:0030218	erythrocyte differentiation	0.005988342	257.1215	590	2.294635	0.01374106	4.409565e-71	1.8900803203583058e-69	69	41.98722	49	1.167022	0.004288465	0.7101449	0.05180765	0.2287707605201342
GO:0010676	positive regulation of cellular carbohydrate metabolic process	0.005915851	254.0089	571	2.247953	0.01329855	5.779769999999999e-66	2.311732323100304e-64	53	32.25105	43	1.33329	0.003763347	0.8113208	0.001292799	0.0125179853134657
GO:0046889	positive regulation of lipid biosynthetic process	0.006265775	269.0336	587	2.181884	0.01367119	1.455509e-63	5.6003049505847954e-62	64	38.94467	52	1.335228	0.004551024	0.8125	0.0003803209	0.0043977528322495
GO:0045913	positive regulation of carbohydrate metabolic process	0.007729862	331.8971	679	2.045815	0.01581387	3.358671e-63	1.2847892932848837e-61	69	41.98722	58	1.381373	0.005076142	0.8405797	2.499306e-05	0.0004041783616830467
GO:0010907	positive regulation of glucose metabolic process	0.004148745	178.1346	436	2.447587	0.01015441	4.6748920000000003e-60	1.676209913569482e-58	34	20.68935	29	1.401687	0.002538071	0.8529412	0.001857199	0.0170781842354996
GO:0032922	circadian regulation of gene expression	0.006479678	278.2179	584	2.099074	0.01360132	5.697707e-58	1.9782619106332454e-56	55	33.46807	42	1.254927	0.003675827	0.7636364	0.01130383	0.0747630777076081
GO:0070849	response to epidermal growth factor	0.004702272	201.9015	468	2.317962	0.01089969	6.995674999999999e-58	2.409845217931937e-56	42	25.55744	37	1.447719	0.003238229	0.8809524	9.973659e-05	0.0013656959290426
