term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0071247	cellular response to chromate	2.042431e-06	0.08769586	6	68.41828	0.0001397396	5.858354e-10	3.0725420600239133e-09	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.8262705968011558
GO:1902220	positive regulation of intrinsic apoptotic signaling pathway in response to osmotic stress	2.042431e-06	0.08769586	6	68.41828	0.0001397396	5.858354e-10	3.0725420600239133e-09	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.8262705968011558
GO:2000487	positive regulation of glutamine transport	1.305113e-05	0.5603766	18	32.12126	0.0004192189	2.71931e-21	2.986928237896494e-20	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.8262705968011558
GO:1990697	protein depalmitoleylation	6.915672e-06	0.2969382	9	30.30934	0.0002096094	3.784314e-11	2.17552590327654e-10	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.8262705968011558
GO:0015862	uridine transport	8.48528e-06	0.3643325	8	21.95797	0.0001863195	5.569903e-09	2.7186332929154303e-08	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.8262705968011558
GO:0035105	sterol regulatory element binding protein import into nucleus	2.094445e-05	0.8992918	17	18.90376	0.0003959289	1.975364e-16	1.6514494838627702e-15	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.8262705968011558
GO:0072377	blood coagulation, common pathway	1.623494e-05	0.6970798	12	17.21467	0.0002794792	1.443977e-11	8.601762491172474e-11	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.8262705968011558
GO:0061402	positive regulation of transcription from RNA polymerase II promoter in response to acidic pH	4.347178e-05	1.866548	30	16.07245	0.0006986981	8.316243e-26	1.13993168371875e-24	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.7060532860599913
GO:1905355	spine apparatus assembly	4.996127e-05	2.145187	33	15.38327	0.0007685679	1.234807e-27	1.836025459096045e-26	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.8262705968011558
GO:0097291	renal phosphate ion absorption	1.142604e-05	0.4905999	7	14.26825	0.0001630296	8.844997e-07	3.464027247708333e-06	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.8262705968011558
GO:0042942	D-serine transport	3.887938e-05	1.669364	23	13.7777	0.0005356685	1.0237550000000001e-18	9.733809281069364e-18	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.7060532860599913
GO:0042941	D-alanine transport	3.607648e-05	1.549016	21	13.55699	0.0004890887	4.3639460000000004e-17	3.7854426772577456e-16	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.8262705968011558
GO:1901389	negative regulation of transforming growth factor beta activation	1.08688e-05	0.4666735	6	12.85695	0.0001397396	9.630298e-06	3.396544931171268e-05	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.8262705968011558
GO:0071538	SH2 domain-mediated complex assembly	2.942258e-05	1.263317	16	12.66507	0.000372639	6.127475e-13	4.049796259417378e-12	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.8262705968011558
GO:1990859	cellular response to endothelin	2.942258e-05	1.263317	16	12.66507	0.000372639	6.127475e-13	4.049796259417378e-12	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.8262705968011558
