term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0001725	stress fiber	0.005401415	231.9205	510	2.199029	0.01187787	2.217944e-56	7.2313344e-55	52	31.64254	47	1.485342	0.004113426	0.9038462	2.000854e-06	3.492399709090909e-05
GO:0042641	actomyosin	0.006930155	297.5601	606	2.036564	0.0141137	5.99217e-56	1.9174944e-54	64	38.94467	59	1.51497	0.005163662	0.921875	1.434268e-08	3.997443716129032e-07
GO:0005757	mitochondrial permeability transition pore complex	0.0002029598	8.714484	68	7.803101	0.001583716	6.284949e-37	1.4104405028571428e-35	4	2.434042	3	1.232518	0.0002625591	0.75	0.4899481	0.9651926741116752
GO:0034364	high-density lipoprotein particle	0.001072381	46.04483	147	3.192541	0.003423621	2.307438e-32	4.381596553846154e-31	27	16.42978	16	0.9738413	0.001400315	0.5925926	0.6474154	0.9651926741116752
GO:0046930	pore complex	0.001290968	55.43029	157	2.832386	0.00365652	5.764546000000001e-29	9.961135488e-28	18	10.95319	13	1.186869	0.001137756	0.7222222	0.230443	0.7573601523809523
GO:0031094	platelet dense tubular network	0.0008395913	36.04953	121	3.356493	0.002818082	8.625158e-29	1.4756705964356438e-27	11	6.693615	10	1.493961	0.0008751969	0.9090909	0.03417502	0.2147433983999999
GO:0031095	platelet dense tubular network membrane	0.0007610115	32.67555	114	3.488847	0.002655053	1.369325e-28	2.3197976470588235e-27	9	5.476594	8	1.460762	0.0007001575	0.8888889	0.07762814	0.4064891694545454
GO:0097444	spine apparatus	4.996127e-05	2.145187	33	15.38327	0.0007685679	1.234807e-27	2.0321395199999998e-26	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9651926741116752
GO:0016342	catenin complex	0.002070685	88.909	203	2.283233	0.004727857	2.4650860000000002e-25	3.736551410526315e-24	10	6.085104	10	1.643357	0.0008751969	1.0	0.006950407	0.0591640556453201
GO:1990604	IRE1-TRAF2-ASK1 complex	0.0002252607	9.67202	57	5.893288	0.001327526	2.7166210000000003e-25	4.0468285241379315e-24	4	2.434042	3	1.232518	0.0002625591	0.75	0.4899481	0.9651926741116752
GO:0005753	mitochondrial proton-transporting ATP synthase complex	0.0008973751	38.53059	117	3.036548	0.002724923	2.221897e-24	3.121494321951219e-23	23	13.99574	13	0.9288541	0.001137756	0.5652174	0.7412828	1.0
GO:0045259	proton-transporting ATP synthase complex	0.0009270785	39.80597	119	2.989501	0.002771502	3.18218e-24	4.3297693228346464e-23	24	14.60425	14	0.9586251	0.001225276	0.5833333	0.6818499	0.9874793390163934
GO:0042827	platelet dense granule	0.001726465	74.12924	175	2.360742	0.004075739	1.541932e-23	2.0654717023255816e-22	21	12.77872	18	1.408592	0.001575354	0.8571429	0.01339445	0.104731265158371
GO:0005899	insulin receptor complex	0.0005665622	24.32648	86	3.535242	0.002002935	2.37852e-22	3.0902876390977442e-21	3	1.825531	3	1.643357	0.0002625591	1.0	0.2252991	0.7482730871401152
GO:0005915	zonula adherens	0.0005854298	25.1366	85	3.381523	0.001979645	6.1789699999999995e-21	7.466615496503497e-20	8	4.868083	7	1.437938	0.0006126378	0.875	0.1155057	0.5224969884816755
GO:0097038	perinuclear endoplasmic reticulum	0.00134471	57.7378	142	2.459394	0.003307171	6.440596e-21	7.728715199999999e-20	11	6.693615	8	1.195169	0.0007001575	0.7272727	0.3167024	0.8599870451612903
GO:0000137	Golgi cis cisterna	0.0002934807	12.60118	58	4.602744	0.001350816	1.1847199999999999e-20	1.4118594206896553e-19	7	4.259573	4	0.9390613	0.0003500788	0.5714286	0.7265322	1.0
GO:0002079	inner acrosomal membrane	0.0002843326	12.20839	56	4.58701	0.001304236	6.216648e-20	7.209642781208054e-19	4	2.434042	3	1.232518	0.0002625591	0.75	0.4899481	0.9651926741116752
GO:1990578	perinuclear endoplasmic reticulum membrane	0.0006375537	27.37464	86	3.141593	0.002002935	3.0538600000000003e-19	3.4717566315789475e-18	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9651926741116752
GO:0017109	glutamate-cysteine ligase complex	0.0001860161	7.986974	43	5.383766	0.001001467	4.295926e-18	4.7282548585987256e-17	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.8599870451612903
GO:0005943	phosphatidylinositol 3-kinase complex, class IA	0.0006965582	29.90812	88	2.942345	0.002049514	5.914667e-18	6.428015456603772e-17	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.8599870451612903
GO:1990597	AIP1-IRE1 complex	0.0003482236	14.95168	59	3.946046	0.001374106	6.099439e-18	6.587394119999999e-17	3	1.825531	3	1.643357	0.0002625591	1.0	0.2252991	0.7482730871401152
GO:0042627	chylomicron	0.000717279	30.79781	86	2.792407	0.002002935	2.667578e-16	2.727559043786983e-15	14	8.519146	9	1.056444	0.0007876772	0.6428571	0.5122972	0.9651926741116752
GO:0034365	discoidal high-density lipoprotein particle	9.968527e-05	4.280187	30	7.00904	0.0006986981	5.276069e-16	5.362968959999999e-15	3	1.825531	2	1.095572	0.0001750394	0.6666667	0.6602186	0.9651926741116752
GO:0034361	very-low-density lipoprotein particle	0.001112091	47.74987	113	2.366499	0.002631763	7.08228e-16	7.074092393063585e-15	20	12.17021	12	0.9860144	0.001050236	0.6	0.6259936	0.9651926741116752
GO:0030478	actin cap	0.0003320469	14.2571	54	3.787588	0.001257657	7.65792e-16	7.60510675862069e-15	4	2.434042	4	1.643357	0.0003500788	1.0	0.1370827	0.5688860563245823
GO:0031088	platelet dense granule membrane	0.0006965316	29.90698	83	2.775272	0.001933065	1.202435e-15	1.1805725454545456e-14	6	3.651062	5	1.369464	0.0004375985	0.8333333	0.2467089	0.7573601523809523
GO:0044300	cerebellar mossy fiber	0.0007657459	32.87883	87	2.64608	0.002026224	3.594028e-15	3.3937051278688534e-14	5	3.042552	5	1.643357	0.0004375985	1.0	0.08340484	0.4201853163848396
GO:0042622	photoreceptor outer segment membrane	0.0006458729	27.73184	78	2.812651	0.001816615	4.247355e-15	3.9888203478260873e-14	12	7.302125	9	1.232518	0.0007876772	0.75	0.243821	0.7573601523809523
GO:0002081	outer acrosomal membrane	0.0002140532	9.190804	41	4.460981	0.0009548874	1.210686e-14	1.0953222031413614e-13	3	1.825531	2	1.095572	0.0001750394	0.6666667	0.6602186	0.9651926741116752
