term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0042568	insulin-like growth factor binary complex	1.653314e-05	0.7098834	12	16.90418	0.0002794792	1.77543e-11	1.3338882782608694e-10	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9651926741116752
GO:0097444	spine apparatus	4.996127e-05	2.145187	33	15.38327	0.0007685679	1.234807e-27	2.0321395199999998e-26	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9651926741116752
GO:0045160	myosin I complex	1.859633e-05	0.7984708	11	13.77633	0.0002561893	1.014336e-09	6.664534631178707e-09	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9651926741116752
GO:0008537	proteasome activator complex	9.025843e-06	0.3875426	5	12.90181	0.0001164497	5.281235e-05	0.00021076152609699768	3	1.825531	1	0.5477858	8.751969e-05	0.3333333	0.9400136	1.0
GO:1990913	sperm head plasma membrane	1.08688e-05	0.4666735	6	12.85695	0.0001397396	9.630298e-06	4.245192587755102e-05	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9651926741116752
GO:1990917	ooplasm	1.08688e-05	0.4666735	6	12.85695	0.0001397396	9.630298e-06	4.245192587755102e-05	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9651926741116752
GO:0034998	oligosaccharyltransferase I complex	1.496489e-05	0.6425476	8	12.45044	0.0001863195	4.077059e-07	2.1544825541284406e-06	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9651926741116752
GO:0009346	citrate lyase complex	1.879854e-05	0.8071527	8	9.911383	0.0001863195	2.186533e-06	1.058355468907563e-05	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9651926741116752
GO:0042564	NLS-dependent protein nuclear import complex	2.061119e-05	0.8849828	8	9.039724	0.0001863195	4.264309e-06	1.9702475807486627e-05	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9651926741116752
GO:1990730	VCP-NSFL1C complex	6.148058e-05	2.639792	22	8.333991	0.0005123786	1.343249e-13	1.143415897536946e-12	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.8599870451612903
GO:0097226	sperm mitochondrial sheath	3.661534e-05	1.572153	13	8.268916	0.0003027692	1.342917e-08	7.974434969072167e-08	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9651926741116752
GO:0033768	SUMO-targeted ubiquitin ligase complex	1.452611e-05	0.6237076	5	8.016577	0.0001164497	0.0004695213	0.0015754035075728	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9651926741116752
GO:0005757	mitochondrial permeability transition pore complex	0.0002029598	8.714484	68	7.803101	0.001583716	6.284949e-37	1.4104405028571428e-35	4	2.434042	3	1.232518	0.0002625591	0.75	0.4899481	0.9651926741116752
GO:0044302	dentate gyrus mossy fiber	1.970163e-05	0.8459289	6	7.092795	0.0001397396	0.0002478272	0.0008739702073469388	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9651926741116752
GO:0034365	discoidal high-density lipoprotein particle	9.968527e-05	4.280187	30	7.00904	0.0006986981	5.276069e-16	5.362968959999999e-15	3	1.825531	2	1.095572	0.0001750394	0.6666667	0.6602186	0.9651926741116752
