term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0045309	protein phosphorylated amino acid binding	0.005037238	216.2839	462	2.136082	0.01075995	4.608884e-48	3.13850133032258e-46	44	26.77446	38	1.419263	0.003325748	0.8636364	0.0002055652	0.0053245170208588
GO:0005159	insulin-like growth factor receptor binding	0.001942722	83.41464	245	2.937134	0.005706034	9.723149e-47	6.127035086268656e-45	16	9.736167	14	1.437938	0.001225276	0.875	0.02150367	0.2535991473184357
GO:0071889	14-3-3 protein binding	0.003233022	138.8163	338	2.434873	0.007871999	1.732256e-46	1.0755271811764706e-44	25	15.21276	22	1.446154	0.001925433	0.88	0.003032064	0.0551783371034482
GO:0033293	monocarboxylic acid binding	0.003830261	164.4599	373	2.26803	0.008687146	1.802094e-44	1.0567278983333332e-42	58	35.2936	44	1.246685	0.003850866	0.7586207	0.01172412	0.1644874423841059
GO:0001784	phosphotyrosine binding	0.004188024	179.8212	395	2.196627	0.009199525	6.117372e-44	3.538019806027397e-42	35	21.29786	30	1.408592	0.002625591	0.8571429	0.00130515	0.0266969501642512
GO:0003785	actin monomer binding	0.002526007	108.4592	267	2.461756	0.006218413	7.511138999999999e-38	3.645060788275863e-36	28	17.03829	20	1.173827	0.001750394	0.7142857	0.1704788	0.8661389814681107
GO:0043184	vascular endothelial growth factor receptor 2 binding	0.0007381938	31.69583	120	3.785987	0.002794792	4.1860690000000004e-33	1.7852104361616159e-31	7	4.259573	6	1.408592	0.0005251182	0.8571429	0.1699766	0.8661389814681107
GO:0043426	MRF binding	0.000598035	25.67783	107	4.167019	0.002492023	4.641412e-33	1.9596041464e-31	5	3.042552	4	1.314686	0.0003500788	0.8	0.3517943	0.9251773660121384
GO:0043183	vascular endothelial growth factor receptor 1 binding	0.0001485297	6.377418	55	8.624179	0.001280947	2.646967e-32	1.1064846211881187e-30	2	1.217021	1	0.8216786	8.751969e-05	0.5	0.8467486	1.0
GO:0005072	transforming growth factor beta receptor, cytoplasmic mediator activity	0.001225616	52.62426	158	3.002418	0.00367981	8.768454e-32	3.5942148337864074e-30	10	6.085104	10	1.643357	0.0008751969	1.0	0.006950407	0.1099049376554307
GO:0019855	calcium channel inhibitor activity	0.0006840711	29.37196	111	3.779114	0.002585183	1.087362e-30	4.2905068822429904e-29	11	6.693615	8	1.195169	0.0007001575	0.7272727	0.3167024	0.9251773660121384
GO:0001223	transcription coactivator binding	0.002925054	125.593	273	2.173687	0.006358153	3.168846e-30	1.2387840566666667e-28	20	12.17021	16	1.314686	0.001400315	0.8	0.05931818	0.4939671715187377
GO:0034185	apolipoprotein binding	0.001479453	63.52329	168	2.644699	0.003912709	1.1250899999999999e-27	3.9584416500000004e-26	16	9.736167	13	1.335228	0.001137756	0.8125	0.07416188	0.5852550604859813
GO:0046790	virion binding	0.0006155506	26.4299	98	3.707922	0.002282414	1.050116e-26	3.604544513821138e-25	8	4.868083	5	1.027098	0.0004375985	0.625	0.6137901	0.9251773660121384
GO:1990239	steroid hormone binding	0.0006125717	26.30199	96	3.649914	0.002235834	1.028299e-25	3.44561776031746e-24	6	3.651062	4	1.095572	0.0003500788	0.6666667	0.5619651	0.9251773660121384
GO:0004699	calcium-independent protein kinase C activity	0.0003516273	15.09782	71	4.702665	0.001653585	2.006946e-25	6.619785946874999e-24	3	1.825531	3	1.643357	0.0002625591	1.0	0.2252991	0.9041946769961978
GO:0019840	isoprenoid binding	0.002446102	105.0283	227	2.161323	0.005286816	4.0217540000000002e-25	1.3162670843410853e-23	34	20.68935	26	1.256685	0.002275512	0.7647059	0.04214165	0.4118565886574075
GO:0017127	cholesterol transporter activity	0.001345967	57.79178	151	2.612828	0.00351678	1.479532e-24	4.732260684848485e-23	19	11.5617	15	1.297387	0.001312795	0.7894737	0.0800109	0.5916798640268457
GO:0005501	retinoid binding	0.002366199	101.5975	219	2.155565	0.005100496	3.678822e-24	1.1678185326315791e-22	32	19.47233	25	1.283873	0.002187992	0.78125	0.0308331	0.3283153753652392
GO:0030617	transforming growth factor beta receptor, inhibitory cytoplasmic mediator activity	0.0004799686	20.60841	81	3.930434	0.001886485	6.778641e-24	2.119957207555556e-22	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.9251773660121384
GO:0005172	vascular endothelial growth factor receptor binding	0.001252065	53.7599	142	2.641374	0.003307171	1.2920880000000002e-23	3.9818945518248176e-22	11	6.693615	9	1.344565	0.0007876772	0.8181818	0.1305712	0.7485730814910025
GO:0001103	RNA polymerase II repressing transcription factor binding	0.002760012	118.5066	241	2.033641	0.005612875	3.37488e-23	1.017767382857143e-21	29	17.6468	23	1.303352	0.002012953	0.7931034	0.0287339	0.3200910970976253
GO:0035276	ethanol binding	0.0003409737	14.64039	66	4.508078	0.001537136	8.429092e-23	2.5061708749295776e-21	3	1.825531	3	1.643357	0.0002625591	1.0	0.2252991	0.9041946769961978
GO:0071820	N-box binding	0.0002574093	11.05238	57	5.157259	0.001327526	1.413071e-22	4.109642747945205e-21	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0043559	insulin binding	0.001189147	51.0584	135	2.644031	0.003144141	1.421146e-22	4.109642747945205e-21	5	3.042552	4	1.314686	0.0003500788	0.8	0.3517943	0.9251773660121384
GO:0043560	insulin receptor substrate binding	0.001692707	72.67977	170	2.339028	0.003959289	1.607781e-22	4.617722028571429e-21	11	6.693615	10	1.493961	0.0008751969	0.9090909	0.03417502	0.3476793600963855
GO:0008198	ferrous iron binding	0.002222793	95.44008	201	2.106033	0.004681277	3.135698e-21	8.07251033902439e-20	22	13.38723	19	1.419263	0.001662874	0.8636364	0.009313806	0.1404388890428571
GO:0001972	retinoic acid binding	0.001716182	73.6877	167	2.266321	0.003889419	7.600697e-21	1.944857135393939e-19	18	10.95319	14	1.278167	0.001225276	0.7777778	0.1068631	0.7015665931677019
GO:0034713	type I transforming growth factor beta receptor binding	0.001481883	63.6276	151	2.373184	0.00351678	9.484779e-21	2.3987983183233533e-19	9	5.476594	8	1.460762	0.0007001575	0.8888889	0.07762814	0.5916798640268457
GO:0034186	apolipoprotein A-I binding	0.0003132255	13.44896	60	4.46131	0.001397396	1.140696e-20	2.8666776857142856e-19	4	2.434042	3	1.232518	0.0002625591	0.75	0.4899481	0.9251773660121384
GO:0015248	sterol transporter activity	0.002321915	99.69608	205	2.056249	0.004774437	1.684786e-20	4.184215583529412e-19	30	18.25531	25	1.369464	0.002187992	0.8333333	0.007277485	0.1133783825461254
GO:0072349	modified amino acid transmembrane transporter activity	0.001915648	82.25217	179	2.176234	0.004168899	1.811981e-20	4.447781268604651e-19	18	10.95319	14	1.278167	0.001225276	0.7777778	0.1068631	0.7015665931677019
GO:0038051	glucocorticoid-activated RNA polymerase II transcription factor binding transcription factor activity	0.0003525839	15.13889	63	4.161467	0.001467266	3.7942e-20	9.259602543352599e-19	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0050693	LBD domain binding	0.001175634	50.47819	128	2.535749	0.002981112	4.7063079999999995e-20	1.1419558836781611e-18	6	3.651062	6	1.643357	0.0005251182	1.0	0.05074401	0.4463888654396728
GO:0050692	DBD domain binding	0.0006931939	29.76367	92	3.091017	0.002142674	5.0730559999999996e-20	1.2239109961142856e-18	3	1.825531	3	1.643357	0.0002625591	1.0	0.2252991	0.9041946769961978
GO:0001222	transcription corepressor binding	0.001418361	60.90016	144	2.364526	0.003353751	9.824675e-20	2.3434902740112997e-18	11	6.693615	10	1.493961	0.0008751969	0.9090909	0.03417502	0.3476793600963855
GO:0005068	transmembrane receptor protein tyrosine kinase adaptor activity	0.001586997	68.14088	155	2.274699	0.00360994	1.301136e-19	3.074290576536313e-18	11	6.693615	10	1.493961	0.0008751969	0.9090909	0.03417502	0.3476793600963855
GO:0008112	nicotinamide N-methyltransferase activity	0.0001140139	4.895417	36	7.353817	0.0008384377	1.557592e-19	3.6332339359116016e-18	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0030760	pyridine N-methyltransferase activity	0.0001140139	4.895417	36	7.353817	0.0008384377	1.557592e-19	3.6332339359116016e-18	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0005369	taurine:sodium symporter activity	0.0001216261	5.222259	37	7.085056	0.0008617276	1.63298e-19	3.788154703296703e-18	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0048185	activin binding	0.001352266	58.06226	138	2.376759	0.003214011	3.6503319999999996e-19	8.33064956972973e-18	12	7.302125	11	1.506411	0.0009627166	0.9166667	0.02244578	0.2589237244808743
GO:0005220	inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	0.0004643828	19.9392	71	3.560824	0.001653585	6.562074999999999e-19	1.4658772830687832e-17	3	1.825531	3	1.643357	0.0002625591	1.0	0.2252991	0.9041946769961978
GO:0048406	nerve growth factor binding	0.0003236661	13.89725	58	4.173487	0.001350816	9.761048e-19	2.1576515526701567e-17	6	3.651062	6	1.643357	0.0005251182	1.0	0.05074401	0.4463888654396728
GO:0031698	beta-2 adrenergic receptor binding	0.0008904356	38.23263	104	2.720189	0.002422153	1.348039e-18	2.948922620725389e-17	4	2.434042	4	1.643357	0.0003500788	1.0	0.1370827	0.7485730814910025
GO:0003708	retinoic acid receptor activity	0.001073157	46.07812	117	2.539166	0.002724923	1.610107e-18	3.5040576051546403e-17	7	4.259573	6	1.408592	0.0005251182	0.8571429	0.1699766	0.8661389814681107
GO:0005504	fatty acid binding	0.001175095	50.45507	124	2.457632	0.002887952	1.843556e-18	3.9310572888888883e-17	27	16.42978	19	1.156437	0.001662874	0.7037037	0.2086783	0.9041946769961978
GO:0004357	glutamate-cysteine ligase activity	0.0001860161	7.986974	43	5.383766	0.001001467	4.295926e-18	9.068699786e-17	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.9251773660121384
GO:0030226	apolipoprotein receptor activity	0.0002053007	8.814998	45	5.104936	0.001048047	5.179424e-18	1.0879367227860696e-16	3	1.825531	2	1.095572	0.0001750394	0.6666667	0.6602186	0.9420219429537006
GO:0036312	phosphatidylinositol 3-kinase regulatory subunit binding	0.001709946	73.41995	158	2.152004	0.00367981	7.511143e-18	1.5394196964077671e-16	10	6.085104	9	1.479022	0.0007876772	0.9	0.0517016	0.4463888654396728
GO:0005161	platelet-derived growth factor receptor binding	0.001700684	73.02227	157	2.150029	0.00365652	1.027437e-17	2.0854995259615383e-16	15	9.127656	13	1.424243	0.001137756	0.8666667	0.03137709	0.3295374974626866
GO:0098641	cadherin binding involved in cell-cell adhesion	0.002164696	92.94554	186	2.001172	0.004331928	1.237318e-17	2.4848390909952606e-16	18	10.95319	15	1.369464	0.001312795	0.8333333	0.03830171	0.3787115213583138
GO:0004588	orotate phosphoribosyltransferase activity	0.0002691301	11.55564	51	4.413429	0.001187787	1.2418310000000001e-17	2.4848390909952606e-16	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0004590	orotidine-5'-phosphate decarboxylase activity	0.0002691301	11.55564	51	4.413429	0.001187787	1.2418310000000001e-17	2.4848390909952606e-16	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0015186	L-glutamine transmembrane transporter activity	0.0002133333	9.159891	45	4.912722	0.001048047	2.082954e-17	4.1482225415094343e-16	4	2.434042	4	1.643357	0.0003500788	1.0	0.1370827	0.7485730814910025
GO:0005290	L-histidine transmembrane transporter activity	4.657117e-05	1.999626	23	11.50215	0.0005356685	4.7468860000000006e-17	9.193281051376148e-16	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.9251773660121384
GO:0015182	L-asparagine transmembrane transporter activity	4.657117e-05	1.999626	23	11.50215	0.0005356685	4.7468860000000006e-17	9.193281051376148e-16	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.9251773660121384
GO:0016881	acid-amino acid ligase activity	0.001703387	73.13835	155	2.119271	0.00360994	5.4630650000000006e-17	1.0484118377272729e-15	23	13.99574	16	1.143205	0.001400315	0.6956522	0.2636595	0.9251773660121384
GO:0050119	N-acetylglucosamine deacetylase activity	7.77145e-05	3.336828	28	8.391204	0.0006521182	5.887328000000001e-17	1.1196530998198198e-15	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.9251773660121384
GO:0060228	phosphatidylcholine-sterol O-acyltransferase activator activity	0.0001228012	5.272714	34	6.448292	0.0007918578	7.170908e-17	1.3576490392825113e-15	6	3.651062	4	1.095572	0.0003500788	0.6666667	0.5619651	0.9251773660121384
GO:0000146	microfilament motor activity	0.001992569	85.55493	172	2.010404	0.004005869	1.308998e-16	2.4453936088495574e-15	22	13.38723	18	1.344565	0.001575354	0.8181818	0.03175735	0.3302451519704433
GO:0050509	N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity	0.0005689488	24.42895	75	3.070127	0.001746745	1.750921e-16	3.24227564122807e-15	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.9251773660121384
GO:0050508	glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity	0.0005832376	25.04247	76	3.034844	0.001770035	2.017517e-16	3.7034594669565215e-15	3	1.825531	3	1.643357	0.0002625591	1.0	0.2252991	0.9041946769961978
GO:0015194	L-serine transmembrane transporter activity	0.0004485689	19.2602	65	3.374835	0.001513846	2.292797e-16	4.19055798008658e-15	10	6.085104	9	1.479022	0.0007876772	0.9	0.0517016	0.4463888654396728
GO:0008267	poly-glutamine tract binding	0.0001902405	8.168358	41	5.019369	0.0009548874	2.592085e-16	4.717147788793103e-15	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0102391	decanoate--CoA ligase activity	0.0005759632	24.73013	75	3.032738	0.001746745	3.26763e-16	5.895698230769231e-15	8	4.868083	7	1.437938	0.0006126378	0.875	0.1155057	0.7182107001472754
GO:0080023	3R-hydroxyacyl-CoA dehydratase activity	0.0002044657	8.779145	42	4.784065	0.0009781773	5.723587e-16	1.0153354753781514e-14	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.9251773660121384
GO:0038049	transcription factor activity, ligand-activated RNA polymerase II transcription factor binding	0.0004458617	19.14396	64	3.34309	0.001490556	5.927342e-16	1.0470810846861923e-14	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.9251773660121384
GO:0008142	oxysterol binding	0.0005828455	25.02564	75	2.996927	0.001746745	5.962289e-16	1.0488660065833332e-14	5	3.042552	5	1.643357	0.0004375985	1.0	0.08340484	0.5916798640268457
GO:0071949	FAD binding	0.00117145	50.29853	117	2.326112	0.002724923	7.173121e-16	1.256635554439834e-14	20	12.17021	14	1.15035	0.001225276	0.7	0.2752898	0.9251773660121384
GO:0047372	acylglycerol lipase activity	0.000452037	19.40911	64	3.29742	0.001490556	1.103122e-15	1.9166177300411523e-14	10	6.085104	7	1.15035	0.0006126378	0.7	0.4038104	0.9251773660121384
GO:0070653	high-density lipoprotein particle receptor binding	9.69685e-05	4.163536	29	6.965233	0.0006754082	1.867184e-15	3.2176534073469394e-14	3	1.825531	1	0.5477858	8.751969e-05	0.3333333	0.9400136	1.0
