term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0003975	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity	3.15045e-06	0.1352709	9	66.53317	0.0002096094	3.69728e-14	5.676333149090909e-13	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0008963	phospho-N-acetylmuramoyl-pentapeptide-transferase activity	3.15045e-06	0.1352709	9	66.53317	0.0002096094	3.69728e-14	5.676333149090909e-13	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:1990699	palmitoleyl hydrolase activity	6.915672e-06	0.2969382	9	30.30934	0.0002096094	3.784314e-11	4.3902200225274726e-10	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:1904265	ubiquitin-specific protease activity involved in negative regulation of retrograde protein transport, ER to cytosol	6.239627e-06	0.2679109	7	26.12809	0.0001630296	1.554853e-08	1.3791154130252102e-07	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0002153	steroid receptor RNA activator RNA binding	1.426842e-05	0.6126433	12	19.58725	0.0002794792	3.314184e-12	4.201947401801802e-11	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0004655	porphobilinogen synthase activity	8.563913e-06	0.3677087	7	19.03681	0.0001630296	1.307791e-07	1.000270580072464e-06	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0045485	omega-6 fatty acid desaturase activity	8.56119e-06	0.3675918	6	16.32245	0.0001397396	2.502363e-06	1.5839545106446776e-05	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0004454	ketohexokinase activity	1.311819e-05	0.5632559	9	15.97853	0.0002096094	9.477422e-09	8.62363700086207e-08	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0033906	hyaluronoglucuronidase activity	8.581614e-06	0.3684688	5	13.56967	0.0001164497	4.1685e-05	0.0002194439775561097	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.9251773660121384
GO:0002135	CTP binding	1.08688e-05	0.4666735	6	12.85695	0.0001397396	9.630298e-06	5.585043702747252e-05	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0004324	ferredoxin-NADP+ reductase activity	9.441138e-06	0.4053741	5	12.33429	0.0001164497	6.51671e-05	0.0003322892466183575	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0015039	NADPH-adrenodoxin reductase activity	9.441138e-06	0.4053741	5	12.33429	0.0001164497	6.51671e-05	0.0003322892466183575	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0008111	alpha-methylacyl-CoA racemase activity	1.80762e-05	0.7761376	9	11.59588	0.0002096094	1.403218e-07	1.0682253362162162e-06	1	0.6085104	1	1.643357	8.751969e-05	1.0	0.6085104	0.9251773660121384
GO:0005290	L-histidine transmembrane transporter activity	4.657117e-05	1.999626	23	11.50215	0.0005356685	4.7468860000000006e-17	9.193281051376148e-16	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.9251773660121384
GO:0015182	L-asparagine transmembrane transporter activity	4.657117e-05	1.999626	23	11.50215	0.0005356685	4.7468860000000006e-17	9.193281051376148e-16	2	1.217021	2	1.643357	0.0001750394	1.0	0.3702722	0.9251773660121384
