term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0030968	endoplasmic reticulum unfolded protein response	0.006560078	163.4575	364	2.226879	0.0146085	5.714288e-42	7.519431579200001e-39	114	59.19476	80	1.351471	0.008205128	0.7017544	5.334926e-05	0.0010369614657902
GO:0035967	cellular response to topologically incorrect protein	0.008152827	203.144	420	2.067499	0.01685596	7.120675e-41	7.808413527083332e-38	139	72.17607	96	1.330081	0.009846154	0.6906475	2.816132e-05	0.000591972539744409
GO:0072367	regulation of lipid transport by regulation of transcription from RNA polymerase II promoter	0.0002106931	5.24984	57	10.85747	0.002287595	1.5093339999999998e-38	1.1034070058888888e-35	4	2.077009	4	1.925846	0.0004102564	1.0	0.07267502	0.3428142509924758
GO:0034620	cellular response to unfolded protein	0.007365852	183.5349	372	2.026862	0.01492957	1.0158779999999999e-34	5.141514846923077e-32	121	62.82953	85	1.352867	0.008717949	0.7024793	2.965034e-05	0.000614439093007874
GO:0016073	snRNA metabolic process	0.004095847	102.0562	248	2.430033	0.009953044	1.57098e-34	7.128457179310345e-32	86	44.6557	64	1.433188	0.006564103	0.744186	1.545271e-05	0.00034175161494117643
GO:0098781	ncRNA transcription	0.004966593	123.7526	281	2.270659	0.01127744	4.1945319999999996e-34	1.8398615529333332e-31	92	47.77121	69	1.444385	0.007076923	0.75	4.537426e-06	0.00011308331199621212
GO:0072369	regulation of lipid transport by positive regulation of transcription from RNA polymerase II promoter	9.909263e-05	2.469091	39	15.79529	0.001565196	8.776793e-33	3.2998234024857145e-30	2	1.038505	2	1.925846	0.0002051282	1.0	0.2696096	0.6955092582630857
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.005438963	135.5226	295	2.176758	0.01183931	1.032218e-32	3.773043517222222e-30	118	61.27177	91	1.485186	0.009333333	0.7711864	1.362156e-08	5.431700243636364e-07
GO:0019080	viral gene expression	0.006005482	149.6386	306	2.044927	0.01228077	1.8693620000000002e-29	4.730564338076923e-27	127	65.94504	99	1.50125	0.01015385	0.7795276	1.104219e-09	5.1526304329787234e-08
GO:0010869	regulation of receptor biosynthetic process	0.001092304	27.21695	103	3.784407	0.004133724	1.132563e-28	2.6146309678947367e-26	20	10.38505	16	1.540677	0.001641026	0.8	0.009404772	0.0830029475171026
GO:0006613	cotranslational protein targeting to membrane	0.004521721	112.6677	247	2.192287	0.009912911	4.429406e-28	9.879076873559322e-26	98	50.88672	79	1.552468	0.008102564	0.8061224	3.147633e-09	1.3760698553820597e-07
GO:0042795	snRNA transcription from RNA polymerase II promoter	0.003817669	95.12485	219	2.302238	0.00878918	1.068017e-27	2.2667799520967743e-25	70	36.34766	53	1.458141	0.005435897	0.7571429	3.663878e-05	0.0007463308142724458
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	0.004234841	105.5195	232	2.198645	0.009310912	1.2258e-26	2.52035971875e-24	92	47.77121	75	1.569983	0.007692308	0.8152174	3.00573e-09	1.318413369e-07
GO:0045047	protein targeting to ER	0.004763986	118.7042	251	2.114499	0.01007344	2.244095e-26	4.543084016153845e-24	101	52.44448	81	1.54449	0.008307692	0.8019802	3.168116e-09	1.3804383590728478e-07
