term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0002368	B cell cytokine production	2.042431e-06	0.05089125	7	137.5482	0.0002809327	1.676404e-13	9.892287101345293e-12	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.851390598388637
GO:0002842	positive regulation of T cell mediated immune response to tumor cell	2.042431e-06	0.05089125	7	137.5482	0.0002809327	1.676404e-13	9.892287101345293e-12	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.851390598388637
GO:0048291	isotype switching to IgG isotypes	2.042431e-06	0.05089125	7	137.5482	0.0002809327	1.676404e-13	9.892287101345293e-12	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.851390598388637
GO:1903839	positive regulation of mRNA 3'-UTR binding	5.727657e-06	0.142716	15	105.1038	0.0006019986	1.382627e-25	2.599141241857143e-23	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.851390598388637
GO:0033609	oxalate metabolic process	4.031759e-06	0.1004593	10	99.54276	0.0004013324	2.628596e-17	2.3691571756164385e-15	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.851390598388637
GO:0032298	positive regulation of DNA-dependent DNA replication initiation	2.465214e-06	0.06142574	6	97.67891	0.0002407995	7.07393e-11	2.614770923314607e-09	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.851390598388637
GO:0060695	negative regulation of cholesterol transporter activity	4.197877e-06	0.1045985	8	76.48294	0.0003210659	3.234835e-13	1.7885375531512604e-11	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.851390598388637
GO:0060621	negative regulation of cholesterol import	8.302823e-06	0.2068814	14	67.67161	0.0005618654	2.479316e-21	3.1675067227184466e-19	2	1.038505	2	1.925846	0.0002051282	1.0	0.2696096	0.6955092582630857
GO:0010987	negative regulation of high-density lipoprotein particle clearance	4.104946e-06	0.1022829	6	58.66081	0.0002407995	1.45611e-09	4.3646814328018234e-08	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.851390598388637
GO:0007072	positive regulation of transcription involved in exit from mitosis	3.508897e-06	0.08743118	5	57.18784	0.0002006662	3.957063e-08	8.885834815187712e-07	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.851390598388637
GO:1904935	positive regulation of cell proliferation in midbrain	6.517738e-06	0.1624025	9	55.41787	0.0003611992	1.868683e-13	1.0880530795132743e-11	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.851390598388637
GO:1990792	cellular response to glial cell derived neurotrophic factor	6.517738e-06	0.1624025	9	55.41787	0.0003611992	1.868683e-13	1.0880530795132743e-11	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.851390598388637
GO:0014853	regulation of excitatory postsynaptic membrane potential involved in skeletal muscle contraction	3.87279e-06	0.0964983	5	51.81438	0.0002006662	6.432298e-08	1.387583760360656e-06	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.851390598388637
GO:0032618	interleukin-15 production	4.288424e-06	0.1068547	5	46.79253	0.0002006662	1.061689e-07	2.224067652782194e-06	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.851390598388637
GO:0052567	response to defense-related host reactive oxygen species production	4.288424e-06	0.1068547	5	46.79253	0.0002006662	1.061689e-07	2.224067652782194e-06	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.851390598388637
