term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0035976	transcription factor AP-1 complex	0.0003156216	7.864344	53	6.739278	0.002127062	2.981514e-26	1.4720160548571428e-24	5	2.596261	5	1.925846	0.0005128205	1.0	0.03772922	0.2109905895145631
GO:0005761	mitochondrial ribosome	0.003166149	78.89094	182	2.306982	0.00730425	2.123832e-23	9.657846568421052e-22	85	44.13644	57	1.29145	0.005846154	0.6705882	0.00330311	0.032072544
GO:0005677	chromatin silencing complex	0.0003560917	8.872738	49	5.522535	0.001966529	7.727189e-21	3.307260503414634e-19	8	4.154018	7	1.685115	0.0007179487	0.875	0.04439473	0.230372652972973
GO:0008537	proteasome activator complex	9.025843e-06	0.2248969	14	62.25074	0.0005618654	7.847088e-21	3.307260503414634e-19	3	1.557757	2	1.283897	0.0002051282	0.6666667	0.5288657	0.8226664241563055
GO:0016469	proton-transporting two-sector ATPase complex	0.002684778	66.8966	156	2.331957	0.006260786	1.016877e-20	4.183722514285714e-19	53	27.52037	36	1.308122	0.003692308	0.6792453	0.01329109	0.1016239093805309
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	0.0001646111	4.101615	34	8.289419	0.00136453	4.318644e-20	1.7354922865116278e-18	6	3.115514	6	1.925846	0.0006153846	1.0	0.01958615	0.1348401083665338
GO:0099078	BORC complex	0.00013149	3.276337	31	9.461787	0.001244131	4.7794969999999997e-20	1.870995456e-18	8	4.154018	8	1.925846	0.0008205128	1.0	0.00527749	0.047746087539267
GO:0005758	mitochondrial intermembrane space	0.003879722	96.67104	199	2.058528	0.007986515	4.872384e-20	1.870995456e-18	78	40.50168	50	1.234517	0.005128205	0.6410256	0.019928	0.1366491428571428
GO:0070557	PCNA-p21 complex	3.779246e-05	0.9416748	20	21.23875	0.0008026648	5.0096129999999996e-20	1.881872013913044e-18	2	1.038505	2	1.925846	0.0002051282	1.0	0.2696096	0.6329964521739131
GO:0098799	outer mitochondrial membrane protein complex	0.0006256334	15.58891	63	4.041335	0.002528394	1.51776e-19	5.2453785600000004e-18	15	7.788784	12	1.540677	0.001230769	0.8	0.02501972	0.1613211797014925
GO:0005742	mitochondrial outer membrane translocase complex	0.0005012303	12.48915	56	4.48389	0.002247462	1.6618949999999998e-19	5.630891294117648e-18	11	5.711775	9	1.575692	0.0009230769	0.8181818	0.04311199	0.230372652972973
GO:0042719	mitochondrial intermembrane space protein transporter complex	0.0001023357	2.549898	27	10.58866	0.001083598	7.379496999999999e-19	2.4522636184615386e-17	5	2.596261	5	1.925846	0.0005128205	1.0	0.03772922	0.2109905895145631
GO:1990630	IRE1-RACK1-PP2A complex	9.273386e-05	2.31065	26	11.25225	0.001043464	7.620445999999999e-19	2.4845529599999998e-17	2	1.038505	2	1.925846	0.0002051282	1.0	0.2696096	0.6329964521739131
GO:0030137	COPI-coated vesicle	0.001301985	32.44156	94	2.897518	0.003772525	1.1625900000000001e-18	3.7202880000000005e-17	23	11.9428	21	1.758381	0.002153846	0.9130435	6.741512e-05	0.0010401189942857
GO:0033179	proton-transporting V-type ATPase, V0 domain	0.0004242987	10.57225	49	4.634775	0.001966529	7.917139e-18	2.4874211258181823e-16	10	5.192523	9	1.733262	0.0009230769	0.9	0.01459702	0.1077933784615384
GO:0005762	mitochondrial large ribosomal subunit	0.001881872	46.8906	112	2.388538	0.004494923	4.964986e-16	1.4541518318644073e-14	51	26.48187	35	1.321659	0.003589744	0.6862745	0.01150098	0.0891197015246636
GO:1990332	Ire1 complex	8.053748e-05	2.006752	22	10.96299	0.0008829313	5.871306e-16	1.6909361280000002e-14	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.8226664241563055
GO:0097525	spliceosomal snRNP complex	0.002803648	69.85849	145	2.075625	0.00581932	2.500128e-15	6.7503456e-14	62	32.19364	42	1.304605	0.004307692	0.6774194	0.008366635	0.0695074292307692
GO:0034663	endoplasmic reticulum chaperone complex	0.000388757	9.686658	42	4.335861	0.001685596	1.465222e-14	3.669425530434783e-13	11	5.711775	9	1.575692	0.0009230769	0.8181818	0.04311199	0.230372652972973
GO:0035102	PRC1 complex	0.0004287161	10.68232	44	4.118955	0.001765863	2.017174e-14	4.979538102857143e-13	12	6.231027	8	1.283897	0.0008205128	0.6666667	0.2331256	0.6329964521739131
GO:0005869	dynactin complex	0.000199136	4.961872	30	6.046105	0.001203997	2.294968e-14	5.585499583098591e-13	9	4.67327	6	1.283897	0.0006153846	0.6666667	0.2931803	0.6745879605858854
GO:0002199	zona pellucida receptor complex	0.0001608527	4.007966	27	6.736584	0.001083598	3.660763e-14	8.665477347945205e-13	9	4.67327	7	1.49788	0.0007179487	0.7777778	0.1102348	0.4290219243243243
GO:0008024	cyclin/CDK positive transcription elongation factor complex	0.0004371364	10.89213	44	4.039615	0.001765863	3.872886e-14	9.043712172972973e-13	8	4.154018	7	1.685115	0.0007179487	0.875	0.04439473	0.230372652972973
GO:0048476	Holliday junction resolvase complex	5.901673e-05	1.47052	18	12.24057	0.0007223984	4.000196e-14	9.216451584e-13	5	2.596261	5	1.925846	0.0005128205	1.0	0.03772922	0.2109905895145631
GO:0016281	eukaryotic translation initiation factor 4F complex	0.0004860897	12.1119	46	3.797918	0.001846129	8.822818e-14	1.9799778576623378e-12	9	4.67327	9	1.925846	0.0009230769	1.0	0.002739267	0.0276810138947368
GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain	0.001021907	25.46285	71	2.788377	0.00284946	1.002911e-13	2.2218336e-12	23	11.9428	15	1.255987	0.001538462	0.6521739	0.1426312	0.45676128
GO:0005666	DNA-directed RNA polymerase III complex	0.0005435719	13.54418	48	3.543957	0.001926396	3.000411e-13	6.48088776e-12	19	9.865793	14	1.419045	0.001435897	0.7368421	0.04563831	0.2354119393432835
