term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0043626	PCNA complex	4.608746e-06	0.1148361	8	69.6645	0.0003210659	6.765979e-13	1.4086279171084335e-11	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.8226664241563055
GO:0008537	proteasome activator complex	9.025843e-06	0.2248969	14	62.25074	0.0005618654	7.847088e-21	3.307260503414634e-19	3	1.557757	2	1.283897	0.0002051282	0.6666667	0.5288657	0.8226664241563055
GO:0005731	nucleolus organizer region	3.508897e-06	0.08743118	5	57.18784	0.0002006662	3.957063e-08	4.3832082461538457e-07	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.8226664241563055
GO:0097543	ciliary inversin compartment	5.17552e-06	0.1289584	7	54.28105	0.0002809327	1.05052e-10	1.7454793846153851e-09	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.8226664241563055
GO:0036266	Cdc48p-Npl4p-Vms1p AAA ATPase complex	5.34368e-06	0.1331485	5	37.55206	0.0002006662	3.120499e-07	3.0464532610169493e-06	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.8226664241563055
GO:0055028	cortical microtubule	7.727197e-06	0.1925386	7	36.35635	0.0002809327	1.643541e-09	2.308974673170732e-08	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.8226664241563055
GO:1905720	cytoplasmic microtubule bundle	7.727197e-06	0.1925386	7	36.35635	0.0002809327	1.643541e-09	2.308974673170732e-08	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.8226664241563055
GO:0005618	cell wall	6.453061e-06	0.1607909	5	31.09628	0.0002006662	7.832199e-07	6.870071001015228e-06	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.8226664241563055
GO:0098999	extrinsic component of postsynaptic endosome membrane	9.717887e-06	0.2421406	6	24.77899	0.0002407995	2.274536e-07	2.27494296416185e-06	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.8226664241563055
GO:0098875	epididymosome	1.305522e-05	0.3252969	8	24.59292	0.0003210659	2.32768e-09	3.170267716535433e-08	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.8226664241563055
GO:0034998	oligosaccharyltransferase I complex	1.496489e-05	0.3728802	9	24.13644	0.0003611992	2.743408e-10	4.195229224778761e-09	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.8226664241563055
GO:0070557	PCNA-p21 complex	3.779246e-05	0.9416748	20	21.23875	0.0008026648	5.0096129999999996e-20	1.881872013913044e-18	2	1.038505	2	1.925846	0.0002051282	1.0	0.2696096	0.6329964521739131
GO:1990617	CHOP-ATF4 complex	2.126137e-05	0.5297695	10	18.87613	0.0004013324	2.962598e-10	4.490674863157894e-09	2	1.038505	2	1.925846	0.0002051282	1.0	0.2696096	0.6329964521739131
GO:1990913	sperm head plasma membrane	1.08688e-05	0.2708178	5	18.4626	0.0002006662	9.690768e-06	6.779614212145749e-05	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.8226664241563055
GO:1990917	ooplasm	1.08688e-05	0.2708178	5	18.4626	0.0002006662	9.690768e-06	6.779614212145749e-05	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.8226664241563055
