term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0043021	ribonucleoprotein complex binding	0.006421955	160.0159	334	2.087293	0.0134045	1.4908280000000001e-33	1.573568954e-30	115	59.71401	86	1.440198	0.008820513	0.7478261	3.884409e-07	2.5624960621875e-05
GO:0019843	rRNA binding	0.001981897	49.38294	151	3.057736	0.00606012	2.677105e-31	1.8837895516666661e-28	60	31.15514	42	1.348092	0.004307692	0.7	0.003342702	0.0716390245888324
GO:0004161	dimethylallyltranstransferase activity	1.729292e-05	0.4308878	17	39.45343	0.0006822651	1.133045e-21	5.315239988888889e-19	2	1.038505	2	1.925846	0.0002051282	1.0	0.2696096	0.9545641064529736
GO:0004337	geranyltranstransferase activity	1.729292e-05	0.4308878	17	39.45343	0.0006822651	1.133045e-21	5.315239988888889e-19	2	1.038505	2	1.925846	0.0002051282	1.0	0.2696096	0.9545641064529736
GO:0008455	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity	6.27571e-06	0.1563719	13	83.13516	0.0005217322	4.628257e-21	1.9540501054000002e-18	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.9545641064529736
GO:0008427	calcium-dependent protein kinase inhibitor activity	9.070504e-05	2.260098	26	11.50393	0.001043464	4.500425e-19	1.5833995291666663e-16	3	1.557757	3	1.925846	0.0003076923	1.0	0.1399816	0.8442890217142858
GO:0051525	NFAT protein binding	0.0002441655	6.083871	39	6.410392	0.001565196	4.935739e-19	1.602976158307692e-16	5	2.596261	3	1.155508	0.0003076923	0.6	0.5360662	0.9545641064529736
GO:0017069	snRNA binding	0.001411987	35.18247	98	2.785478	0.003933058	2.762251e-18	7.28888982625e-16	38	19.73159	21	1.064283	0.002153846	0.5526316	0.4023619	0.9545641064529736
GO:0010858	calcium-dependent protein kinase regulator activity	0.000155142	3.865674	31	8.0193	0.001244131	4.5664130000000004e-18	1.1340820991764705e-15	4	2.077009	4	1.925846	0.0004102564	1.0	0.07267502	0.6462795834947368
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	0.000616242	15.3549	60	3.907547	0.002407995	4.94461e-18	1.1597857455555557e-15	12	6.231027	11	1.765359	0.001128205	0.9166667	0.004642225	0.0960758526960784
GO:0043022	ribosome binding	0.003374741	84.08843	174	2.06925	0.006983184	6.148128e-18	1.314390929e-15	55	28.55888	44	1.540677	0.004512821	0.8	1.487012e-05	0.0007134278027272727
GO:0070181	small ribosomal subunit rRNA binding	0.0002530283	6.304705	38	6.027244	0.001525063	9.960743e-18	2.002583664095238e-15	8	4.154018	8	1.925846	0.0008205128	1.0	0.00527749	0.104162588825688
