term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0008700	4-hydroxy-2-oxoglutarate aldolase activity	4.031759e-06	0.1004593	10	99.54276	0.0004013324	2.628596e-17	4.825187961739131e-15	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.9545641064529736
GO:0000121	glycerol-1-phosphatase activity	2.042431e-06	0.05089125	5	98.24871	0.0002006662	2.725567e-09	1.456625806835443e-07	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.9545641064529736
GO:0043136	glycerol-3-phosphatase activity	2.042431e-06	0.05089125	5	98.24871	0.0002006662	2.725567e-09	1.456625806835443e-07	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.9545641064529736
GO:0008455	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity	6.27571e-06	0.1563719	13	83.13516	0.0005217322	4.628257e-21	1.9540501054000002e-18	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.9545641064529736
GO:0072570	ADP-D-ribose binding	3.071816e-06	0.07654045	5	65.32494	0.0002006662	2.053191e-08	8.335165771153846e-07	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.9545641064529736
GO:0050333	thiamin-triphosphatase activity	5.463163e-06	0.1361256	8	58.76924	0.0003210659	2.588316e-12	2.4284155893333337e-10	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.9545641064529736
GO:0097372	NAD-dependent histone deacetylase activity (H3-K18 specific)	3.508897e-06	0.08743118	5	57.18784	0.0002006662	3.957063e-08	1.440234481551724e-06	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.9545641064529736
GO:0070037	rRNA (pseudouridine) methyltransferase activity	5.911476e-06	0.1472963	8	54.31231	0.0003210659	4.816458e-12	4.2364761824999997e-10	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.9545641064529736
GO:0017020	myosin phosphatase regulator activity	3.87279e-06	0.0964983	5	51.81438	0.0002006662	6.432298e-08	2.089012473538462e-06	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.9545641064529736
GO:0008448	N-acetylglucosamine-6-phosphate deacetylase activity	7.299649e-06	0.1818853	8	43.98375	0.0003210659	2.524945e-11	1.903628176785714e-09	2	1.038505	2	1.925846	0.0002051282	1.0	0.2696096	0.9545641064529736
GO:0003940	L-iduronidase activity	4.724824e-06	0.1177284	5	42.47062	0.0002006662	1.708097e-07	4.872692928378379e-06	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.9545641064529736
GO:0018169	ribosomal S6-glutamic acid ligase activity	4.975022e-06	0.1239626	5	40.33474	0.0002006662	2.19943e-07	5.990963522580645e-06	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.9545641064529736
GO:0004161	dimethylallyltranstransferase activity	1.729292e-05	0.4308878	17	39.45343	0.0006822651	1.133045e-21	5.315239988888889e-19	2	1.038505	2	1.925846	0.0002051282	1.0	0.2696096	0.9545641064529736
GO:0004337	geranyltranstransferase activity	1.729292e-05	0.4308878	17	39.45343	0.0006822651	1.133045e-21	5.315239988888889e-19	2	1.038505	2	1.925846	0.0002051282	1.0	0.2696096	0.9545641064529736
GO:0050313	sulfur dioxygenase activity	7.594099e-06	0.1892222	6	31.70876	0.0002407995	5.419217e-08	1.8754044404918035e-06	1	0.5192523	1	1.925846	0.0001025641	1.0	0.5192523	0.9545641064529736
