term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:1903839	positive regulation of mRNA 3'-UTR binding	5.727657e-06	0.2246158	17	75.68479	0.0004334965	2.1372279999999998e-26	2.89935909814433e-24	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.9615984480293308
GO:0015878	biotin transport	2.042431e-06	0.08009598	5	62.42511	0.000127499	2.569243e-08	5.46182045831987e-07	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.9615984480293308
GO:0015887	pantothenate transmembrane transport	2.042431e-06	0.08009598	5	62.42511	0.000127499	2.569243e-08	5.46182045831987e-07	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.9615984480293308
GO:1902380	positive regulation of endoribonuclease activity	4.177112e-06	0.1638096	7	42.73253	0.0001784986	5.439339e-10	1.6120779707432433e-08	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.9615984480293308
GO:1904722	positive regulation of mRNA endonucleolytic cleavage involved in unfolded protein response	4.177112e-06	0.1638096	7	42.73253	0.0001784986	5.439339e-10	1.6120779707432433e-08	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.9615984480293308
GO:0033609	oxalate metabolic process	4.031759e-06	0.1581095	6	37.94839	0.0001529988	1.894456e-08	4.1548577506666673e-07	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.9615984480293308
GO:0060695	negative regulation of cholesterol transporter activity	4.197877e-06	0.1646239	6	36.44671	0.0001529988	2.400367e-08	5.152761721533441e-07	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.9615984480293308
GO:0050823	peptide antigen stabilization	5.067952e-06	0.1987448	7	35.22104	0.0001784986	2.041745e-09	5.3842329569138274e-08	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.9615984480293308
GO:0006046	N-acetylglucosamine catabolic process	7.299649e-06	0.286263	8	27.94633	0.0002039984	8.669274e-10	2.453311324e-08	2	1.435054	2	1.393676	0.000148445	1.0	0.5148339	0.9615984480293308
GO:0014876	response to injury involved in regulation of muscle adaptation	7.362624e-06	0.2887326	8	27.70729	0.0002039984	9.265691e-10	2.6052826467735044e-08	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.9615984480293308
GO:0046203	spermidine catabolic process	7.538613e-06	0.2956342	8	27.06046	0.0002039984	1.112484e-09	3.108105510828025e-08	2	1.435054	2	1.393676	0.000148445	1.0	0.5148339	0.9615984480293308
GO:1900210	positive regulation of cardiolipin metabolic process	7.608736e-06	0.2983842	8	26.81107	0.0002039984	1.195101e-09	3.31779199556962e-08	2	1.435054	2	1.393676	0.000148445	1.0	0.5148339	0.9615984480293308
GO:0061395	positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance	1.04695e-05	0.410572	11	26.79189	0.0002804978	9.60132e-13	3.998220565822785e-11	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.9615984480293308
GO:0060621	negative regulation of cholesterol import	8.302823e-06	0.3256035	8	24.56976	0.0002039984	2.345535e-09	6.087750505917159e-08	2	1.435054	2	1.393676	0.000148445	1.0	0.5148339	0.9615984480293308
GO:1901630	negative regulation of presynaptic membrane organization	5.790632e-06	0.2270854	5	22.01814	0.000127499	4.165861e-06	5.69839551964657e-05	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.9615984480293308
