term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0000786	nucleosome	0.003503933	137.4102	324	2.357903	0.008261934	5.327415e-42	3.682309248e-40	105	75.34031	83	1.101668	0.006160469	0.7904762	0.05674877	0.3381443950344827
GO:0000788	nuclear nucleosome	0.0009735489	38.17869	148	3.876508	0.00377397	1.5234309999999999e-41	1.0124956800000002e-39	40	28.70107	30	1.045257	0.002226676	0.75	0.3988163	0.933813775609756
GO:0005761	mitochondrial ribosome	0.003166149	124.1637	292	2.351734	0.00744594	7.857819e-38	4.849396868571429e-36	85	60.98977	74	1.213318	0.005492466	0.8705882	0.0006328701	0.008611019943307
GO:0044815	DNA packaging complex	0.00431567	169.2433	355	2.097572	0.009052428	7.523815e-36	3.939743127272727e-34	112	80.363	90	1.119918	0.006680027	0.8035714	0.02424943	0.1854115709734513
GO:0042612	MHC class I protein complex	0.0002687223	10.53821	69	6.547599	0.001759486	6.500216000000001e-33	3.035776553513513e-31	5	3.587634	5	1.393676	0.0003711126	1.0	0.1901514	0.6747055835728953
GO:0071556	integral component of lumenal side of endoplasmic reticulum membrane	0.00083404	32.70771	113	3.454843	0.002881477	5.163286000000001e-28	2.230539552e-26	22	15.78559	15	0.9502338	0.001113338	0.6818182	0.7355986	0.9907360723304754
GO:0042611	MHC protein complex	0.0005574819	21.86221	85	3.887988	0.002167483	1.082696e-24	4.350927181395349e-23	20	14.35054	11	0.7665219	0.0008164477	0.55	0.9677577	1.0
GO:0005762	mitochondrial large ribosomal subunit	0.001881872	73.79948	176	2.384841	0.004487964	4.0315509999999996e-24	1.5833000290909094e-22	51	36.59386	44	1.202387	0.003265791	0.8627451	0.01175076	0.1052088770984456
GO:0097525	spliceosomal snRNP complex	0.002803648	109.9479	230	2.091901	0.005864953	1.0777580000000002e-23	3.962480476595745e-22	62	44.48666	56	1.258804	0.004156461	0.9032258	0.0003468627	0.0049535433520661
GO:1902555	endoribonuclease complex	0.001544168	60.55611	144	2.37796	0.003671971	6.054197e-20	1.7150249862295081e-18	29	20.80828	26	1.249503	0.001929785	0.8965517	0.01960589	0.1590562343661971
GO:0005666	DNA-directed RNA polymerase III complex	0.0005435719	21.31672	74	3.471454	0.001886985	4.755096999999999e-19	1.3042551771428573e-17	19	13.63301	18	1.320325	0.001336005	0.9473684	0.01542645	0.1300336858536585
GO:0005736	DNA-directed RNA polymerase I complex	0.0006314285	24.7621	80	3.230744	0.002039984	1.083784e-18	2.8811980800000004e-17	14	10.04537	12	1.19458	0.0008906702	0.8571429	0.1975558	0.692894000811359
GO:1990617	CHOP-ATF4 complex	2.126137e-05	0.8337858	18	21.58828	0.0004589963	2.681846e-18	7.021560436363636e-17	2	1.435054	2	1.393676	0.000148445	1.0	0.5148339	0.9364557675789472
GO:0035976	transcription factor AP-1 complex	0.0003156216	12.37742	53	4.281992	0.001351489	1.0149040000000001e-17	2.5790501647058823e-16	5	3.587634	5	1.393676	0.0003711126	1.0	0.1901514	0.6747055835728953
GO:0045120	pronucleus	0.0009094826	35.66627	97	2.719656	0.00247348	1.864626e-17	4.538132011267606e-16	15	10.7629	14	1.300764	0.001039115	0.9333333	0.04744318	0.2992037045255474
GO:0030914	STAGA complex	0.0005193688	20.36757	69	3.387739	0.001759486	2.3624160000000002e-17	5.6697984e-16	12	8.610321	12	1.393676	0.0008906702	1.0	0.01859756	0.1530313508571428
GO:0099078	BORC complex	0.00013149	5.156512	33	6.399675	0.0008414933	2.4917e-16	5.591763116883118e-15	8	5.740214	8	1.393676	0.0005937802	1.0	0.07021822	0.3768232427329193
GO:0005869	dynactin complex	0.000199136	7.809318	40	5.122086	0.001019992	3.068609e-16	6.7981491692307695e-15	9	6.457741	7	1.08397	0.0005195576	0.7777778	0.5102821	0.9364557675789472
GO:0031307	integral component of mitochondrial outer membrane	0.001181271	46.32471	110	2.374543	0.002804978	1.349578e-15	2.951988334177216e-14	22	15.78559	20	1.266978	0.00148445	0.9090909	0.03055504	0.2209167745606694
GO:0031306	intrinsic component of mitochondrial outer membrane	0.001208065	47.37547	111	2.342984	0.002830477	2.3976e-15	5.1148799999999997e-14	23	16.50312	21	1.272487	0.001558673	0.9130435	0.02375069	0.1824052992
GO:0002199	zona pellucida receptor complex	0.0001608527	6.307999	34	5.389982	0.0008669931	1.170127e-14	2.37879936e-13	9	6.457741	8	1.238823	0.0005937802	0.8888889	0.228964	0.7550568549618321
GO:0032040	small-subunit processome	0.001610123	63.14258	132	2.090507	0.003365973	2.644651e-14	5.313903404651164e-13	35	25.11344	30	1.19458	0.002226676	0.8571429	0.04336988	0.2796386292537313
GO:0030137	COPI-coated vesicle	0.001301985	51.05865	113	2.213141	0.002881477	5.286643e-14	1.0500366786206896e-12	23	16.50312	21	1.272487	0.001558673	0.9130435	0.02375069	0.1824052992
GO:0033256	I-kappaB/NF-kappaB complex	0.0004376722	17.16375	55	3.204427	0.001402489	3.130227e-13	5.8793828869565225e-12	7	5.022687	6	1.19458	0.0004453351	0.8571429	0.3677157	0.8792130644628099
GO:0005763	mitochondrial small ribosomal subunit	0.001141417	44.7618	101	2.256388	0.002575479	3.618365e-13	6.581615494736842e-12	28	20.09075	25	1.244354	0.001855563	0.8928571	0.02478713	0.1870400027947598
GO:0070461	SAGA-type complex	0.001378219	54.04823	115	2.127729	0.002932477	3.802125e-13	6.843825e-12	25	17.93817	23	1.282182	0.001707118	0.92	0.01422143	0.1228731552
GO:0035631	CD40 receptor complex	0.0004845736	19.00304	58	3.052144	0.001478988	5.088537e-13	9.064940140206186e-12	11	7.892794	10	1.266978	0.0007422252	0.9090909	0.1382748	0.5743722461538462
GO:0048188	Set1C/COMPASS complex	0.0004121714	16.16372	52	3.217082	0.001325989	1.167323e-12	2.017134144e-11	13	9.327848	11	1.179265	0.0008164477	0.8461538	0.2431944	0.7899246676691729
GO:0098799	outer mitochondrial membrane protein complex	0.0006256334	24.53484	67	2.730811	0.001708486	1.204311e-12	2.0604449584158417e-11	15	10.7629	14	1.300764	0.001039115	0.9333333	0.04744318	0.2992037045255474
GO:0034663	endoplasmic reticulum chaperone complex	0.000388757	15.24549	50	3.279657	0.00127499	1.581859e-12	2.653837234951456e-11	11	7.892794	10	1.266978	0.0007422252	0.9090909	0.1382748	0.5743722461538462
GO:0005742	mitochondrial outer membrane translocase complex	0.0005012303	19.65625	58	2.950716	0.001478988	1.911917e-12	3.14646912e-11	11	7.892794	10	1.266978	0.0007422252	0.9090909	0.1382748	0.5743722461538462
GO:0030906	retromer, cargo-selective complex	7.329332e-05	2.874271	21	7.306201	0.0005354957	5.384106e-12	8.457941061818183e-11	4	2.870107	4	1.393676	0.0002968901	1.0	0.2650317	0.7992579015706806
GO:0071011	precatalytic spliceosome	0.001130297	44.32574	97	2.188345	0.00247348	5.436833e-12	8.463826508108109e-11	28	20.09075	24	1.19458	0.00178134	0.8571429	0.06993127	0.3768232427329193
GO:0048476	Holliday junction resolvase complex	5.901673e-05	2.3144	19	8.209471	0.0004844961	7.686136e-12	1.185860982857143e-10	5	3.587634	5	1.393676	0.0003711126	1.0	0.1901514	0.6747055835728953
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	5.241661e-05	2.05557	18	8.756696	0.0004589963	9.589623e-12	1.4664485437168143e-10	5	3.587634	5	1.393676	0.0003711126	1.0	0.1901514	0.6747055835728953
GO:0036452	ESCRT complex	0.00133264	52.26081	108	2.066558	0.002753978	1.017421e-11	1.542196042105263e-10	28	20.09075	27	1.343902	0.002004008	0.9642857	0.001098577	0.0142732410225563
GO:0035102	PRC1 complex	0.0004287161	16.81253	51	3.033451	0.00130049	1.501435e-11	2.2366204137931035e-10	12	8.610321	9	1.045257	0.0006680027	0.75	0.5470619	0.96866118
GO:0030677	ribonuclease P complex	0.000634086	24.86632	65	2.613978	0.001657487	1.560854e-11	2.3052612923076924e-10	13	9.327848	12	1.28647	0.0008906702	0.9230769	0.08167763	0.4213102825074626
GO:0005677	chromatin silencing complex	0.0003560917	13.96449	45	3.222459	0.001147491	3.418448e-11	4.82919523902439e-10	8	5.740214	8	1.393676	0.0005937802	1.0	0.07021822	0.3768232427329193
GO:0097526	spliceosomal tri-snRNP complex	0.001291725	50.65629	104	2.053052	0.002651979	3.437448e-11	4.82919523902439e-10	29	20.80828	26	1.249503	0.001929785	0.8965517	0.01960589	0.1590562343661971
GO:1990630	IRE1-RACK1-PP2A complex	9.273386e-05	3.636651	22	6.049522	0.0005609955	5.992905e-11	8.218841142857141e-10	2	1.435054	2	1.393676	0.000148445	1.0	0.5148339	0.9364557675789472
GO:0000177	cytoplasmic exosome (RNase complex)	0.000349092	13.68999	44	3.214027	0.001121991	6.059885e-11	8.245260850393701e-10	13	9.327848	11	1.179265	0.0008164477	0.8461538	0.2431944	0.7899246676691729
GO:1990879	CST complex	5.907119e-05	2.316536	18	7.770223	0.0004589963	6.448761e-11	8.70582735e-10	3	2.15258	2	0.9291175	0.000148445	0.6666667	0.8057184	1.0
GO:0000243	commitment complex	0.000235846	9.248936	35	3.784219	0.0008924929	8.058545e-11	1.0794702139534883e-09	8	5.740214	8	1.393676	0.0005937802	1.0	0.07021822	0.3768232427329193
GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)	6.12988e-05	2.403894	18	7.487852	0.0004589963	1.156562e-10	1.5256023938931296e-09	6	4.305161	5	1.161397	0.0003711126	0.8333333	0.4587863	0.9364557675789472
GO:0030681	multimeric ribonuclease P complex	0.0004720062	18.51019	52	2.809263	0.001325989	1.374367e-10	1.7991713454545455e-09	10	7.175268	9	1.254309	0.0006680027	0.9	0.1785027	0.6747055835728953
GO:0001931	uropod	0.0007589275	29.7621	70	2.351984	0.001784986	2.380188e-10	3.024238870588235e-09	13	9.327848	12	1.28647	0.0008906702	0.9230769	0.08167763	0.4213102825074626
GO:0033185	dolichol-phosphate-mannose synthase complex	3.511211e-05	1.376957	14	10.16735	0.0003569971	2.800259e-10	3.506411269565217e-09	3	2.15258	3	1.393676	0.0002226676	1.0	0.3693916	0.8792130644628099
GO:0097346	INO80-type complex	0.0008132293	31.8916	73	2.289004	0.001861485	3.163168e-10	3.904253074285714e-09	23	16.50312	22	1.333082	0.001632895	0.9565217	0.004841417	0.0509314490181818
GO:0042824	MHC class I peptide loading complex	1.833899e-05	0.7191818	11	15.29516	0.0002804978	3.450712e-10	4.228957685106383e-09	5	3.587634	4	1.114941	0.0002968901	0.8	0.5645529	0.96866118
GO:0031501	mannosyltransferase complex	7.755281e-05	3.041311	19	6.247306	0.0004844961	6.948566e-10	8.396588844755244e-09	4	2.870107	4	1.393676	0.0002968901	1.0	0.2650317	0.7992579015706806
GO:0019908	nuclear cyclin-dependent protein kinase holoenzyme complex	0.0009137043	35.83183	78	2.176836	0.001988984	7.354113e-10	8.8249356e-09	16	11.48043	13	1.132362	0.0009648927	0.8125	0.296396	0.837268150081566
GO:0043625	delta DNA polymerase complex	0.000127271	4.991061	24	4.808597	0.0006119951	7.764798e-10	9.253497202758622e-09	5	3.587634	5	1.393676	0.0003711126	1.0	0.1901514	0.6747055835728953
GO:0034998	oligosaccharyltransferase I complex	1.496489e-05	0.5868632	10	17.03975	0.000254998	7.834142e-10	9.272189983561644e-09	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.96866118
GO:0030663	COPI-coated vesicle membrane	0.001041546	40.84528	85	2.081024	0.002167483	1.05572e-09	1.2326244324324324e-08	16	11.48043	15	1.306571	0.001113338	0.9375	0.03597381	0.243935415
GO:0043626	PCNA complex	4.608746e-06	0.1807366	7	38.7304	0.0001784986	1.066785e-09	1.2371842147651009e-08	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.96866118
GO:0042825	TAP complex	1.58605e-05	0.6219853	10	16.07755	0.000254998	1.357145e-09	1.56343104e-08	4	2.870107	3	1.045257	0.0002226676	0.75	0.6824713	0.96866118
GO:0005839	proteasome core complex	0.0007287384	28.5782	66	2.309452	0.001682987	1.518941e-09	1.7381849684210525e-08	24	17.22064	19	1.103327	0.001410228	0.7916667	0.2890542	0.837268150081566
GO:0035145	exon-exon junction complex	0.001102605	43.23975	88	2.035165	0.002243982	1.528959e-09	1.7381849684210525e-08	21	15.06806	21	1.393676	0.001558673	1.0	0.0009347304	0.012236470690909
GO:0071010	prespliceosome	0.0009512469	37.3041	79	2.11773	0.002014484	1.88548e-09	2.115655480519481e-08	21	15.06806	20	1.327311	0.00148445	0.952381	0.008673823	0.0810181953729729
GO:0001940	male pronucleus	0.0003355466	13.15879	40	3.039792	0.001019992	2.014674e-09	2.246036562580645e-08	6	4.305161	6	1.393676	0.0004453351	1.0	0.1364244	0.5743722461538462
GO:0042719	mitochondrial intermembrane space protein transporter complex	0.0001023357	4.013196	21	5.232738	0.0005354957	2.028087e-09	2.2464963692307693e-08	5	3.587634	5	1.393676	0.0003711126	1.0	0.1901514	0.6747055835728953
GO:0097342	ripoptosome	0.0002300305	9.020876	32	3.547327	0.0008159935	2.313073e-09	2.5297405974683544e-08	7	5.022687	7	1.393676	0.0005195576	1.0	0.09787583	0.4724285872625698
GO:0034709	methylosome	0.0004093066	16.05137	45	2.8035	0.001147491	2.390652e-09	2.5981425509433963e-08	12	8.610321	11	1.277537	0.0008164477	0.9166667	0.1065264	0.4975070789189189
GO:0001739	sex chromatin	0.0003402094	13.34165	40	2.998129	0.001019992	2.933312e-09	3.16797696e-08	6	4.305161	6	1.393676	0.0004453351	1.0	0.1364244	0.5743722461538462
GO:0045259	proton-transporting ATP synthase complex	0.0009270785	36.35631	77	2.117927	0.001963484	2.970813e-09	3.1885496049689444e-08	24	17.22064	17	0.9871873	0.001261783	0.7083333	0.6389422	0.96866118
GO:0044317	rod spherule	9.001334e-06	0.3529963	8	22.66313	0.0002039984	4.368769e-09	4.6031907512195124e-08	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.96866118
GO:0036488	CHOP-C/EBP complex	0.0001287828	5.050345	23	4.554144	0.0005864953	4.680302e-09	4.8428514107784433e-08	2	1.435054	2	1.393676	0.000148445	1.0	0.5148339	0.9364557675789472
GO:0008024	cyclin/CDK positive transcription elongation factor complex	0.0004371364	17.14274	46	2.683351	0.001172991	5.913193e-09	5.975437136842106e-08	8	5.740214	7	1.219467	0.0005195576	0.875	0.2914791	0.837268150081566
GO:0042575	DNA polymerase complex	0.0008781054	34.43578	73	2.119888	0.001861485	7.173853e-09	7.1655595283237e-08	18	12.91548	15	1.161397	0.001113338	0.8333333	0.2072175	0.71614368
GO:0032996	Bcl3-Bcl10 complex	2.475358e-05	0.9707365	11	11.3316	0.0002804978	7.43448e-09	7.383207724137932e-08	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.96866118
GO:0033553	rDNA heterochromatin	0.000210911	8.271084	29	3.506191	0.0007394941	1.60895e-08	1.5532210055865924e-07	5	3.587634	5	1.393676	0.0003711126	1.0	0.1901514	0.6747055835728953
GO:0005753	mitochondrial proton-transporting ATP synthase complex	0.0008973751	35.19146	73	2.074367	0.001861485	1.67538e-08	1.6083648000000005e-07	23	16.50312	16	0.9695139	0.00118756	0.6956522	0.6880211	0.96866118
GO:1990332	Ire1 complex	8.053748e-05	3.158358	17	5.382544	0.0004334965	4.466007e-08	4.149064567741936e-07	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.96866118
GO:0005686	U2 snRNP	0.0008005778	31.39546	66	2.102215	0.001682987	4.85077e-08	4.4824227593582883e-07	19	13.63301	17	1.246973	0.001261783	0.8947368	0.06369756	0.3585321943973941
GO:0030688	preribosome, small subunit precursor	0.0006847921	26.85481	59	2.197	0.001504488	5.689586e-08	5.201907199999999e-07	12	8.610321	11	1.277537	0.0008164477	0.9166667	0.1065264	0.4975070789189189
GO:0033257	Bcl3/NF-kappaB2 complex	8.203765e-05	3.217188	17	5.284117	0.0004334965	5.785173e-08	5.261462602105264e-07	2	1.435054	2	1.393676	0.000148445	1.0	0.5148339	0.9364557675789472
GO:0097543	ciliary inversin compartment	5.17552e-06	0.2029632	6	29.56201	0.0001529988	8.158333e-08	7.380942106806284e-07	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.96866118
GO:0071159	NF-kappaB complex	4.726083e-05	1.853381	13	7.014209	0.0003314973	8.805165e-08	7.9246485e-07	2	1.435054	2	1.393676	0.000148445	1.0	0.5148339	0.9364557675789472
GO:0030121	AP-1 adaptor complex	0.0002159867	8.470136	28	3.305732	0.0007139943	9.202539e-08	8.239371705699483e-07	6	4.305161	5	1.161397	0.0003711126	0.8333333	0.4587863	0.9364557675789472
GO:0008537	proteasome activator complex	9.025843e-06	0.3539575	7	19.77639	0.0001784986	1.013556e-07	9.027962721649484e-07	3	2.15258	2	0.9291175	0.000148445	0.6666667	0.8057184	1.0
