term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0043626	PCNA complex	4.608746e-06	0.1807366	7	38.7304	0.0001784986	1.066785e-09	1.2371842147651009e-08	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.96866118
GO:0097543	ciliary inversin compartment	5.17552e-06	0.2029632	6	29.56201	0.0001529988	8.158333e-08	7.380942106806284e-07	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.96866118
GO:0044317	rod spherule	9.001334e-06	0.3529963	8	22.66313	0.0002039984	4.368769e-09	4.6031907512195124e-08	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.96866118
GO:1990617	CHOP-ATF4 complex	2.126137e-05	0.8337858	18	21.58828	0.0004589963	2.681846e-18	7.021560436363636e-17	2	1.435054	2	1.393676	0.000148445	1.0	0.5148339	0.9364557675789472
GO:0008537	proteasome activator complex	9.025843e-06	0.3539575	7	19.77639	0.0001784986	1.013556e-07	9.027962721649484e-07	3	2.15258	2	0.9291175	0.000148445	0.6666667	0.8057184	1.0
GO:0034998	oligosaccharyltransferase I complex	1.496489e-05	0.5868632	10	17.03975	0.000254998	7.834142e-10	9.272189983561644e-09	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.96866118
GO:0042825	TAP complex	1.58605e-05	0.6219853	10	16.07755	0.000254998	1.357145e-09	1.56343104e-08	4	2.870107	3	1.045257	0.0002226676	0.75	0.6824713	0.96866118
GO:0098999	extrinsic component of postsynaptic endosome membrane	9.717887e-06	0.3810967	6	15.74404	0.0001529988	3.071578e-06	2.0414179938461542e-05	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.96866118
GO:0042824	MHC class I peptide loading complex	1.833899e-05	0.7191818	11	15.29516	0.0002804978	3.450712e-10	4.228957685106383e-09	5	3.587634	4	1.114941	0.0002968901	0.8	0.5645529	0.96866118
GO:0032996	Bcl3-Bcl10 complex	2.475358e-05	0.9707365	11	11.3316	0.0002804978	7.43448e-09	7.383207724137932e-08	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.96866118
GO:0005691	U6atac snRNP	1.709004e-05	0.6702031	7	10.4446	0.0001784986	6.719992e-06	4.177030998561152e-05	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.96866118
GO:0033185	dolichol-phosphate-mannose synthase complex	3.511211e-05	1.376957	14	10.16735	0.0003569971	2.800259e-10	3.506411269565217e-09	3	2.15258	3	1.393676	0.0002226676	1.0	0.3693916	0.8792130644628099
GO:0036024	protein C inhibitor-TMPRSS7 complex	1.542035e-05	0.6047246	6	9.921872	0.0001529988	4.055318e-05	0.00021299664145896656	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.96866118
GO:0036025	protein C inhibitor-TMPRSS11E complex	1.542035e-05	0.6047246	6	9.921872	0.0001529988	4.055318e-05	0.00021299664145896656	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.96866118
GO:0036026	protein C inhibitor-PLAT complex	1.542035e-05	0.6047246	6	9.921872	0.0001529988	4.055318e-05	0.00021299664145896656	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	0.96866118
