term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0010428	methyl-CpNpG binding	2.359689e-06	0.09253755	5	54.03212	0.000127499	5.234183e-08	1.5346333768055557e-06	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	1.0
GO:0009032	thymidine phosphorylase activity	4.771459e-06	0.1871175	9	48.09811	0.0002294982	6.543507e-13	5.023033918909092e-11	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	1.0
GO:0016154	pyrimidine-nucleoside phosphorylase activity	4.771459e-06	0.1871175	9	48.09811	0.0002294982	6.543507e-13	5.023033918909092e-11	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	1.0
GO:0031249	denatured protein binding	4.177112e-06	0.1638096	7	42.73253	0.0001784986	5.439339e-10	2.3433560467346943e-08	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	1.0
GO:0004595	pantetheine-phosphate adenylyltransferase activity	3.137514e-06	0.1230408	5	40.63694	0.000127499	2.120775e-07	5.527106203703703e-06	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	1.0
GO:0008700	4-hydroxy-2-oxoglutarate aldolase activity	4.031759e-06	0.1581095	6	37.94839	0.0001529988	1.894456e-08	6.105643688549619e-07	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	1.0
GO:0008962	phosphatidylglycerophosphatase activity	5.409719e-06	0.2121475	6	28.2822	0.0001529988	1.05565e-07	2.951625364238411e-06	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	1.0
GO:0008448	N-acetylglucosamine-6-phosphate deacetylase activity	7.299649e-06	0.286263	8	27.94633	0.0002039984	8.669274e-10	3.553560662912621e-08	2	1.435054	2	1.393676	0.000148445	1.0	0.5148339	1.0
GO:0008455	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity	6.27571e-06	0.2461082	6	24.37952	0.0001529988	2.499548e-07	6.395813124848484e-06	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	1.0
GO:0001632	leukotriene B4 receptor activity	9.952766e-06	0.3903077	9	23.05873	0.0002294982	4.076188e-10	1.8308155038297877e-08	2	1.435054	2	1.393676	0.000148445	1.0	0.5148339	1.0
GO:0015439	heme-transporting ATPase activity	5.774633e-06	0.226458	5	22.07915	0.000127499	4.110765e-06	7.385382906382978e-05	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	1.0
GO:0046911	metal chelating activity	5.790632e-06	0.2270854	5	22.01814	0.000127499	4.165861e-06	7.452654721186441e-05	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	1.0
GO:0046403	polynucleotide 3'-phosphatase activity	7.055918e-06	0.2767049	6	21.68375	0.0001529988	4.918945e-07	1.1602114966480446e-05	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	1.0
GO:0017024	myosin I binding	9.501049e-06	0.3725931	8	21.47114	0.0002039984	6.615217e-09	2.428647493391305e-07	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	1.0
GO:0061690	lipoamidase activity	1.906882e-05	0.7478027	16	21.39602	0.0004079967	2.25676e-16	3.2855312827586204e-14	1	0.7175268	1	1.393676	7.422252e-05	1.0	0.7175268	1.0
