term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	0.005438963	206.958	414	2.000406	0.01088013	3.972794e-37	9.171578288771931e-35	118	77.54806	103	1.328209	0.00834684	0.8728814	8.108233e-08	1.9906014561007463e-06
GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	0.004389168	167.0122	351	2.101642	0.009224462	1.2562000000000002e-35	2.58286496875e-33	69	45.3459	60	1.323163	0.004862237	0.8695652	5.703586e-05	0.000812267188030303
GO:0016073	snRNA metabolic process	0.004095847	155.8511	326	2.09174	0.008567449	7.369597e-33	1.3104936070675677e-30	86	56.51808	69	1.220848	0.005591572	0.8023256	0.002297143	0.0204521665236806
GO:0036498	IRE1-mediated unfolded protein response	0.002877851	109.5051	254	2.319526	0.006675252	2.90786e-32	4.9694194467532474e-30	58	38.11685	50	1.311756	0.004051864	0.862069	0.0003853887	0.0045331346364852
GO:0042795	snRNA transcription from RNA polymerase II promoter	0.003817669	145.2661	302	2.078943	0.007936717	3.823567e-30	6.135892457682927e-28	70	46.00309	58	1.260785	0.004700162	0.8285714	0.001164727	0.0115411465308734
GO:0010869	regulation of receptor biosynthetic process	0.001092304	41.56327	131	3.151821	0.003442748	1.5502850000000001e-28	2.292157338764045e-26	20	13.14374	19	1.445555	0.001539708	0.95	0.002571851	0.0225019862426861
GO:0036109	alpha-linolenic acid metabolic process	0.0005730871	21.80654	89	4.081345	0.002338966	3.471783e-27	4.523286385841584e-25	13	8.543431	13	1.521637	0.001053485	1.0	0.004256129	0.034273182906422
GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	0.001622916	61.75359	160	2.590942	0.004204883	1.470109e-25	1.5987739116528924e-23	24	15.77249	21	1.331432	0.001701783	0.875	0.01578463	0.097015388215787
GO:0033522	histone H2A ubiquitination	0.001763832	67.11557	168	2.503145	0.004415127	3.285532e-25	3.404276817952756e-23	22	14.45811	20	1.383306	0.001620746	0.9090909	0.007321666	0.0532090410441501
GO:0072369	regulation of lipid transport by positive regulation of transcription from RNA polymerase II promoter	9.909263e-05	3.770574	37	9.812831	0.0009723792	3.889685e-24	3.630096802482269e-22	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.8008423265637803
GO:0003169	coronary vein morphogenesis	0.0002043411	7.775385	50	6.43055	0.001314026	5.467696e-24	4.996486921111111e-22	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.8008423265637803
GO:0072367	regulation of lipid transport by regulation of transcription from RNA polymerase II promoter	0.0002106931	8.017083	50	6.236682	0.001314026	1.995676e-23	1.750740032266667e-21	4	2.628748	4	1.521637	0.0003241491	1.0	0.186502	0.5381669851230668
GO:0060319	primitive erythrocyte differentiation	0.0001926877	7.33196	48	6.54668	0.001261465	2.0573260000000002e-23	1.7928710486092708e-21	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.8008423265637803
GO:0006984	ER-nucleus signaling pathway	0.002418683	92.03329	201	2.183992	0.005282384	5.99865e-23	5.027785691082803e-21	35	23.00154	32	1.391211	0.002593193	0.9142857	0.0004575229	0.0052171090477469
GO:0061402	positive regulation of transcription from RNA polymerase II promoter in response to acidic pH	4.347178e-05	1.654145	26	15.71809	0.0006832935	2.415712e-22	1.9149610968674696e-20	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.8008423265637803
GO:0042026	protein refolding	0.000551821	20.99734	79	3.762381	0.002076161	3.110722e-22	2.4511371735329335e-20	21	13.80093	15	1.086884	0.001215559	0.7142857	0.3828474	0.8008423265637803
GO:0051220	cytoplasmic sequestering of protein	0.00156531	59.56162	148	2.484822	0.003889517	3.944511e-22	3.0896321576785715e-20	39	25.63029	32	1.248523	0.002593193	0.8205128	0.01986297	0.1163225733110814
GO:0035518	histone H2A monoubiquitination	0.001540642	58.62297	146	2.490491	0.003836956	6.087801000000001e-22	4.684758675964912e-20	17	11.17218	15	1.342621	0.001215559	0.8823529	0.03723219	0.184603763455162
GO:0097084	vascular smooth muscle cell development	0.000712304	27.10388	90	3.320558	0.002365247	1.446013e-21	1.0571158370555556e-19	8	5.257496	7	1.331432	0.0005672609	0.875	0.179938	0.5381669851230668
