term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0002368	B cell cytokine production	2.042431e-06	0.07771654	7	90.07091	0.0001839636	3.17258e-12	7.997697360153256e-11	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8773420691943605
GO:0002842	positive regulation of T cell mediated immune response to tumor cell	2.042431e-06	0.07771654	7	90.07091	0.0001839636	3.17258e-12	7.997697360153256e-11	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8773420691943605
GO:0048291	isotype switching to IgG isotypes	2.042431e-06	0.07771654	7	90.07091	0.0001839636	3.17258e-12	7.997697360153256e-11	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8773420691943605
GO:0071247	cellular response to chromate	2.042431e-06	0.07771654	6	77.20364	0.0001576831	2.862014e-10	5.714907773292867e-09	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8773420691943605
GO:1902220	positive regulation of intrinsic apoptotic signaling pathway in response to osmotic stress	2.042431e-06	0.07771654	6	77.20364	0.0001576831	2.862014e-10	5.714907773292867e-09	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8773420691943605
GO:1904935	positive regulation of cell proliferation in midbrain	6.517738e-06	0.2480064	11	44.35369	0.0002890857	4.351955e-15	1.4874643076623377e-13	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8773420691943605
GO:1990792	cellular response to glial cell derived neurotrophic factor	6.517738e-06	0.2480064	11	44.35369	0.0002890857	4.351955e-15	1.4874643076623377e-13	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8773420691943605
GO:2000487	positive regulation of glutamine transport	1.305113e-05	0.4966087	17	34.23218	0.0004467688	1.1917079999999999e-20	7.88024400603015e-19	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8773420691943605
GO:0033609	oxalate metabolic process	4.031759e-06	0.1534125	5	32.59188	0.0001314026	6.23154e-07	7.30194433303651e-06	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8773420691943605
GO:1903839	positive regulation of mRNA 3'-UTR binding	5.727657e-06	0.2179431	7	32.11848	0.0001839636	3.828717e-09	6.42628660752551e-08	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8773420691943605
GO:0060695	negative regulation of cholesterol transporter activity	4.197877e-06	0.1597334	5	31.30216	0.0001314026	7.585641e-07	8.73311022913386e-06	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8773420691943605
GO:0001834	trophectodermal cell proliferation	5.127183e-06	0.1950944	6	30.75434	0.0001576831	6.478586e-08	9.078989688391908e-07	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8773420691943605
GO:0042023	DNA endoreduplication	5.127183e-06	0.1950944	6	30.75434	0.0001576831	6.478586e-08	9.078989688391908e-07	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8773420691943605
GO:1990261	pre-mRNA catabolic process	5.127183e-06	0.1950944	6	30.75434	0.0001576831	6.478586e-08	9.078989688391908e-07	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8773420691943605
GO:0032618	interleukin-15 production	4.288424e-06	0.1631788	5	30.64123	0.0001314026	8.41571e-07	9.57978614965398e-06	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8773420691943605
