term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0045259	proton-transporting ATP synthase complex	0.0009270785	35.27626	112	3.174939	0.002943418	6.771078000000001e-25	2.9251056960000003e-23	24	15.77249	18	1.141228	0.001458671	0.75	0.2322012	0.659940252631579
GO:0005753	mitochondrial proton-transporting ATP synthase complex	0.0008973751	34.14602	107	3.133601	0.002812015	1.920417e-23	7.214088208695654e-22	23	15.1153	17	1.124688	0.001377634	0.7391304	0.2769094	0.6654368564450475
GO:0098799	outer mitochondrial membrane protein complex	0.0006256334	23.80598	85	3.570532	0.002233844	2.231316e-22	7.414834707692309e-21	15	9.857805	11	1.115867	0.00089141	0.7333333	0.3739802	0.7669444015936254
GO:0005742	mitochondrial outer membrane translocase complex	0.0005012303	19.07231	73	3.827538	0.001918478	4.451192e-21	1.3984835956363637e-19	11	7.229057	8	1.106645	0.0006482982	0.7272727	0.4456089	0.7669444015936254
GO:0005757	mitochondrial permeability transition pore complex	0.0002029598	7.722822	43	5.567913	0.001130062	1.305238e-18	3.637824619354839e-17	4	2.628748	3	1.141228	0.0002431118	0.75	0.5757419	0.8726363065648856
GO:0008537	proteasome activator complex	9.025843e-06	0.3434424	14	40.76375	0.0003679273	2.639045e-18	7.1254215e-17	3	1.971561	3	1.521637	0.0002431118	1.0	0.2838119	0.6654368564450475
GO:1990730	VCP-NSFL1C complex	6.148058e-05	2.339397	24	10.25905	0.0006307324	1.229505e-16	3.0791081739130435e-15	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.7669444015936254
GO:0046930	pore complex	0.001290968	49.12262	117	2.381795	0.003074821	1.423178e-16	3.513216548571429e-15	18	11.82937	14	1.183495	0.001134522	0.7777778	0.2061062	0.6016072864864864
GO:0035102	PRC1 complex	0.0004287161	16.31308	59	3.61673	0.001550551	2.751061e-16	6.6955400112676055e-15	12	7.886244	9	1.141228	0.0007293355	0.75	0.3662928	0.7669444015936254
GO:0005762	mitochondrial large ribosomal subunit	0.001881872	71.6071	148	2.066834	0.003889517	1.88831e-15	4.4698625753424664e-14	51	33.51654	40	1.193441	0.003241491	0.7843137	0.03507179	0.1787730180530973
GO:0070557	PCNA-p21 complex	3.779246e-05	1.438041	19	13.21242	0.0004993298	2.082777e-15	4.863565751351351e-14	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.7669444015936254
GO:0031306	intrinsic component of mitochondrial outer membrane	0.001208065	45.96808	106	2.305948	0.002785735	2.621352e-14	5.733792729113924e-13	23	15.1153	19	1.257004	0.001539708	0.826087	0.06326897	0.2767817219240506
GO:0031307	integral component of mitochondrial outer membrane	0.001181271	44.94853	104	2.313758	0.002733174	3.709678e-14	7.913979733333333e-13	22	14.45811	18	1.244976	0.001458671	0.8181818	0.08136961	0.3285202945794392
GO:0035976	transcription factor AP-1 complex	0.0003156216	12.00972	46	3.830231	0.001208904	6.650259e-14	1.36805328e-12	5	3.285935	5	1.521637	0.0004051864	1.0	0.122553	0.4269588387096774
GO:0034364	high-density lipoprotein particle	0.001072381	40.80517	95	2.328136	0.002496649	3.189454e-13	6.12375168e-12	27	17.74405	21	1.183495	0.001701783	0.7777778	0.1302309	0.4412529317647059
GO:0048476	Holliday junction resolvase complex	5.901673e-05	2.245645	20	8.906125	0.0005256104	5.158919e-13	9.585604335483872e-12	5	3.285935	5	1.521637	0.0004051864	1.0	0.122553	0.4269588387096774
GO:0030014	CCR4-NOT complex	0.001073524	40.84866	94	2.301177	0.002470369	7.935554e-13	1.4587912034042555e-11	16	10.51499	14	1.331432	0.001134522	0.875	0.05077593	0.2364981321832884
GO:0034998	oligosaccharyltransferase I complex	1.496489e-05	0.5694291	12	21.07374	0.0003153662	1.433323e-12	2.6071390989473683e-11	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0005869	dynactin complex	0.000199136	7.577324	34	4.487072	0.0008935376	1.752984e-12	3.1228416e-11	9	5.914683	7	1.183495	0.0005672609	0.7777778	0.3541674	0.7611956059701493
GO:0042568	insulin-like growth factor binary complex	1.653314e-05	0.6291025	12	19.07479	0.0003153662	4.486327e-12	7.600365741176469e-11	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0099078	BORC complex	0.00013149	5.003326	27	5.39641	0.000709574	5.652398e-12	9.391676676923076e-11	8	5.257496	8	1.521637	0.0006482982	1.0	0.03476752	0.1777463744378698
GO:0002944	cyclin K-CDK12 complex	9.438584e-05	3.591476	23	6.404053	0.0006044519	7.359436e-12	1.1885145241121495e-10	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.7669444015936254
GO:1990604	IRE1-TRAF2-ASK1 complex	0.0002252607	8.571396	35	4.083349	0.0009198181	1.079384e-11	1.7111702311926607e-10	4	2.628748	3	1.141228	0.0002431118	0.75	0.5757419	0.8726363065648856
GO:0005689	U12-type spliceosomal complex	0.001180817	44.93128	97	2.158853	0.00254921	1.118496e-11	1.7570555345454543e-10	26	17.08686	21	1.229014	0.001701783	0.8076923	0.07480803	0.3152227641646489
GO:0031588	nucleotide-activated protein kinase complex	0.0006202918	23.60272	63	2.669184	0.001655673	1.373174e-11	2.1376979027027028e-10	10	6.57187	9	1.369473	0.0007293355	0.9	0.09335748	0.3569064722123894
GO:0043626	PCNA complex	4.608746e-06	0.1753674	8	45.61852	0.0002102441	1.897284e-11	2.875883115789474e-10	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0071817	MMXD complex	0.0001137593	4.328656	24	5.544446	0.0006307324	4.78191e-11	6.718000390243903e-10	5	3.285935	5	1.521637	0.0004051864	1.0	0.122553	0.4269588387096774
GO:0017109	glutamate-cysteine ligase complex	0.0001860161	7.078099	30	4.238426	0.0007884155	1.283452e-10	1.7601627428571427e-09	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.7669444015936254
GO:0048500	signal recognition particle	0.00036989	14.07469	44	3.12618	0.001156343	1.413066e-10	1.9076391e-09	10	6.57187	8	1.21731	0.0006482982	0.8	0.2773612	0.6654368564450475
GO:0030137	COPI-coated vesicle	0.001301985	49.54184	100	2.018496	0.002628052	1.932261e-10	2.5684207753846158e-09	23	15.1153	23	1.521637	0.001863857	1.0	6.364883e-05	0.0007585184706206897
GO:0002199	zona pellucida receptor complex	0.0001608527	6.120605	27	4.411328	0.000709574	4.48661e-10	5.829219609022556e-09	9	5.914683	7	1.183495	0.0005672609	0.7777778	0.3541674	0.7611956059701493
GO:0005677	chromatin silencing complex	0.0003560917	13.54965	42	3.099712	0.001103782	4.641086e-10	5.9849228417910444e-09	8	5.257496	7	1.331432	0.0005672609	0.875	0.179938	0.5490212197614992
GO:0045261	proton-transporting ATP synthase complex, catalytic core F(1)	6.12988e-05	2.332481	17	7.288377	0.0004467688	5.590887e-10	7.15633536e-09	6	3.943122	4	1.014425	0.0003241491	0.6666667	0.6615472	0.8726363065648856
GO:0036020	endolysosome membrane	0.0006553113	24.93525	61	2.446336	0.001603112	7.656261e-10	9.382992204255321e-09	14	9.200618	12	1.30426	0.0009724473	0.8571429	0.09260157	0.3569064722123894
GO:0097132	cyclin D2-CDK6 complex	0.0001775652	6.756534	28	4.144137	0.0007358545	8.418467e-10	1.0172804878321678e-08	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0031095	platelet dense tubular network membrane	0.0007610115	28.95725	67	2.313756	0.001760795	1.06983e-09	1.2662097534246577e-08	9	5.914683	8	1.352566	0.0006482982	0.8888889	0.1301582	0.4412529317647059
GO:0042719	mitochondrial intermembrane space protein transporter complex	0.0001023357	3.893974	21	5.392948	0.0005518909	1.204889e-09	1.4163593142857144e-08	5	3.285935	5	1.521637	0.0004051864	1.0	0.122553	0.4269588387096774
GO:0005786	signal recognition particle, endoplasmic reticulum targeting	0.0002451384	9.32776	33	3.537827	0.0008672571	1.404243e-09	1.6395485837837837e-08	7	4.600309	6	1.30426	0.0004862237	0.8571429	0.2462205	0.6654368564450475
GO:0005915	zonula adherens	0.0005854298	22.27619	56	2.513895	0.001471709	1.441164e-09	1.6713633503355704e-08	8	5.257496	8	1.521637	0.0006482982	1.0	0.03476752	0.1777463744378698
GO:0097543	ciliary inversin compartment	5.17552e-06	0.1969337	7	35.54495	0.0001839636	1.918011e-09	2.1382729083870972e-08	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0035859	Seh1-associated complex	0.0008600551	32.72596	72	2.200088	0.001892197	2.081815e-09	2.3060104615384613e-08	15	9.857805	12	1.21731	0.0009724473	0.8	0.1877593	0.5499119837288136
GO:0031501	mannosyltransferase complex	7.755281e-05	2.950962	18	6.099706	0.0004730493	2.772002e-09	3.0316578835443046e-08	4	2.628748	4	1.521637	0.0003241491	1.0	0.186502	0.5490212197614992
GO:0097361	CIA complex	4.406817e-05	1.676838	14	8.349047	0.0003679273	3.345711e-09	3.5687583999999995e-08	4	2.628748	4	1.521637	0.0003241491	1.0	0.186502	0.5490212197614992
GO:0048188	Set1C/COMPASS complex	0.0004121714	15.68354	44	2.80549	0.001156343	3.489092e-09	3.6763115707317076e-08	13	8.543431	10	1.17049	0.0008103728	0.7692308	0.2967928	0.6908881227456258
GO:0071682	endocytic vesicle lumen	0.0009690634	36.87383	77	2.088202	0.0020236	5.320576e-09	5.5385273060240964e-08	19	12.48655	14	1.121206	0.001134522	0.7368421	0.3198398	0.7304431654383736
GO:0005666	DNA-directed RNA polymerase III complex	0.0005435719	20.68346	52	2.514087	0.001366587	5.361205e-09	5.547402538922156e-08	19	12.48655	16	1.281378	0.001296596	0.8421053	0.06690402	0.2883046048877805
GO:0036019	endolysosome	0.001013177	38.55238	79	2.04916	0.002076161	7.503257e-09	7.671969287573967e-08	20	13.14374	17	1.293391	0.001377634	0.85	0.05071046	0.2364981321832884
GO:0034709	methylosome	0.0004093066	15.57452	43	2.760919	0.001130062	8.157492e-09	8.291850691764705e-08	12	7.886244	11	1.394834	0.00089141	0.9166667	0.04706738	0.2246752282872928
GO:0031094	platelet dense tubular network	0.0008395913	31.94729	69	2.159808	0.001813356	8.932748e-09	8.922421123699422e-08	11	7.229057	9	1.244976	0.0007293355	0.8181818	0.2142683	0.6170927039999999
GO:0030056	hemidesmosome	0.0006581077	25.04166	58	2.316141	0.00152427	1.276158e-08	1.2446890786516857e-07	7	4.600309	7	1.521637	0.0005672609	1.0	0.05291383	0.2374937616623376
GO:1990332	Ire1 complex	8.053748e-05	3.064532	17	5.54734	0.0004467688	2.919452e-08	2.75672844590164e-07	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0000137	Golgi cis cisterna	0.0002934807	11.16723	34	3.044622	0.0008935376	2.96221e-08	2.781901565217392e-07	7	4.600309	5	1.086884	0.0004051864	0.7142857	0.5488038	0.8726363065648856
GO:0005686	U2 snRNP	0.0008005778	30.46279	65	2.133751	0.001708234	3.601845e-08	3.328335914438503e-07	19	12.48655	14	1.121206	0.001134522	0.7368421	0.3198398	0.7304431654383736
GO:0031465	Cul4B-RING E3 ubiquitin ligase complex	0.000228625	8.699409	29	3.33356	0.000762135	4.621746e-08	4.248072919148937e-07	5	3.285935	5	1.521637	0.0004051864	1.0	0.122553	0.4269588387096774
GO:0030906	retromer, cargo-selective complex	7.329332e-05	2.788884	16	5.737062	0.0004204883	4.688871e-08	4.286967771428571e-07	4	2.628748	4	1.521637	0.0003241491	1.0	0.186502	0.5490212197614992
GO:0061700	GATOR2 complex	0.0007078535	26.93453	59	2.190496	0.001550551	6.270032e-08	5.643028799999999e-07	11	7.229057	8	1.106645	0.0006482982	0.7272727	0.4456089	0.7669444015936254
GO:0019773	proteasome core complex, alpha-subunit complex	0.0003215845	12.23661	35	2.860269	0.0009198181	8.20743e-08	7.310535587628866e-07	9	5.914683	7	1.183495	0.0005672609	0.7777778	0.3541674	0.7611956059701493
GO:0071062	alphav-beta3 integrin-vitronectin complex	4.292952e-05	1.633511	12	7.346139	0.0003153662	1.678197e-07	1.4720428507614213e-06	3	1.971561	3	1.521637	0.0002431118	1.0	0.2838119	0.6654368564450475
GO:0070552	BRISC complex	0.0001499042	5.704006	22	3.856939	0.0005781714	1.692198e-07	1.4768273454545452e-06	5	3.285935	5	1.521637	0.0004051864	1.0	0.122553	0.4269588387096774
GO:1990617	CHOP-ATF4 complex	2.126137e-05	0.8090163	9	11.12462	0.0002365247	1.979258e-07	1.701571056716418e-06	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.7669444015936254
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	5.241661e-05	1.994504	13	6.51791	0.0003416467	2.007787e-07	1.7161287251231527e-06	5	3.285935	3	0.9129822	0.0002431118	0.6	0.7759082	0.9666686154289834
GO:1990630	IRE1-RACK1-PP2A complex	9.273386e-05	3.528616	17	4.817753	0.0004467688	2.080873e-07	1.7626218352941178e-06	2	1.314374	1	0.7608185	8.103728e-05	0.5	0.8824912	1.0
GO:0030124	AP-4 adaptor complex	0.0001806551	6.874106	24	3.491363	0.0006307324	2.82407e-07	2.3574845217391302e-06	5	3.285935	5	1.521637	0.0004051864	1.0	0.122553	0.4269588387096774
GO:1990913	sperm head plasma membrane	1.08688e-05	0.4135686	7	16.92585	0.0001839636	2.860831e-07	2.3653186449760766e-06	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:1990917	ooplasm	1.08688e-05	0.4135686	7	16.92585	0.0001839636	2.860831e-07	2.3653186449760766e-06	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0032156	septin cytoskeleton	0.0006554481	24.94046	54	2.165157	0.001419148	3.095178e-07	2.5468893257142854e-06	7	4.600309	6	1.30426	0.0004862237	0.8571429	0.2462205	0.6654368564450475
GO:0000805	X chromosome	0.0006730655	25.61081	54	2.108484	0.001419148	6.778052e-07	5.4224416e-06	9	5.914683	9	1.521637	0.0007293355	1.0	0.02284368	0.1302768285148514
GO:1990498	mitotic spindle microtubule	8.993266e-05	3.422028	16	4.67559	0.0004204883	6.871775e-07	5.472086267281106e-06	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.7669444015936254
GO:0032996	Bcl3-Bcl10 complex	2.475358e-05	0.9418986	9	9.555169	0.0002365247	6.909317e-07	5.476743016513762e-06	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0070381	endosome to plasma membrane transport vesicle	0.0001903651	7.243583	24	3.313277	0.0006307324	6.994865e-07	5.519235945205479e-06	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.7669444015936254
GO:0000138	Golgi trans cisterna	0.0004022949	15.30772	38	2.482407	0.0009986597	7.403063e-07	5.814769483636363e-06	7	4.600309	7	1.521637	0.0005672609	1.0	0.05291383	0.2374937616623376
GO:0033256	I-kappaB/NF-kappaB complex	0.0004376722	16.65387	40	2.401845	0.001051221	8.612127e-07	6.646293e-06	7	4.600309	7	1.521637	0.0005672609	1.0	0.05291383	0.2374937616623376
GO:0033257	Bcl3/NF-kappaB2 complex	8.203765e-05	3.121615	15	4.805206	0.0003942078	1.085375e-06	8.262237885462554e-06	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.7669444015936254
GO:0008091	spectrin	0.0005133879	19.53492	44	2.252377	0.001156343	1.336607e-06	1.0085837973799126e-05	8	5.257496	6	1.141228	0.0004862237	0.75	0.4450679	0.7669444015936254
GO:0005839	proteasome core complex	0.0007287384	27.72922	56	2.01953	0.001471709	1.544397e-06	1.1552891844155843e-05	24	15.77249	17	1.077826	0.001377634	0.7083333	0.3854865	0.7669444015936254
GO:0097422	tubular endosome	0.0001735008	6.601878	22	3.332385	0.0005781714	1.809971e-06	1.3423304240343347e-05	5	3.285935	5	1.521637	0.0004051864	1.0	0.122553	0.4269588387096774
GO:0071001	U4/U6 snRNP	7.484386e-05	2.847884	14	4.915931	0.0003679273	1.885637e-06	1.3865449940425531e-05	3	1.971561	3	1.521637	0.0002431118	1.0	0.2838119	0.6654368564450475
GO:0031105	septin complex	0.0006095064	23.19233	49	2.112768	0.001287745	2.025772e-06	1.4770185721518984e-05	6	3.943122	5	1.268031	0.0004051864	0.8333333	0.3326729	0.7304431654383736
GO:0008024	cyclin/CDK positive transcription elongation factor complex	0.0004371364	16.63348	39	2.344669	0.00102494	2.044873e-06	1.484680900840336e-05	8	5.257496	7	1.331432	0.0005672609	0.875	0.179938	0.5490212197614992
GO:0036266	Cdc48p-Npl4p-Vms1p AAA ATPase complex	5.34368e-06	0.2033324	5	24.59028	0.0001314026	2.445336e-06	1.7533363518672198e-05	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0070931	Golgi-associated vesicle lumen	2.904643e-05	1.105246	9	8.142985	0.0002365247	2.519598e-06	1.7991179107438015e-05	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0098999	extrinsic component of postsynaptic endosome membrane	9.717887e-06	0.3697753	6	16.22607	0.0001576831	2.587966e-06	1.8403313777777774e-05	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0005967	mitochondrial pyruvate dehydrogenase complex	0.0001789462	6.809083	22	3.230978	0.0005781714	2.939464e-06	2.0732219559183677e-05	3	1.971561	3	1.521637	0.0002431118	1.0	0.2838119	0.6654368564450475
GO:0043190	ATP-binding cassette (ABC) transporter complex	0.0001520304	5.784909	20	3.457272	0.0005256104	3.045434e-06	2.130570830769231e-05	8	5.257496	6	1.141228	0.0004862237	0.75	0.4450679	0.7669444015936254
GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex	0.0005527513	21.03274	45	2.139522	0.001182623	3.752121e-06	2.5728829714285716e-05	10	6.57187	10	1.521637	0.0008103728	1.0	0.01500881	0.0939682017391304
GO:0034515	proteasome storage granule	5.818784e-05	2.214105	12	5.419796	0.0003153662	3.800334e-06	2.595643143083004e-05	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.7669444015936254
GO:0097444	spine apparatus	4.996127e-05	1.901076	11	5.786196	0.0002890857	5.194819e-06	3.506502825e-05	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0034663	endoplasmic reticulum chaperone complex	0.000388757	14.79259	35	2.366049	0.0009198181	5.436328e-06	3.6552431066147856e-05	11	7.229057	9	1.244976	0.0007293355	0.8181818	0.2142683	0.6170927039999999
GO:0005691	U6atac snRNP	1.709004e-05	0.6502932	7	10.76438	0.0001839636	5.53572e-06	3.707645023255814e-05	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0005618	cell wall	6.453061e-06	0.2455454	5	20.36283	0.0001314026	6.064188e-06	4.045913847104247e-05	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.8726363065648856
GO:0005712	chiasma	8.360419e-05	3.181223	14	4.400823	0.0003679273	6.537072e-06	4.3446386215384615e-05	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.7669444015936254
