term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0043183	vascular endothelial growth factor receptor 1 binding	0.0001485297	5.651702	45	7.962203	0.001182623	2.311324e-25	9.758409927999999e-23	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.9543203249573232
GO:0051525	NFAT protein binding	0.0002441655	9.290741	53	5.704604	0.001392867	5.1496440000000005e-23	1.8118164140000002e-20	5	3.285935	4	1.21731	0.0003241491	0.8	0.4422977	0.9543203249573232
GO:0019843	rRNA binding	0.001981897	75.41318	168	2.227727	0.004415127	2.9059039999999996e-20	7.66795418e-18	60	39.43122	46	1.166588	0.003727715	0.7666667	0.04602553	0.4675728902588235
GO:0015186	L-glutamine transmembrane transporter activity	0.0002133333	8.117545	46	5.666738	0.001208904	4.3802329999999995e-20	1.0878437485882353e-17	4	2.628748	4	1.521637	0.0003241491	1.0	0.186502	0.9049312381278538
GO:0070182	DNA polymerase binding	0.0005343057	20.33087	70	3.44304	0.001839636	6.231270000000001e-18	1.241818587181818e-15	16	10.51499	14	1.331432	0.001134522	0.875	0.05077593	0.4883279646013667
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity	0.000616242	23.44862	76	3.241129	0.001997319	6.4708690000000005e-18	1.241818587181818e-15	12	7.886244	12	1.521637	0.0009724473	1.0	0.006478444	0.1028270322105263
GO:0015266	protein channel activity	0.0006122718	23.29755	75	3.219222	0.001971039	1.508251e-17	2.7581499191666667e-15	12	7.886244	7	0.8876216	0.0005672609	0.5833333	0.8028263	1.0
GO:0043422	protein kinase B binding	0.0005042071	19.18559	67	3.492205	0.001760795	1.567873e-17	2.7581499191666667e-15	12	7.886244	12	1.521637	0.0009724473	1.0	0.006478444	0.1028270322105263
GO:0005290	L-histidine transmembrane transporter activity	4.657117e-05	1.77208	22	12.41479	0.0005781714	4.772294e-17	7.749471256923077e-15	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.9543203249573232
GO:0015182	L-asparagine transmembrane transporter activity	4.657117e-05	1.77208	22	12.41479	0.0005781714	4.772294e-17	7.749471256923077e-15	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.9543203249573232
GO:0017069	snRNA binding	0.001411987	53.72751	125	2.326555	0.003285065	7.531569000000001e-17	1.1777142340000001e-14	38	24.97311	28	1.121206	0.002269044	0.7368421	0.1950457	0.9294389902934536
GO:0034186	apolipoprotein A-I binding	0.0003132255	11.91854	50	4.195143	0.001314026	1.814027e-16	2.6409731013793103e-14	4	2.628748	4	1.521637	0.0003241491	1.0	0.186502	0.9049312381278538
GO:0009982	pseudouridine synthase activity	0.0004078425	15.51882	54	3.479647	0.001419148	2.176717e-14	2.6257426211428568e-12	13	8.543431	12	1.404588	0.0009724473	0.9230769	0.03314623	0.3712026075862069
GO:0030943	mitochondrion targeting sequence binding	0.0002937819	11.1787	44	3.936058	0.001156343	9.263309e-14	9.7774226495e-12	3	1.971561	1	0.5072123	8.103728e-05	0.3333333	0.9597247	1.0
GO:0102391	decanoate--CoA ligase activity	0.0005759632	21.91597	64	2.920244	0.001681953	2.260748e-13	2.1692904672727275e-11	8	5.257496	7	1.331432	0.0005672609	0.875	0.179938	0.9049312381278538
GO:0071535	RING-like zinc finger domain binding	0.0001073301	4.084017	25	6.121424	0.000657013	2.421857e-12	2.018654098039216e-10	4	2.628748	4	1.521637	0.0003241491	1.0	0.186502	0.9049312381278538
GO:0032542	sulfiredoxin activity	4.962869e-05	1.888421	18	9.531771	0.0004730493	2.43845e-12	2.018654098039216e-10	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.9543203249573232
GO:0050321	tau-protein kinase activity	0.0005493343	20.90272	59	2.822599	0.001550551	7.044968e-12	5.612048093584904e-10	12	7.886244	11	1.394834	0.00089141	0.9166667	0.04706738	0.4675728902588235
GO:0015194	L-serine transmembrane transporter activity	0.0004485689	17.0685	52	3.046548	0.001366587	8.221546e-12	6.311157674909092e-10	10	6.57187	10	1.521637	0.0008103728	1.0	0.01500881	0.1992679113836478
GO:0019855	calcium channel inhibitor activity	0.0006840711	26.02959	67	2.573994	0.001760795	1.471011e-11	1.035101407e-09	11	7.229057	10	1.383306	0.0008103728	0.9090909	0.0664884	0.5800180132238193
GO:0004430	1-phosphatidylinositol 4-kinase activity	0.0001194329	4.54454	25	5.501107	0.000657013	2.25619e-11	1.5363926096774192e-09	5	3.285935	5	1.521637	0.0004051864	1.0	0.122553	0.7969182922137404
GO:0008320	protein transmembrane transporter activity	0.001185602	45.11334	96	2.127974	0.00252293	3.00756e-11	1.9840497375e-09	18	11.82937	11	0.9298892	0.00089141	0.6111111	0.7497898	1.0
GO:0003975	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity	3.15045e-06	0.1198778	7	58.39281	0.0001839636	6.353197e-11	3.777915173802817e-09	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.9543203249573232
GO:0008963	phospho-N-acetylmuramoyl-pentapeptide-transferase activity	3.15045e-06	0.1198778	7	58.39281	0.0001839636	6.353197e-11	3.777915173802817e-09	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.9543203249573232
GO:0016832	aldehyde-lyase activity	0.0002938731	11.18217	39	3.487696	0.00102494	7.296742e-11	4.278728433888889e-09	9	5.914683	8	1.352566	0.0006482982	0.8888889	0.1301582	0.8121637515509601
GO:0008821	crossover junction endodeoxyribonuclease activity	0.0001292995	4.919975	25	5.081326	0.000657013	1.147506e-10	6.459693776e-09	9	5.914683	7	1.183495	0.0005672609	0.7777778	0.3541674	0.9543203249573232
GO:0008312	7S RNA binding	0.0002598956	9.889288	36	3.640303	0.0009460987	1.231268e-10	6.840017757894738e-09	8	5.257496	7	1.331432	0.0005672609	0.875	0.179938	0.9049312381278538
GO:0004357	glutamate-cysteine ligase activity	0.0001860161	7.078099	30	4.238426	0.0007884155	1.283452e-10	7.037317329870129e-09	2	1.314374	2	1.521637	0.0001620746	1.0	0.4318827	0.9543203249573232
