term_id	term	Binom_Genome_Fraction	Binom_Expected	observed_genes	fold_enrichment	Binom_Region_Set_Coverage	pval	fdr	Hyper_Total_Genes	Hyper_Expected	Hyper_Observed_Gene_Hits	Hyper_Fold_Enrichment	Hyper_Gene_Set_Coverage	Hyper_Term_Gene_Coverage	Hyper_Raw_PValue	Hyper_Adjp_BH
GO:0000121	glycerol-1-phosphatase activity	2.042431e-06	0.07771654	5	64.33637	0.0001314026	2.213988e-08	6.67675524e-07	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.9543203249573232
GO:0043136	glycerol-3-phosphatase activity	2.042431e-06	0.07771654	5	64.33637	0.0001314026	2.213988e-08	6.67675524e-07	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.9543203249573232
GO:0003975	UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity	3.15045e-06	0.1198778	7	58.39281	0.0001839636	6.353197e-11	3.777915173802817e-09	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.9543203249573232
GO:0008963	phospho-N-acetylmuramoyl-pentapeptide-transferase activity	3.15045e-06	0.1198778	7	58.39281	0.0001839636	6.353197e-11	3.777915173802817e-09	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.9543203249573232
GO:0072570	ADP-D-ribose binding	3.071816e-06	0.1168857	5	42.77684	0.0001314026	1.649201e-07	3.723490172192513e-06	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.9543203249573232
GO:0008700	4-hydroxy-2-oxoglutarate aldolase activity	4.031759e-06	0.1534125	5	32.59188	0.0001314026	6.23154e-07	1.1693138613333332e-05	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.9543203249573232
GO:1990699	palmitoleyl hydrolase activity	6.915672e-06	0.2631482	8	30.40112	0.0002102441	4.511792e-10	2.2677125980952382e-08	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.9543203249573232
GO:1904265	ubiquitin-specific protease activity involved in negative regulation of retrograde protein transport, ER to cytosol	6.239627e-06	0.237424	7	29.48311	0.0001839636	6.854038e-09	2.371946593114754e-07	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.9543203249573232
GO:0050333	thiamin-triphosphatase activity	5.463163e-06	0.2078788	6	28.86297	0.0001576831	9.378456e-08	2.3095793153488373e-06	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.9543203249573232
GO:0008455	alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity	6.27571e-06	0.238797	6	25.12594	0.0001576831	2.098856e-07	4.567716511340206e-06	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.9543203249573232
GO:0070976	TIR domain binding	9.200131e-06	0.3500742	8	22.8523	0.0002102441	4.098198e-09	1.602091847777778e-07	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.9543203249573232
GO:0070037	rRNA (pseudouridine) methyltransferase activity	5.911476e-06	0.2249376	5	22.22839	0.0001314026	3.97959e-06	6.15451610989011e-05	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.9543203249573232
GO:0050313	sulfur dioxygenase activity	7.594099e-06	0.2889631	6	20.7639	0.0001576831	6.313663e-07	1.177501478678414e-05	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.9543203249573232
GO:0047402	protein-glucosylgalactosylhydroxylysine glucosidase activity	6.453061e-06	0.2455454	5	20.36283	0.0001314026	6.064188e-06	8.768151279452054e-05	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.9543203249573232
GO:0031751	D4 dopamine receptor binding	6.508887e-06	0.2476697	5	20.18818	0.0001314026	6.319948e-06	9.0757892707483e-05	1	0.657187	1	1.521637	8.103728e-05	1.0	0.657187	0.9543203249573232
