PeakID (cmd=annotatePeaks.pl classification/results/raw_results/human_shared_from_mouse.bed /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/hg38.fa -gff3 /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/gencode.v47.annotation.gff3.gz)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
36114	chr9	75026944	75028760	+	0	NA	NA	NA	NA	NA								
30438	chr6	2764813	2766603	+	0	NA	NA	NA	NA	NA								
36606	chr9	113220927	113221900	+	0	NA	NA	NA	NA	NA								
31650	chr6	108294961	108295574	+	0	NA	NA	NA	NA	NA								
32046	chr6	138773258	138774211	+	0	NA	NA	NA	NA	NA								
12205	chr14	75176015	75176703	+	0	NA	NA	NA	NA	NA								
19990	chr2	46942152	46942869	+	0	NA	NA	NA	NA	NA								
14473	chr16	30948351	30949855	+	0	NA	NA	NA	NA	NA								
34210	chr8	19312562	19314554	+	0	NA	NA	NA	NA	NA								
1776	chr1	85707923	85709184	+	0	NA	NA	NA	NA	NA								
3256	chr1	186212665	186212941	+	0	NA	NA	NA	NA	NA								
37455	chrX	49171723	49172167	+	0	NA	NA	NA	NA	NA								
3252	chr1	185733918	185734757	+	0	NA	NA	NA	NA	NA								
1772	chr1	85580590	85581732	+	0	NA	NA	NA	NA	NA								
23284	chr21	31098582	31099378	+	0	NA	NA	NA	NA	NA								
23458	chr21	42512775	42514941	+	0	NA	NA	NA	NA	NA								
35908	chr9	35161707	35162702	+	0	NA	NA	NA	NA	NA								
8748	chr12	32106663	32107637	+	0	NA	NA	NA	NA	NA								
22233	chr20	2839906	2841344	+	0	NA	NA	NA	NA	NA								
11700	chr14	53890433	53891197	+	0	NA	NA	NA	NA	NA								
5004	chr10	79444218	79446105	+	0	NA	NA	NA	NA	NA								
16756	chr17	64081821	64082477	+	0	NA	NA	NA	NA	NA								
32358	chr6	166382092	166383255	+	0	NA	NA	NA	NA	NA								
2775	chr1	160342637	160343841	+	0	NA	NA	NA	NA	NA								
5816	chr10	117167818	117168335	+	0	NA	NA	NA	NA	NA								
36215	chr9	86945478	86946812	+	0	NA	NA	NA	NA	NA								
12616	chr14	103121210	103122114	+	0	NA	NA	NA	NA	NA								
12104	chr14	72848534	72849795	+	0	NA	NA	NA	NA	NA								
5812	chr10	117004508	117005746	+	0	NA	NA	NA	NA	NA								
37188	chrX	13487694	13488816	+	0	NA	NA	NA	NA	NA								
21148	chr2	168455788	168457312	+	0	NA	NA	NA	NA	NA								
26726	chr3	196942305	196943384	+	0	NA	NA	NA	NA	NA								
23185	chr21	14877292	14878163	+	0	NA	NA	NA	NA	NA								
26766	chr4	1289443	1290621	+	0	NA	NA	NA	NA	NA								
4300	chr10	15167509	15169246	+	0	NA	NA	NA	NA	NA								
13468	chr15	73683742	73684902	+	0	NA	NA	NA	NA	NA								
30711	chr6	17986971	17988655	+	0	NA	NA	NA	NA	NA								
8013	chr11	119093980	119095539	+	0	NA	NA	NA	NA	NA								
13428	chr15	70460225	70460831	+	0	NA	NA	NA	NA	NA								
16838	chr17	68399068	68399345	+	0	NA	NA	NA	NA	NA								
4438	chr10	28533617	28534186	+	0	NA	NA	NA	NA	NA								
