PeakID (cmd=annotatePeaks.pl classification/results/raw_results/human_mapped_from_mouse_enhancers.bed /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/hg38.fa -gff3 /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/gencode.v47.annotation.gff3.gz)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1-4869	chr1	247861241	247861528	+	247857186	NA	NA	NA	NA	NA								
chr1-4868	chr1	247419503	247419709	+	247416155	NA	NA	NA	NA	NA								
chr1-4865	chr1	246953287	246954616	+	246945546	NA	NA	NA	NA	NA								
chr1-4863	chr1	246930964	246932555	+	246945546	NA	NA	NA	NA	NA								
chr1-4864	chr1	246930964	246932555	+	246945546	NA	NA	NA	NA	NA								
chr1-4862	chr1	246930964	246932555	+	246945546	NA	NA	NA	NA	NA								
chr1-4866	chr1	246953287	246954616	+	246945546	NA	NA	NA	NA	NA								
chr1-4867	chr1	246953287	246954616	+	246945546	NA	NA	NA	NA	NA								
chr1-4861	chr1	246679147	246679622	+	246682107	NA	NA	NA	NA	NA								
chr1-4860	chr1	246608776	246609773	+	246605872	NA	NA	NA	NA	NA								
chr1-4859	chr1	246583468	246584306	+	246566443	NA	NA	NA	NA	NA								
chr1-4858	chr1	246450838	246451112	+	246426005	NA	NA	NA	NA	NA								
chr1-4855	chr1	246117251	246117624	+	246108625	NA	NA	NA	NA	NA								
chr1-4857	chr1	246120395	246121070	+	246108625	NA	NA	NA	NA	NA								
chr1-4856	chr1	246120395	246121070	+	246108625	NA	NA	NA	NA	NA								
chr1-4854	chr1	246003176	246003460	+	246025896	NA	NA	NA	NA	NA								
chr1-4853	chr1	245951919	245952223	+	246025896	NA	NA	NA	NA	NA								
chr1-4852	chr1	245916728	245916994	+	246025896	NA	NA	NA	NA	NA								
chr1-4849	chr1	245751714	245752462	+	245749341	NA	NA	NA	NA	NA								
chr1-4850	chr1	245751714	245752462	+	245749341	NA	NA	NA	NA	NA								
chr1-4851	chr1	245751714	245752462	+	245749341	NA	NA	NA	NA	NA								
chr1-4848	chr1	245258658	245259338	+	245282830	NA	NA	NA	NA	NA								
chr1-4847	chr1	245258658	245259338	+	245282830	NA	NA	NA	NA	NA								
chr1-4846	chr1	244992447	244993005	+	244969681	NA	NA	NA	NA	NA								
chr1-4843	chr1	244917886	244919384	+	244943909	NA	NA	NA	NA	NA								
chr1-4844	chr1	244917886	244919384	+	244943909	NA	NA	NA	NA	NA								
chr1-4845	chr1	244917886	244919384	+	244943909	NA	NA	NA	NA	NA								
chr1-4842	chr1	244655636	244655921	+	244653102	NA	NA	NA	NA	NA								
chr1-4841	chr1	244273097	244273320	+	244308553	NA	NA	NA	NA	NA								
chr1-4838	chr1	244154999	244155677	+	244184952	NA	NA	NA	NA	NA								
