PeakID (cmd=annotatePeaks.pl classification/results/raw_results/human_mapped_from_mouse_promoters.bed /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/hg38.fa -gff3 /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/gencode.v47.annotation.gff3.gz)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1-2740	chr1	248858993	248859260	+	248859163	NA	NA	NA	NA	NA								
chr1-2738	chr1	248857629	248858409	+	248859163	NA	NA	NA	NA	NA								
chr1-2739	chr1	248857629	248858409	+	248859163	NA	NA	NA	NA	NA								
chr1-2736	chr1	248825256	248826117	+	248826376	NA	NA	NA	NA	NA								
chr1-2737	chr1	248825256	248826117	+	248826376	NA	NA	NA	NA	NA								
chr1-2735	chr1	248825256	248826117	+	248826376	NA	NA	NA	NA	NA								
chr1-2728	chr1	247331030	247332862	+	247332330	NA	NA	NA	NA	NA								
chr1-2734	chr1	247331030	247332862	+	247332330	NA	NA	NA	NA	NA								
chr1-2732	chr1	247331030	247332862	+	247332330	NA	NA	NA	NA	NA								
chr1-2730	chr1	247331030	247332862	+	247332330	NA	NA	NA	NA	NA								
chr1-2729	chr1	247331030	247332862	+	247332053	NA	NA	NA	NA	NA								
chr1-2731	chr1	247331030	247332862	+	247332053	NA	NA	NA	NA	NA								
chr1-2733	chr1	247331030	247332862	+	247332053	NA	NA	NA	NA	NA								
chr1-2727	chr1	247331030	247332862	+	247332053	NA	NA	NA	NA	NA								
chr1-2725	chr1	246723959	246725005	+	246724408	NA	NA	NA	NA	NA								
chr1-2726	chr1	246723959	246725005	+	246724408	NA	NA	NA	NA	NA								
chr1-2724	chr1	246566157	246567071	+	246566443	NA	NA	NA	NA	NA								
chr1-2723	chr1	246566157	246567071	+	246566443	NA	NA	NA	NA	NA								
chr1-2720	chr1	245154409	245155126	+	245154984	NA	NA	NA	NA	NA								
chr1-2722	chr1	245156311	245157115	+	245154984	NA	NA	NA	NA	NA								
chr1-2717	chr1	245153039	245153687	+	245154984	NA	NA	NA	NA	NA								
chr1-2718	chr1	245153039	245153687	+	245154984	NA	NA	NA	NA	NA								
chr1-2721	chr1	245154409	245155126	+	245154984	NA	NA	NA	NA	NA								
chr1-2719	chr1	245154409	245155126	+	245154984	NA	NA	NA	NA	NA								
chr1-2716	chr1	245042770	245043051	+	245043927	NA	NA	NA	NA	NA								
chr1-2715	chr1	244969656	244971476	+	244969681	NA	NA	NA	NA	NA								
chr1-2714	chr1	244969656	244971476	+	244969681	NA	NA	NA	NA	NA								
chr1-2711	chr1	244863991	244864922	+	244863781	NA	NA	NA	NA	NA								
chr1-2709	chr1	244863991	244864922	+	244863781	NA	NA	NA	NA	NA								
chr1-2713	chr1	244865102	244865526	+	244863781	NA	NA	NA	NA	NA								
chr1-2712	chr1	244865102	244865526	+	244863781	NA	NA	NA	NA	NA								
chr1-2710	chr1	244863991	244864922	+	244863781	NA	NA	NA	NA	NA								
chr1-2707	chr1	244834429	244835742	+	244835615	NA	NA	NA	NA	NA								
chr1-2706	chr1	244834429	244835742	+	244835615	NA	NA	NA	NA	NA								
chr1-2708	chr1	244834429	244835742	+	244835615	NA	NA	NA	NA	NA								
chr1-2705	chr1	244652628	244653356	+	244653102	NA	NA	NA	NA	NA								
chr1-2702	chr1	244652567	244653458	+	244653102	NA	NA	NA	NA	NA								
chr1-2703	chr1	244652567	244653458	+	244653102	NA	NA	NA	NA	NA								
chr1-2704	chr1	244652628	244653356	+	244653102	NA	NA	NA	NA	NA								
chr1-2701	chr1	244065212	244065978	+	244064329	NA	NA	NA	NA	NA								
chr1-2700	chr1	244065212	244065978	+	244064329	NA	NA	NA	NA	NA								
chr1-2697	chr1	244047511	244049528	+	244048546	NA	NA	NA	NA	NA								
chr1-2696	chr1	244047511	244049528	+	244048546	NA	NA	NA	NA	NA								
chr1-2699	chr1	244049804	244050190	+	244048546	NA	NA	NA	NA	NA								
chr1-2698	chr1	244047511	244049528	+	244048546	NA	NA	NA	NA	NA								
chr2-1742	chr2	241734177	241734766	+	241734714	NA	NA	NA	NA	NA								
chr2-1741	chr2	241734177	241734766	+	241734601	NA	NA	NA	NA	NA								
chr1-2695	chr1	241639771	241640759	+	241640554	NA	NA	NA	NA	NA								
chr2-1737	chr2	241636442	241638239	+	241637212	NA	NA	NA	NA	NA								
chr2-1740	chr2	241636442	241638239	+	241637212	NA	NA	NA	NA	NA								
chr2-1736	chr2	241636442	241638239	+	241637212	NA	NA	NA	NA	NA								
