PeakID (cmd=annotatePeaks.pl classification/results/raw_results/human_promoters.bed /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/hg38.fa -gff3 /ocean/projects/bio230007p/ikaplow/HumanGenomeInfo/gencode.v47.annotation.gff3.gz)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1-3857	chr1	248905905	248907202	+	248906195	NA	NA	NA	NA	NA								
chr1-3858	chr1	248905905	248907202	+	248906195	NA	NA	NA	NA	NA								
chr1-3856	chr1	248858111	248859767	+	248859163	NA	NA	NA	NA	NA								
chr1-3852	chr1	248858111	248859767	+	248859163	NA	NA	NA	NA	NA								
chr1-3855	chr1	248858111	248859767	+	248859163	NA	NA	NA	NA	NA								
chr1-3853	chr1	248858111	248859767	+	248859163	NA	NA	NA	NA	NA								
chr1-3854	chr1	248858111	248859767	+	248859163	NA	NA	NA	NA	NA								
chr1-3849	chr1	248837653	248839211	+	248838209	NA	NA	NA	NA	NA								
chr1-3851	chr1	248837653	248839211	+	248838209	NA	NA	NA	NA	NA								
chr1-3850	chr1	248837653	248839211	+	248838209	NA	NA	NA	NA	NA								
chr1-3848	chr1	248825634	248826878	+	248826376	NA	NA	NA	NA	NA								
chr1-3845	chr1	248825634	248826878	+	248826376	NA	NA	NA	NA	NA								
chr1-3846	chr1	248825634	248826878	+	248826376	NA	NA	NA	NA	NA								
chr1-3847	chr1	248825634	248826878	+	248826376	NA	NA	NA	NA	NA								
chr1-3844	chr1	248811322	248811851	+	248810445	NA	NA	NA	NA	NA								
chr1-3842	chr1	248622524	248623106	+	248623556	NA	NA	NA	NA	NA								
chr1-3843	chr1	248622524	248623106	+	248623556	NA	NA	NA	NA	NA								
chr1-3841	chr1	247936334	247937614	+	247937141	NA	NA	NA	NA	NA								
chr1-3840	chr1	247936334	247937614	+	247937141	NA	NA	NA	NA	NA								
chr1-3839	chr1	247936334	247937614	+	247937141	NA	NA	NA	NA	NA								
chr1-3838	chr1	247639321	247639931	+	247639629	NA	NA	NA	NA	NA								
chr1-3837	chr1	247639321	247639931	+	247639629	NA	NA	NA	NA	NA								
chr1-3836	chr1	247637949	247638360	+	247639629	NA	NA	NA	NA	NA								
chr1-3835	chr1	247487195	247487460	+	247488092	NA	NA	NA	NA	NA								
chr1-3834	chr1	247448116	247448326	+	247449117	NA	NA	NA	NA	NA								
chr1-3833	chr1	247415563	247416507	+	247416155	NA	NA	NA	NA	NA								
chr1-3831	chr1	247415563	247416507	+	247416155	NA	NA	NA	NA	NA								
chr1-3832	chr1	247415563	247416507	+	247416155	NA	NA	NA	NA	NA								
chr1-3830	chr1	247331019	247332600	+	247332330	NA	NA	NA	NA	NA								
